"Passengers (All Carriers - Austin, TX: Austin - Bergstrom International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"265,831",249,"266,080"
2002,11,"251,358",292,"251,650"
2002,12,"285,609",255,"285,864"
2002,TOTAL,"3,164,185","2,413","3,166,598"
2003,1,"223,579",206,"223,785"
2003,2,"215,211",304,"215,515"
2003,3,"273,953",265,"274,218"
2003,4,"245,424",151,"245,575"
2003,5,"274,557",227,"274,784"
2003,6,"289,866",277,"290,143"
2003,7,"303,274",322,"303,596"
2003,8,"270,758",311,"271,069"
2003,9,"246,022",187,"246,209"
2003,10,"270,917",244,"271,161"
2003,11,"260,007",250,"260,257"
2003,12,"280,244",242,"280,486"
2003,TOTAL,"3,153,812","2,986","3,156,798"
2004,1,"221,795",244,"222,039"
2004,2,"233,845",281,"234,126"
2004,3,"292,682",247,"292,929"
2004,4,"287,733",305,"288,038"
2004,5,"300,310",405,"300,715"
2004,6,"319,167",210,"319,377"
2004,7,"320,193",188,"320,381"
2004,8,"287,130",191,"287,321"
2004,9,"274,388",95,"274,483"
2004,10,"298,720",114,"298,834"
2004,11,"291,675",475,"292,150"
2004,12,"295,636",823,"296,459"
2004,TOTAL,"3,423,274","3,578","3,426,852"
2005,1,"242,409",447,"242,856"
2005,2,"243,811",192,"244,003"
2005,3,"312,128",227,"312,355"
2005,4,"298,617",236,"298,853"
2005,5,"324,591",185,"324,776"
2005,6,"334,711",90,"334,801"
2005,7,"338,535",109,"338,644"
2005,8,"305,999",65,"306,064"
2005,9,"293,844",126,"293,970"
2005,10,"315,744",65,"315,809"
2005,11,"312,948",84,"313,032"
2005,12,"304,774",32,"304,806"
2005,TOTAL,"3,628,111","1,858","3,629,969"
2006,1,"272,325",1,"272,326"
2006,2,"274,014",0,"274,014"
2006,3,"346,685",0,"346,685"
2006,4,"326,592",0,"326,592"
2006,5,"360,435",24,"360,459"
2006,6,"355,848",48,"355,896"
2006,7,"352,288",48,"352,336"
2006,8,"323,206",40,"323,246"
2006,9,"317,839",52,"317,891"
2006,10,"336,234",62,"336,296"
2006,11,"334,244",108,"334,352"
2006,12,"333,200",839,"334,039"
2006,TOTAL,"3,932,910","1,222","3,934,132"
2007,1,"276,051",821,"276,872"
2007,2,"280,149",451,"280,600"
2007,3,"353,903",831,"354,734"
2007,4,"342,588",726,"343,314"
2007,5,"377,375",963,"378,338"
2007,6,"375,962",995,"376,957"
2007,7,"380,716",543,"381,259"
2007,8,"372,585",257,"372,842"
2007,9,"332,589",111,"332,700"
2007,10,"363,638",51,"363,689"
2007,11,"359,632",54,"359,686"
2007,12,"350,346",154,"350,500"
2007,TOTAL,"4,165,534","5,957","4,171,491"
2008,1,"304,169",99,"304,268"
2008,2,"306,704",130,"306,834"
2008,3,"378,452",204,"378,656"
2008,4,"356,940",184,"357,124"
2008,5,"389,770","7,230","397,000"
2008,6,"411,473","6,858","418,331"
2008,7,"404,705","7,130","411,835"
2008,8,"369,838","5,863","375,701"
2008,9,"312,326","2,982","315,308"
2008,10,"354,785","3,361","358,146"
2008,11,"320,190","3,427","323,617"
2008,12,"338,749","3,998","342,747"
2008,TOTAL,"4,248,101","41,466","4,289,567"
2009,1,"271,467","2,499","273,966"
2009,2,"263,995","2,031","266,026"
2009,3,"353,032","3,314","356,346"
2009,4,"329,879","1,991","331,870"
2009,5,"335,125","1,373","336,498"
2009,6,"378,112",738,"378,850"
2009,7,"386,344",821,"387,165"
2009,8,"345,335",826,"346,161"
2009,9,"308,782",164,"308,946"
2009,10,"354,408",17,"354,425"
2009,11,"334,784",117,"334,901"
2009,12,"342,890",161,"343,051"
2009,TOTAL,"4,004,153","14,052","4,018,205"
2010,1,"288,450",155,"288,605"
2010,2,"268,229",106,"268,335"
2010,3,"356,231",389,"356,620"
2010,4,"344,577",193,"344,770"
2010,5,"359,277",238,"359,515"
