"Passengers (All Carriers - Washington, DC: Ronald Reagan Washington National (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"570,886","11,743","582,629"
2002,11,"535,512","9,756","545,268"
2002,12,"556,619","9,656","566,275"
2002,TOTAL,"5,714,374","101,912","5,816,286"
2003,1,"441,982","9,103","451,085"
2003,2,"441,931","8,006","449,937"
2003,3,"565,234","11,051","576,285"
2003,4,"579,738","10,938","590,676"
2003,5,"609,239","11,130","620,369"
2003,6,"595,820","13,461","609,281"
2003,7,"587,564","13,650","601,214"
2003,8,"566,313","13,477","579,790"
2003,9,"487,459","8,677","496,136"
2003,10,"629,460","11,751","641,211"
2003,11,"591,214","10,808","602,022"
2003,12,"581,610","11,068","592,678"
2003,TOTAL,"6,677,564","133,120","6,810,684"
2004,1,"458,859","8,980","467,839"
2004,2,"544,141","9,787","553,928"
2004,3,"653,351","12,139","665,490"
2004,4,"683,174","14,972","698,146"
2004,5,"666,280","15,666","681,946"
2004,6,"674,171","15,993","690,164"
2004,7,"660,510","16,751","677,261"
2004,8,"614,980","16,664","631,644"
2004,9,"580,325","11,575","591,900"
2004,10,"690,562","14,886","705,448"
2004,11,"643,662","12,226","655,888"
2004,12,"628,256","12,109","640,365"
2004,TOTAL,"7,498,271","161,748","7,660,019"
2005,1,"533,031","10,216","543,247"
2005,2,"581,260","10,914","592,174"
2005,3,"768,892","16,193","785,085"
2005,4,"747,158","15,645","762,803"
2005,5,"779,644","16,406","796,050"
2005,6,"778,338","17,214","795,552"
2005,7,"769,220","17,482","786,702"
2005,8,"707,191","17,347","724,538"
2005,9,"658,542","14,564","673,106"
2005,10,"709,344","14,605","723,949"
2005,11,"714,433","14,302","728,735"
2005,12,"697,841","13,984","711,825"
2005,TOTAL,"8,444,894","178,872","8,623,766"
2006,1,"579,004","12,486","591,490"
2006,2,"619,091","13,324","632,415"
2006,3,"796,977","17,257","814,234"
2006,4,"797,001","18,931","815,932"
2006,5,"807,213","20,681","827,894"
2006,6,"820,277","18,799","839,076"
2006,7,"771,073","19,493","790,566"
