"Passengers (All Carriers - Salt Lake City, UT: Salt Lake City International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"717,649","7,195","724,844"
2002,11,"659,370","6,566","665,936"
2002,12,"782,694","8,309","791,003"
2002,TOTAL,"7,689,359","38,459","7,727,818"
2003,1,"715,684","8,451","724,135"
2003,2,"674,259","7,737","681,996"
2003,3,"803,929","8,450","812,379"
2003,4,"662,086","6,608","668,694"
2003,5,"690,150","7,064","697,214"
2003,6,"802,649","8,588","811,237"
2003,7,"858,117","9,083","867,200"
2003,8,"854,157","7,721","861,878"
2003,9,"680,714","5,956","686,670"
2003,10,"722,985","5,763","728,748"
2003,11,"649,355","6,416","655,771"
2003,12,"724,930","6,775","731,705"
2003,TOTAL,"8,839,015","88,612","8,927,627"
2004,1,"667,261","6,102","673,363"
2004,2,"670,099","7,444","677,543"
2004,3,"760,944","6,567","767,511"
2004,4,"678,061","7,682","685,743"
2004,5,"678,079","8,145","686,224"
2004,6,"801,027","7,948","808,975"
2004,7,"841,712","9,931","851,643"
2004,8,"819,183","9,377","828,560"
2004,9,"699,994","7,934","707,928"
2004,10,"714,457","8,070","722,527"
2004,11,"684,990","7,762","692,752"
2004,12,"752,391","9,905","762,296"
2004,TOTAL,"8,768,198","96,867","8,865,065"
2005,1,"750,662","10,815","761,477"
2005,2,"782,974","13,939","796,913"
2005,3,"958,368","14,585","972,953"
2005,4,"841,036","14,954","855,990"
2005,5,"851,156","14,521","865,677"
2005,6,"943,857","17,505","961,362"
2005,7,"1,020,183","18,127","1,038,310"
2005,8,"997,468","17,606","1,015,074"
2005,9,"827,734","22,314","850,048"
2005,10,"842,444","12,837","855,281"
2005,11,"799,549","13,679","813,228"
2005,12,"782,690","15,842","798,532"
2005,TOTAL,"10,398,121","186,724","10,584,845"
2006,1,"798,568","16,944","815,512"
2006,2,"739,416","16,995","756,411"
2006,3,"908,773","21,771","930,544"
2006,4,"800,219","19,481","819,700"
2006,5,"792,913","18,854","811,767"
2006,6,"896,407","22,230","918,637"
2006,7,"952,012","25,860","977,872"
2006,8,"939,623","26,552","966,175"
2006,9,"796,254","16,992","813,246"
2006,10,"823,397","15,734","839,131"
2006,11,"766,070","16,937","783,007"
2006,12,"818,851","25,782","844,633"
2006,TOTAL,"10,032,503","244,132","10,276,635"
2007,1,"830,004","23,781","853,785"
2007,2,"750,708","22,096","772,804"
2007,3,"916,091","26,539","942,630"
2007,4,"827,446","21,997","849,443"
2007,5,"834,693","23,680","858,373"
2007,6,"942,006","24,539","966,545"
2007,7,"985,232","26,142","1,011,374"
2007,8,"998,221","25,179","1,023,400"
2007,9,"818,163","17,660","835,823"
2007,10,"827,046","16,792","843,838"
2007,11,"769,344","17,000","786,344"
2007,12,"784,442","20,638","805,080"
2007,TOTAL,"10,283,396","266,043","10,549,439"
2008,1,"820,163","21,540","841,703"
2008,2,"798,650","20,551","819,201"
2008,3,"920,169","25,545","945,714"
2008,4,"797,755","20,688","818,443"
2008,5,"813,577","20,650","834,227"
2008,6,"881,970","27,174","909,144"
2008,7,"930,655","27,383","958,038"
2008,8,"918,623","25,245","943,868"
2008,9,"716,537","17,045","733,582"
2008,10,"742,029","15,466","757,495"
2008,11,"654,176","15,695","669,871"
2008,12,"728,281","21,628","749,909"
2008,TOTAL,"9,722,585","258,610","9,981,195"
2009,1,"728,767","19,150","747,917"
2009,2,"693,949","17,630","711,579"
2009,3,"834,960","19,406","854,366"
2009,4,"779,340","18,678","798,018"
2009,5,"781,631","17,859","799,490"
2009,6,"899,852","26,156","926,008"
2009,7,"995,281","23,046","1,018,327"
2009,8,"962,624","20,548","983,172"
2009,9,"776,244","13,747","789,991"
2009,10,"778,593","12,484","791,077"
2009,11,"698,965","12,753","711,718"
2009,12,"743,000","19,962","762,962"
2009,TOTAL,"9,673,206","221,419","9,894,625"
2010,1,"750,585","15,919","766,504"
2010,2,"693,661","16,477","710,138"
2010,3,"830,820","20,687","851,507"
2010,4,"764,382","15,875","780,257"
2010,5,"767,816","20,280","788,096"
2010,6,"873,821","26,338","900,159"
2010,7,"936,623","28,424","965,047"
2010,8,"924,040","25,809","949,849"
2010,9,"799,380","18,028","817,408"
2010,10,"816,203","17,400","833,603"
2010,11,"733,609","13,270","746,879"
2010,12,"777,154","15,330","792,484"
2010,TOTAL,"9,668,094","233,837","9,901,931"
2011,1,"755,593","16,123","771,716"
2011,2,"696,205","14,902","711,107"
2011,3,"842,534","17,876","860,410"
2011,4,"765,843","14,485","780,328"
2011,5,"785,770","16,333","802,103"
2011,6,"843,234","22,083","865,317"
2011,7,"898,707","22,772","921,479"
2011,8,"893,446","21,129","914,575"
2011,9,"769,877","17,454","787,331"
2011,10,"777,648","14,719","792,367"
2011,11,"716,374","12,657","729,031"
2011,12,"738,910","15,004","753,914"
2011,TOTAL,"9,484,141","205,537","9,689,678"
2012,1,"732,384","15,156","747,540"
2012,2,"701,857","14,613","716,470"
2012,3,"841,753","19,730","861,483"
2012,4,"763,552","17,211","780,763"
2012,5,"767,991","14,759","782,750"
2012,6,"832,474","19,670","852,144"
2012,7,"876,928","17,794","894,722"
2012,8,"898,171","18,183","916,354"
2012,9,"753,797","12,451","766,248"
2012,10,"778,767","11,208","789,975"
2012,11,"712,559","9,164","721,723"
2012,12,"727,013","12,342","739,355"
2012,TOTAL,"9,387,246","182,281","9,569,527"
2013,1,"725,059","12,011","737,070"
2013,2,"674,078","12,546","686,624"
2013,3,"850,856","17,862","868,718"
2013,4,"773,208","15,306","788,514"
2013,5,"790,612","15,037","805,649"
2013,6,"853,033","19,091","872,124"
2013,7,"886,494","17,891","904,385"
2013,8,"900,999","18,678","919,677"
2013,9,"778,176","15,701","793,877"
2013,10,"793,104","14,533","807,637"
2013,11,"694,653","11,997","706,650"
2013,12,"751,660","13,046","764,706"
2013,TOTAL,"9,471,932","183,699","9,655,631"
2014,1,"748,318","13,940","762,258"
2014,2,"708,184","13,458","721,642"
2014,3,"884,444","19,094","903,538"
2014,4,"803,127","19,529","822,656"
2014,5,"822,209","18,207","840,416"
2014,6,"889,638","19,014","908,652"
2014,7,"934,043","18,963","953,006"
2014,8,"927,391","19,322","946,713"
2014,9,"818,816","14,828","833,644"
2014,10,"848,754","14,473","863,227"
2014,11,"746,907","12,519","759,426"
2014,12,"797,829","15,393","813,222"
2014,TOTAL,"9,929,660","198,740","10,128,400"
2015,1,"793,819","18,845","812,664"
2015,2,"758,647","16,359","775,006"
2015,3,"933,116","20,617","953,733"
2015,4,"830,091","20,411","850,502"
2015,5,"843,903","29,380","873,283"
2015,6,"915,790","30,719","946,509"
2015,7,"963,929","30,625","994,554"
2015,8,"958,569","32,744","991,313"
2015,9,"841,089","24,069","865,158"
2015,10,"886,128","21,586","907,714"
2015,11,"794,358","16,420","810,778"
2015,12,"822,405","20,303","842,708"
2015,TOTAL,"10,341,844","282,078","10,623,922"
2016,1,"816,784","21,070","837,854"
2016,2,"795,040","19,012","814,052"
2016,3,"940,196","23,251","963,447"
2016,4,"840,382","26,100","866,482"
2016,5,"902,938","35,210","938,148"
2016,6,"975,777","43,683","1,019,460"
2016,7,"1,009,790","44,379","1,054,169"
2016,8,"971,432","43,862","1,015,294"
2016,9,"885,280","37,649","922,929"
