"Flights (All Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"33,127","2,225","35,352"
2002,11,"31,504","2,227","33,731"
2002,12,"32,371","2,302","34,673"
2002,TOTAL,"388,000","25,654","413,654"
2003,1,"33,041","2,304","35,345"
2003,2,"29,104","1,956","31,060"
2003,3,"33,096","2,233","35,329"
2003,4,"31,552","2,084","33,636"
2003,5,"32,354","2,020","34,374"
2003,6,"33,042","2,149","35,191"
2003,7,"34,162","2,129","36,291"
2003,8,"35,072","2,208","37,280"
2003,9,"34,141","2,116","36,257"
2003,10,"35,920","2,172","38,092"
2003,11,"34,343","2,182","36,525"
2003,12,"35,570","2,273","37,843"
2003,TOTAL,"401,397","25,826","427,223"
2004,1,"35,511","2,255","37,766"
2004,2,"33,737","2,084","35,821"
2004,3,"37,113","2,258","39,371"
2004,4,"35,983","2,312","38,295"
2004,5,"36,776","2,450","39,226"
2004,6,"35,916","2,411","38,327"
2004,7,"36,990","2,496","39,486"
2004,8,"37,301","2,479","39,780"
2004,9,"33,879","2,234","36,113"
2004,10,"36,579","2,341","38,920"
2004,11,"34,792","2,236","37,028"
2004,12,"35,741","2,449","38,190"
2004,TOTAL,"430,318","28,005","458,323"
2005,1,"34,181","2,437","36,618"
2005,2,"34,051","2,155","36,206"
2005,3,"38,110","2,449","40,559"
2005,4,"37,465","2,359","39,824"
2005,5,"39,385","2,513","41,898"
2005,6,"37,606","2,461","40,067"
2005,7,"37,835","2,539","40,374"
2005,8,"37,898","2,540","40,438"
2005,9,"33,804","2,377","36,181"
2005,10,"35,685","2,382","38,067"
2005,11,"34,137","2,264","36,401"
2005,12,"34,671","2,577","37,248"
2005,TOTAL,"434,828","29,053","463,881"
2006,1,"34,189","2,553","36,742"
2006,2,"31,273","2,272","33,545"
2006,3,"36,212","2,742","38,954"
2006,4,"34,816","2,700","37,516"
2006,5,"35,713","2,792","38,505"
2006,6,"36,007","3,067","39,074"
2006,7,"37,896","3,206","41,102"
2006,8,"38,527","3,107","41,634"
2006,9,"35,398","2,671","38,069"
2006,10,"37,695","2,671","40,366"
2006,11,"36,642","2,624","39,266"
2006,12,"35,958","2,913","38,871"
2006,TOTAL,"430,326","33,318","463,644"
2007,1,"34,841","2,899","37,740"
2007,2,"31,754","2,638","34,392"
2007,3,"36,141","3,021","39,162"
2007,4,"35,188","2,880","38,068"
2007,5,"36,619","2,921","39,540"
2007,6,"37,697","3,244","40,941"
2007,7,"38,798","3,419","42,217"
2007,8,"38,887","3,258","42,145"
2007,9,"35,659","2,655","38,314"
2007,10,"38,352","2,677","41,029"
2007,11,"36,810","2,676","39,486"
2007,12,"36,415","2,920","39,335"
2007,TOTAL,"437,161","35,208","472,369"
2008,1,"35,116","2,864","37,980"
2008,2,"33,997","2,756","36,753"
2008,3,"37,280","3,120","40,400"
2008,4,"36,201","2,885","39,086"
2008,5,"36,344","3,022","39,366"
2008,6,"36,897","3,251","40,148"
2008,7,"37,595","3,460","41,055"
2008,8,"37,202","3,217","40,419"
2008,9,"34,762","2,517","37,279"
2008,10,"36,948","2,560","39,508"
2008,11,"35,821","2,521","38,342"
2008,12,"35,628","2,866","38,494"
2008,TOTAL,"433,791","35,039","468,830"
2009,1,"34,738","2,870","37,608"
2009,2,"32,247","2,479","34,726"
2009,3,"36,408","2,797","39,205"
2009,4,"35,949","2,730","38,679"
2009,5,"36,892","2,558","39,450"
2009,6,"37,781","2,952","40,733"
2009,7,"39,930","3,097","43,027"
2009,8,"39,237","2,832","42,069"
2009,9,"35,555","2,261","37,816"
2009,10,"37,339","2,297","39,636"
2009,11,"35,367","2,239","37,606"
2009,12,"35,211","2,680","37,891"
2009,TOTAL,"436,654","31,792","468,446"
2010,1,"34,414","2,680","37,094"
2010,2,"30,638","2,482","33,120"
2010,3,"36,263","2,920","39,183"
2010,4,"35,877","2,673","38,550"
2010,5,"36,587","2,792","39,379"
2010,6,"36,569","3,040","39,609"
2010,7,"37,514","3,270","40,784"
2010,8,"37,653","3,044","40,697"
2010,9,"35,174","2,419","37,593"
2010,10,"36,217","2,493","38,710"
2010,11,"34,473","2,364","36,837"
2010,12,"33,974","2,657","36,631"
2010,TOTAL,"425,353","32,834","458,187"
2011,1,"31,716","2,751","34,467"
2011,2,"30,417","2,636","33,053"
2011,3,"36,069","3,108","39,177"
2011,4,"33,920","2,806","36,726"
2011,5,"35,706","2,780","38,486"
2011,6,"35,439","3,013","38,452"
2011,7,"36,535","3,321","39,856"
2011,8,"36,117","3,059","39,176"
2011,9,"33,817","2,520","36,337"
2011,10,"35,301","2,606","37,907"
2011,11,"33,486","2,414","35,900"
2011,12,"33,284","2,732","36,016"
2011,TOTAL,"411,807","33,746","445,553"
2012,1,"33,311","2,802","36,113"
2012,2,"31,848","2,684","34,532"
2012,3,"35,827","3,049","38,876"
2012,4,"34,678","2,841","37,519"
2012,5,"35,834","2,936","38,770"
2012,6,"36,097","3,044","39,141"
2012,7,"36,696","3,168","39,864"
2012,8,"36,626","2,966","39,592"
2012,9,"33,628","2,555","36,183"
2012,10,"35,132","2,626","37,758"
2012,11,"33,219","2,472","35,691"
2012,12,"32,933","2,787","35,720"
2012,TOTAL,"415,829","33,930","449,759"
2013,1,"32,995","2,726","35,721"
2013,2,"30,015","2,532","32,547"
2013,3,"35,309","3,000","38,309"
2013,4,"34,263","2,915","37,178"
2013,5,"35,164","3,010","38,174"
2013,6,"34,847","3,123","37,970"
2013,7,"36,020","3,242","39,262"
2013,8,"35,947","3,023","38,970"
2013,9,"32,943","2,550","35,493"
2013,10,"34,612","2,673","37,285"
2013,11,"32,289","2,705","34,994"
2013,12,"32,496","2,992","35,488"
2013,TOTAL,"406,900","34,491","441,391"
2014,1,"29,912","2,996","32,908"
2014,2,"27,067","2,680","29,747"
2014,3,"34,009","3,292","37,301"
2014,4,"32,428","3,065","35,493"
2014,5,"33,258","3,231","36,489"
2014,6,"32,541","3,415","35,956"
2014,7,"33,351","3,596","36,947"
2014,8,"33,011","3,414","36,425"
2014,9,"31,613","2,819","34,432"
2014,10,"33,022","2,833","35,855"
2014,11,"30,567","2,885","33,452"
2014,12,"31,216","3,144","34,360"
2014,TOTAL,"381,995","37,370","419,365"
2015,1,"30,408","3,229","33,637"
2015,2,"27,328","2,818","30,146"
2015,3,"33,593","3,236","36,829"
2015,4,"32,311","3,169","35,480"
2015,5,"33,278","3,173","36,451"
2015,6,"33,302","3,300","36,602"
2015,7,"34,522","3,470","37,992"
2015,8,"34,529","3,390","37,919"
2015,9,"32,249","2,817","35,066"
2015,10,"33,602","2,861","36,463"
2015,11,"31,920","2,777","34,697"
2015,12,"31,977","3,106","35,083"
2015,TOTAL,"389,019","37,346","426,365"
2016,1,"30,853","3,242","34,095"
2016,2,"29,923","2,988","32,911"
2016,3,"34,166","3,273","37,439"
2016,4,"33,302","3,224","36,526"
2016,5,"34,300","3,285","37,585"
2016,6,"34,149","3,348","37,497"
2016,7,"34,680","3,460","38,140"
2016,8,"34,423","3,370","37,793"
2016,9,"32,387","2,890","35,277"
2016,10,"33,532","2,943","36,475"
2016,11,"31,944","2,724","34,668"
2016,12,"31,604","3,205","34,809"
2016,TOTAL,"395,263","37,952","433,215"
2017,1,"30,596","3,276","33,872"
2017,2,"28,531","2,916","31,447"
2017,3,"33,458","3,327","36,785"
2017,4,"31,184","3,237","34,421"
2017,5,"33,983","3,373","37,356"
2017,6,"33,901","3,516","37,417"
2017,7,"34,451","3,675","38,126"
2017,8,"34,379","3,507","37,886"
2017,9,"30,063","2,895","32,958"
2017,10,"32,752","3,052","35,804"
2017,11,"31,015","2,877","33,892"
2017,12,"29,821","3,263","33,084"
2017,TOTAL,"384,134","38,914","423,048"
2018,1,"30,059","3,400","33,459"
2018,2,"28,195","2,998","31,193"
2018,3,"33,656","3,486","37,142"
2018,4,"32,840","3,306","36,146"
2018,5,"34,014","3,507","37,521"
2018,6,"33,920","3,566","37,486"
2018,7,"34,826","3,727","38,553"
2018,8,"35,188","3,530","38,718"
2018,9,"31,520","2,984","34,504"
2018,10,"33,284","3,002","36,286"
2018,11,"31,385","2,836","34,221"
2018,12,"31,485","3,167","34,652"
2018,TOTAL,"390,372","39,509","429,881"
2019,1,"31,046","3,230","34,276"
2019,2,"28,229","2,900","31,129"
2019,3,"34,055","3,468","37,523"
2019,4,"32,963","3,275","36,238"
2019,5,"34,490","3,464","37,954"
2019,6,"34,239","3,501","37,740"
2019,7,"35,324","3,588","38,912"
2019,8,"35,535","3,488","39,023"
2019,9,"31,953","2,912","34,865"
2019,10,"33,840","2,888","36,728"
2019,11,"31,386","2,709","34,095"
2019,12,"32,500","2,996","35,496"
2019,TOTAL,"395,560","38,419","433,979"
2020,1,"32,327","3,048","35,375"
2020,2,"30,090","2,807","32,897"
2020,3,"27,416","2,205","29,621"
2020,4,"9,052",145,"9,197"
2020,5,"9,584",126,"9,710"
2020,6,"10,912",214,"11,126"
2020,7,"18,349",585,"18,934"
2020,8,"21,940",704,"22,644"
2020,9,"20,211",750,"20,961"
2020,10,"21,459",909,"22,368"
2020,11,"22,200","1,136","23,336"
2020,12,"23,105","1,549","24,654"
