"Flights (All Carriers - Austin, TX: Austin - Bergstrom International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"3,635",,"3,635"
2002,11,"3,445",,"3,445"
2002,12,"3,524",,"3,524"
2002,TOTAL,"41,763",1,"41,764"
2003,1,"3,550",,"3,550"
2003,2,"3,127",,"3,127"
2003,3,"3,594",,"3,594"
2003,4,"3,523",,"3,523"
2003,5,"3,696",,"3,696"
2003,6,"3,789",,"3,789"
2003,7,"3,887",,"3,887"
2003,8,"3,882",,"3,882"
2003,9,"3,797",,"3,797"
2003,10,"3,928",,"3,928"
2003,11,"3,677",,"3,677"
2003,12,"3,852",,"3,852"
2003,TOTAL,"44,302",0,"44,302"
2004,1,"3,669",,"3,669"
2004,2,"3,509",,"3,509"
2004,3,"3,928",,"3,928"
2004,4,"3,842",,"3,842"
2004,5,"3,936",,"3,936"
2004,6,"3,949",,"3,949"
2004,7,"3,970",,"3,970"
2004,8,"3,984",,"3,984"
2004,9,"3,843",,"3,843"
2004,10,"4,072",,"4,072"
2004,11,"3,761",11,"3,772"
2004,12,"3,879",13,"3,892"
2004,TOTAL,"46,342",24,"46,366"
2005,1,"3,841",12,"3,853"
2005,2,"3,530",9,"3,539"
2005,3,"4,005",2,"4,007"
2005,4,"3,883",,"3,883"
2005,5,"4,007",,"4,007"
2005,6,"4,003",,"4,003"
2005,7,"4,164",1,"4,165"
2005,8,"4,173",,"4,173"
2005,9,"3,868",,"3,868"
2005,10,"3,980",,"3,980"
2005,11,"3,892",,"3,892"
2005,12,"3,853",,"3,853"
2005,TOTAL,"47,199",24,"47,223"
2006,1,"3,838",,"3,838"
2006,2,"3,587",1,"3,588"
2006,3,"4,269",1,"4,270"
2006,4,"4,065",,"4,065"
2006,5,"4,234",,"4,234"
2006,6,"4,176",,"4,176"
2006,7,"4,244",,"4,244"
2006,8,"4,288",,"4,288"
2006,9,"4,052",,"4,052"
2006,10,"4,289",,"4,289"
2006,11,"4,038",,"4,038"
2006,12,"4,128",10,"4,138"
2006,TOTAL,"49,208",12,"49,220"
2007,1,"3,932",17,"3,949"
2007,2,"3,642",14,"3,656"
2007,3,"4,217",18,"4,235"
2007,4,"4,225",16,"4,241"
2007,5,"4,659",14,"4,673"
2007,6,"4,697",17,"4,714"
2007,7,"4,914",27,"4,941"
2007,8,"4,934",31,"4,965"
2007,9,"4,668",30,"4,698"
2007,10,"4,859",31,"4,890"
2007,11,"4,607",28,"4,635"
2007,12,"4,869",31,"4,900"
2007,TOTAL,"54,223",274,"54,497"
2008,1,"4,521",31,"4,552"
2008,2,"4,247",29,"4,276"
2008,3,"4,573",30,"4,603"
2008,4,"4,398",15,"4,413"
2008,5,"4,787",107,"4,894"
2008,6,"4,807",93,"4,900"
2008,7,"4,667",89,"4,756"
2008,8,"4,558",80,"4,638"
2008,9,"3,889",64,"3,953"
2008,10,"4,110",71,"4,181"
2008,11,"3,826",68,"3,894"
2008,12,"3,936",65,"4,001"
2008,TOTAL,"52,319",742,"53,061"
2009,1,"3,851",55,"3,906"
2009,2,"3,485",44,"3,529"
2009,3,"3,987",59,"4,046"
2009,4,"3,854",44,"3,898"
2009,5,"3,848",18,"3,866"
2009,6,"3,926",22,"3,948"
2009,7,"4,068",25,"4,093"
2009,8,"4,022",25,"4,047"
2009,9,"3,757",6,"3,763"
2009,10,"3,904",1,"3,905"
2009,11,"3,732",,"3,732"
2009,12,"3,834",,"3,834"
2009,TOTAL,"46,268",299,"46,567"
2010,1,"3,763",4,"3,767"
2010,2,"3,374",,"3,374"
2010,3,"3,952",,"3,952"
2010,4,"3,840",,"3,840"
2010,5,"3,927",,"3,927"
2010,6,"4,004",9,"4,013"
2010,7,"4,177",9,"4,186"
2010,8,"4,136",2,"4,138"
2010,9,"3,885",,"3,885"
2010,10,"3,981",,"3,981"
2010,11,"3,898",,"3,898"
