"Flights (All Carriers - Baltimore, MD: Baltimore/Washington International Thurgood Marshall (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"9,543",279,"9,822"
2002,11,"8,757",258,"9,015"
2002,12,"8,912",255,"9,167"
2002,TOTAL,"104,748","1,781","106,529"
2003,1,"9,198",246,"9,444"
2003,2,"7,601",214,"7,815"
2003,3,"9,470",233,"9,703"
2003,4,"9,288",281,"9,569"
2003,5,"9,425",135,"9,560"
2003,6,"9,312",256,"9,568"
2003,7,"9,551",319,"9,870"
2003,8,"9,557",273,"9,830"
2003,9,"8,881",266,"9,147"
2003,10,"9,604",283,"9,887"
2003,11,"9,013",263,"9,276"
2003,12,"9,399",266,"9,665"
2003,TOTAL,"110,299","3,035","113,334"
2004,1,"9,279",273,"9,552"
2004,2,"9,005",273,"9,278"
2004,3,"9,836",311,"10,147"
2004,4,"9,585",267,"9,852"
2004,5,"9,842",295,"10,137"
2004,6,"9,774",323,"10,097"
2004,7,"9,939",352,"10,291"
2004,8,"9,985",349,"10,334"
2004,9,"9,400",227,"9,627"
2004,10,"10,126",255,"10,381"
2004,11,"9,623",254,"9,877"
2004,12,"9,995",263,"10,258"
2004,TOTAL,"116,389","3,442","119,831"
2005,1,"9,555",273,"9,828"
2005,2,"8,934",248,"9,182"
2005,3,"10,122",289,"10,411"
2005,4,"9,839",265,"10,104"
2005,5,"10,190",268,"10,458"
2005,6,"9,845",276,"10,121"
2005,7,"10,068",291,"10,359"
2005,8,"10,110",292,"10,402"
2005,9,"9,449",266,"9,715"
2005,10,"9,898",255,"10,153"
2005,11,"9,545",245,"9,790"
2005,12,"9,559",261,"9,820"
2005,TOTAL,"117,114","3,229","120,343"
2006,1,"9,569",285,"9,854"
2006,2,"8,414",259,"8,673"
2006,3,"9,656",290,"9,946"
2006,4,"9,421",292,"9,713"
2006,5,"9,791",281,"10,072"
2006,6,"9,763",272,"10,035"
2006,7,"10,097",259,"10,356"
2006,8,"10,195",281,"10,476"
2006,9,"9,723",284,"10,007"
2006,10,"10,258",271,"10,529"
2006,11,"9,688",248,"9,936"
2006,12,"9,640",250,"9,890"
2006,TOTAL,"116,215","3,272","119,487"
2007,1,"9,558",211,"9,769"
2007,2,"8,328",211,"8,539"
2007,3,"9,692",263,"9,955"
2007,4,"9,607",270,"9,877"
2007,5,"10,112",247,"10,359"
2007,6,"9,873",275,"10,148"
2007,7,"10,158",294,"10,452"
2007,8,"10,224",282,"10,506"
2007,9,"9,635",249,"9,884"
2007,10,"9,941",249,"10,190"
2007,11,"9,467",207,"9,674"
2007,12,"9,388",200,"9,588"
2007,TOTAL,"115,983","2,958","118,941"
2008,1,"9,330",170,"9,500"
2008,2,"8,635",187,"8,822"
2008,3,"9,506",200,"9,706"
2008,4,"9,362",196,"9,558"
2008,5,"9,784",188,"9,972"
2008,6,"9,620",213,"9,833"
2008,7,"9,876",223,"10,099"
2008,8,"9,678",241,"9,919"
2008,9,"8,814",211,"9,025"
2008,10,"9,160",220,"9,380"
2008,11,"8,684",180,"8,864"
2008,12,"8,729",179,"8,908"
2008,TOTAL,"111,178","2,408","113,586"
2009,1,"8,508",180,"8,688"
2009,2,"7,811",163,"7,974"
2009,3,"9,130",194,"9,324"
2009,4,"9,282",204,"9,486"
2009,5,"9,710",74,"9,784"
2009,6,"9,751",214,"9,965"
2009,7,"10,079",220,"10,299"
2009,8,"9,814",202,"10,016"
2009,9,"8,979",193,"9,172"
2009,10,"9,466",197,"9,663"
2009,11,"9,024",191,"9,215"
2009,12,"8,864",196,"9,060"
2009,TOTAL,"110,418","2,228","112,646"
2010,1,"8,805",185,"8,990"
2010,2,"6,654",181,"6,835"
2010,3,"9,561",250,"9,811"
2010,4,"9,528",224,"9,752"
2010,5,"10,121",277,"10,398"
2010,6,"10,221",254,"10,475"
2010,7,"10,452",250,"10,702"
2010,8,"10,363",259,"10,622"
2010,9,"9,465",238,"9,703"
2010,10,"9,904",249,"10,153"
2010,11,"9,309",233,"9,542"
2010,12,"9,140",216,"9,356"
2010,TOTAL,"113,523","2,816","116,339"
2011,1,"8,612",213,"8,825"
2011,2,"7,970",191,"8,161"
2011,3,"9,926",230,"10,156"
2011,4,"9,839",249,"10,088"
2011,5,"10,367",278,"10,645"
2011,6,"10,508",282,"10,790"
2011,7,"10,823",295,"11,118"
2011,8,"10,094",285,"10,379"
2011,9,"9,445",249,"9,694"
2011,10,"9,956",255,"10,211"
2011,11,"9,134",222,"9,356"
2011,12,"9,142",249,"9,391"
2011,TOTAL,"115,816","2,998","118,814"
2012,1,"8,807",252,"9,059"
2012,2,"8,546",241,"8,787"
2012,3,"9,683",263,"9,946"
2012,4,"9,601",271,"9,872"
2012,5,"10,027",321,"10,348"
2012,6,"10,163",320,"10,483"
2012,7,"10,409",336,"10,745"
2012,8,"10,019",340,"10,359"
2012,9,"9,200",306,"9,506"
2012,10,"9,019",320,"9,339"
2012,11,"8,729",274,"9,003"
2012,12,"8,481",275,"8,756"
2012,TOTAL,"112,684","3,519","116,203"
2013,1,"8,142",305,"8,447"
2013,2,"7,553",267,"7,820"
2013,3,"9,008",311,"9,319"
2013,4,"9,141",307,"9,448"
2013,5,"9,589",344,"9,933"
2013,6,"9,505",372,"9,877"
2013,7,"9,731",384,"10,115"
2013,8,"9,516",376,"9,892"
2013,9,"8,436",294,"8,730"
2013,10,"9,029",302,"9,331"
2013,11,"8,228",310,"8,538"
2013,12,"8,290",300,"8,590"
2013,TOTAL,"106,168","3,872","110,040"
2014,1,"7,380",297,"7,677"
2014,2,"6,658",261,"6,919"
2014,3,"8,301",320,"8,621"
2014,4,"8,605",317,"8,922"
2014,5,"8,860",338,"9,198"
2014,6,"8,780",324,"9,104"
2014,7,"9,010",370,"9,380"
2014,8,"8,747",318,"9,065"
2014,9,"8,038",280,"8,318"
2014,10,"8,400",287,"8,687"
2014,11,"7,856",343,"8,199"
2014,12,"8,080",351,"8,431"
2014,TOTAL,"98,715","3,806","102,521"
2015,1,"7,322",358,"7,680"
2015,2,"6,350",320,"6,670"
2015,3,"7,968",391,"8,359"
2015,4,"8,465",417,"8,882"
2015,5,"8,779",443,"9,222"
2015,6,"8,787",455,"9,242"
2015,7,"9,345",484,"9,829"
2015,8,"8,804",389,"9,193"
2015,9,"8,210",324,"8,534"
2015,10,"8,521",340,"8,861"
2015,11,"8,412",405,"8,817"
2015,12,"8,446",427,"8,873"
2015,TOTAL,"99,409","4,753","104,162"
