"Flights (All Carriers - Charlotte, NC: Charlotte Douglas International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"15,410",426,"15,836"
2002,11,"14,630",504,"15,134"
2002,12,"14,086",519,"14,605"
2002,TOTAL,"135,952","5,038","140,990"
2003,1,"13,593",567,"14,160"
2003,2,"12,336",508,"12,844"
2003,3,"14,919",610,"15,529"
2003,4,"14,180",596,"14,776"
2003,5,"15,385",632,"16,017"
2003,6,"15,346",659,"16,005"
2003,7,"16,003",689,"16,692"
2003,8,"16,048",688,"16,736"
2003,9,"14,848",538,"15,386"
2003,10,"16,015",552,"16,567"
2003,11,"14,522",661,"15,183"
2003,12,"15,023",701,"15,724"
2003,TOTAL,"178,218","7,401","185,619"
2004,1,"14,827",705,"15,532"
2004,2,"14,131",716,"14,847"
2004,3,"15,610",805,"16,415"
2004,4,"15,349",781,"16,130"
2004,5,"15,459",811,"16,270"
2004,6,"15,148",795,"15,943"
2004,7,"15,554",825,"16,379"
2004,8,"15,767",812,"16,579"
2004,9,"15,292",571,"15,863"
2004,10,"16,575",574,"17,149"
2004,11,"16,288",672,"16,960"
2004,12,"16,728",712,"17,440"
2004,TOTAL,"186,728","8,779","195,507"
2005,1,"16,452",741,"17,193"
2005,2,"16,329",712,"17,041"
2005,3,"18,688",821,"19,509"
2005,4,"18,176",804,"18,980"
2005,5,"18,805",831,"19,636"
2005,6,"18,510",883,"19,393"
2005,7,"18,805",917,"19,722"
2005,8,"18,754",865,"19,619"
2005,9,"17,305",641,"17,946"
2005,10,"17,848",596,"18,444"
2005,11,"17,192",651,"17,843"
2005,12,"17,478",767,"18,245"
2005,TOTAL,"214,342","9,229","223,571"
2006,1,"17,172",834,"18,006"
2006,2,"15,594",757,"16,351"
2006,3,"17,585",864,"18,449"
2006,4,"16,981",878,"17,859"
2006,5,"17,756",816,"18,572"
2006,6,"17,119",814,"17,933"
2006,7,"17,856",865,"18,721"
2006,8,"17,975",785,"18,760"
2006,9,"17,655",593,"18,248"
2006,10,"18,565",597,"19,162"
2006,11,"17,937",714,"18,651"
2006,12,"18,277",774,"19,051"
2006,TOTAL,"210,472","9,291","219,763"
2007,1,"18,307",770,"19,077"
2007,2,"16,263",697,"16,960"
2007,3,"18,560",810,"19,370"
2007,4,"18,058",804,"18,862"
2007,5,"18,692",758,"19,450"
2007,6,"17,782",764,"18,546"
2007,7,"18,409",790,"19,199"
2007,8,"18,492",738,"19,230"
2007,9,"17,908",551,"18,459"
2007,10,"19,104",550,"19,654"
2007,11,"18,426",705,"19,131"
2007,12,"18,449",802,"19,251"
2007,TOTAL,"218,450","8,739","227,189"
2008,1,"18,606",840,"19,446"
2008,2,"17,317",799,"18,116"
2008,3,"18,859",910,"19,769"
2008,4,"18,723",862,"19,585"
2008,5,"19,683",835,"20,518"
