"Flights (All Carriers - Chicago, IL: Chicago O'Hare International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"35,632","2,995","38,627"
2002,11,"32,679","2,796","35,475"
2002,12,"33,274","2,897","36,171"
2002,TOTAL,"364,001","34,625","398,626"
2003,1,"33,304","2,926","36,230"
2003,2,"29,502","2,640","32,142"
2003,3,"33,209","2,969","36,178"
2003,4,"31,614","2,772","34,386"
2003,5,"32,880","2,921","35,801"
2003,6,"33,235","3,185","36,420"
2003,7,"31,592","3,300","34,892"
2003,8,"34,078","3,374","37,452"
2003,9,"33,086","3,103","36,189"
2003,10,"34,906","3,083","37,989"
2003,11,"33,890","2,880","36,770"
2003,12,"36,154","3,049","39,203"
2003,TOTAL,"397,450","36,202","433,652"
2004,1,"34,272","3,044","37,316"
2004,2,"34,169","2,900","37,069"
2004,3,"36,326","3,148","39,474"
2004,4,"35,923","3,130","39,053"
2004,5,"35,177","3,145","38,322"
2004,6,"35,842","3,321","39,163"
2004,7,"36,914","3,498","40,412"
2004,8,"37,250","3,513","40,763"
2004,9,"35,227","3,280","38,507"
2004,10,"36,766","3,300","40,066"
2004,11,"34,124","3,183","37,307"
2004,12,"34,912","3,314","38,226"
2004,TOTAL,"426,902","38,776","465,678"
2005,1,"32,757","3,334","36,091"
2005,2,"31,589","3,107","34,696"
2005,3,"35,696","3,492","39,188"
2005,4,"34,848","3,492","38,340"
2005,5,"35,482","3,641","39,123"
2005,6,"35,130","3,640","38,770"
2005,7,"35,568","3,804","39,372"
2005,8,"36,328","3,763","40,091"
2005,9,"33,945","3,511","37,456"
2005,10,"34,904","3,487","38,391"
2005,11,"33,213","3,226","36,439"
2005,12,"33,304","3,374","36,678"
2005,TOTAL,"412,764","41,871","454,635"
2006,1,"33,356","3,543","36,899"
2006,2,"30,866","3,209","34,075"
2006,3,"34,437","3,608","38,045"
2006,4,"33,553","3,593","37,146"
2006,5,"34,679","3,732","38,411"
2006,6,"34,628","3,827","38,455"
2006,7,"34,993","3,956","38,949"
2006,8,"35,691","3,956","39,647"
2006,9,"33,197","3,658","36,855"
2006,10,"34,342","3,616","37,958"
2006,11,"32,794","3,570","36,364"
2006,12,"32,467","3,678","36,145"
2006,TOTAL,"405,003","43,946","448,949"
2007,1,"33,770","3,761","37,531"
2007,2,"28,895","3,305","32,200"
2007,3,"34,067","3,803","37,870"
2007,4,"32,813","3,667","36,480"
2007,5,"35,031","3,767","38,798"
2007,6,"33,182","3,757","36,939"
2007,7,"34,337","3,985","38,322"
2007,8,"34,413","3,968","38,381"
2007,9,"32,786","3,709","36,495"
2007,10,"34,405","3,743","38,148"
2007,11,"32,475","3,504","35,979"
2007,12,"30,039","3,639","33,678"
2007,TOTAL,"396,213","44,608","440,821"
2008,1,"30,675","3,812","34,487"
2008,2,"27,443","3,463","30,906"
2008,3,"31,805","3,922","35,727"
2008,4,"31,905","3,807","35,712"
2008,5,"33,204","3,885","37,089"
2008,6,"32,314","4,015","36,329"
2008,7,"34,221","4,139","38,360"
2008,8,"33,248","4,181","37,429"
2008,9,"30,872","3,750","34,622"
2008,10,"31,939","3,876","35,815"
2008,11,"28,066","3,528","31,594"
2008,12,"27,727","3,632","31,359"
2008,TOTAL,"373,419","46,010","419,429"
2009,1,"28,018","3,663","31,681"
2009,2,"26,500","3,305","29,805"
2009,3,"30,047","3,830","33,877"
2009,4,"28,933","3,742","32,675"
2009,5,"29,718","3,607","33,325"
2009,6,"29,717","3,759","33,476"
2009,7,"31,050","3,970","35,020"
2009,8,"31,110","3,953","35,063"
2009,9,"29,508","3,555","33,063"
2009,10,"30,450","3,701","34,151"
2009,11,"28,536","3,398","31,934"
2009,12,"28,295","3,558","31,853"
2009,TOTAL,"351,882","44,041","395,923"
2010,1,"28,651","3,685","32,336"
2010,2,"26,406","3,322","29,728"
2010,3,"31,009","3,813","34,822"
2010,4,"31,290","3,564","34,854"
2010,5,"32,024","3,903","35,927"
2010,6,"31,592","3,941","35,533"
2010,7,"33,623","4,187","37,810"
2010,8,"34,187","4,011","38,198"
2010,9,"32,299","3,546","35,845"
2010,10,"33,119","3,593","36,712"
2010,11,"31,318","3,255","34,573"
2010,12,"27,514","3,368","30,882"
2010,TOTAL,"373,032","44,188","417,220"
2011,1,"27,183","3,535","30,718"
2011,2,"25,627","2,996","28,623"
2011,3,"32,865","3,651","36,516"
2011,4,"30,940","3,662","34,602"
2011,5,"31,589","3,844","35,433"
2011,6,"32,536","3,809","36,345"
2011,7,"33,885","3,961","37,846"
2011,8,"34,035","3,936","37,971"
2011,9,"31,569","3,651","35,220"
2011,10,"32,443","3,758","36,201"
2011,11,"29,766","3,153","32,919"
2011,12,"30,314","3,397","33,711"
2011,TOTAL,"372,752","43,353","416,105"
2012,1,"29,200","3,302","32,502"
2012,2,"28,160","3,120","31,280"
2012,3,"31,283","3,455","34,738"
2012,4,"31,707","3,357","35,064"
2012,5,"32,107","3,608","35,715"
2012,6,"33,112","3,764","36,876"
2012,7,"33,523","3,975","37,498"
2012,8,"34,214","3,993","38,207"
2012,9,"31,342","3,660","35,002"
2012,10,"32,390","3,730","36,120"
2012,11,"30,141","3,201","33,342"
2012,12,"29,164","3,225","32,389"
2012,TOTAL,"376,343","42,390","418,733"
2013,1,"29,291","3,306","32,597"
2013,2,"26,224","2,954","29,178"
2013,3,"30,949","3,556","34,505"
2013,4,"30,341","3,500","33,841"
2013,5,"32,789","3,828","36,617"
2013,6,"32,778","4,018","36,796"
2013,7,"34,573","4,198","38,771"
2013,8,"34,426","4,215","38,641"
2013,9,"31,793","3,923","35,716"
2013,10,"33,736","3,996","37,732"
2013,11,"30,621","3,384","34,005"
2013,12,"29,200","3,514","32,714"
2013,TOTAL,"376,721","44,392","421,113"
2014,1,"24,854","3,268","28,122"
2014,2,"25,816","3,056","28,872"
2014,3,"31,157","3,824","34,981"
2014,4,"31,273","3,755","35,028"
2014,5,"32,103","4,088","36,191"
2014,6,"32,691","4,229","36,920"
2014,7,"35,115","4,473","39,588"
2014,8,"33,973","4,263","38,236"
2014,9,"31,231","3,844","35,075"
2014,10,"33,516","3,548","37,064"
2014,11,"30,834","3,187","34,021"
2014,12,"30,846","3,392","34,238"
2014,TOTAL,"373,409","44,927","418,336"
2015,1,"28,363","3,268","31,631"
2015,2,"25,400","2,896","28,296"
2015,3,"31,442","3,496","34,938"
2015,4,"30,964","3,541","34,505"
2015,5,"32,333","3,821","36,154"
2015,6,"32,225","3,911","36,136"
2015,7,"33,705","4,108","37,813"
2015,8,"33,490","4,040","37,530"
