"Flights (All Carriers - Chicago, IL: Chicago Midway International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"9,697",62,"9,759"
2002,11,"9,020",79,"9,099"
2002,12,"9,236",74,"9,310"
2002,TOTAL,"103,738",745,"104,483"
2003,1,"9,458",74,"9,532"
2003,2,"8,261",84,"8,345"
2003,3,"9,270",90,"9,360"
2003,4,"9,230",49,"9,279"
2003,5,"9,342",63,"9,405"
2003,6,"9,459",56,"9,515"
2003,7,"9,516",55,"9,571"
2003,8,"9,572",58,"9,630"
2003,9,"9,460",40,"9,500"
2003,10,"10,120",51,"10,171"
2003,11,"9,384",59,"9,443"
2003,12,"9,831",77,"9,908"
2003,TOTAL,"112,903",756,"113,659"
2004,1,"9,619",91,"9,710"
2004,2,"9,369",83,"9,452"
2004,3,"10,252",85,"10,337"
2004,4,"9,992",83,"10,075"
2004,5,"9,983",62,"10,045"
2004,6,"10,251",129,"10,380"
2004,7,"10,379",119,"10,498"
2004,8,"10,604",110,"10,714"
2004,9,"9,671",64,"9,735"
2004,10,"10,372",69,"10,441"
2004,11,"9,474",62,"9,536"
2004,12,"9,721",83,"9,804"
2004,TOTAL,"119,687","1,040","120,727"
2005,1,"8,245",85,"8,330"
2005,2,"6,870",67,"6,937"
2005,3,"7,988",72,"8,060"
2005,4,"7,649",71,"7,720"
2005,5,"7,991",63,"8,054"
2005,6,"8,069",63,"8,132"
2005,7,"8,509",61,"8,570"
2005,8,"8,651",61,"8,712"
2005,9,"8,098",45,"8,143"
2005,10,"8,319",40,"8,359"
2005,11,"7,791",32,"7,823"
2005,12,"7,915",46,"7,961"
2005,TOTAL,"96,095",706,"96,801"
2006,1,"8,197",54,"8,251"
2006,2,"7,418",55,"7,473"
2006,3,"8,522",66,"8,588"
2006,4,"8,167",64,"8,231"
2006,5,"8,543",60,"8,603"
2006,6,"8,576",60,"8,636"
2006,7,"8,905",62,"8,967"
2006,8,"9,060",60,"9,120"
2006,9,"8,258",38,"8,296"
2006,10,"8,783",37,"8,820"
2006,11,"8,363",46,"8,409"
2006,12,"8,486",53,"8,539"
2006,TOTAL,"101,278",655,"101,933"
2007,1,"8,680",40,"8,720"
2007,2,"7,593",35,"7,628"
2007,3,"9,018",49,"9,067"
2007,4,"8,943",41,"8,984"
2007,5,"9,201",35,"9,236"
2007,6,"8,930",35,"8,965"
2007,7,"9,043",35,"9,078"
2007,8,"9,078",34,"9,112"
2007,9,"8,516",35,"8,551"
2007,10,"8,972",35,"9,007"
2007,11,"8,468",39,"8,507"
2007,12,"8,195",45,"8,240"
2007,TOTAL,"104,637",458,"105,095"
2008,1,"8,301",37,"8,338"
2008,2,"7,342",38,"7,380"
2008,3,"8,419",51,"8,470"
2008,4,"8,252",2,"8,254"
2008,5,"8,266",,"8,266"
2008,6,"7,906",,"7,906"
2008,7,"8,085",,"8,085"
2008,8,"7,959",,"7,959"
2008,9,"7,548",,"7,548"
2008,10,"7,875",1,"7,876"
2008,11,"7,147",50,"7,197"
2008,12,"6,826",70,"6,896"
2008,TOTAL,"93,926",249,"94,175"
2009,1,"6,760",114,"6,874"
2009,2,"6,300",125,"6,425"
2009,3,"7,709",147,"7,856"
2009,4,"7,671",127,"7,798"
2009,5,"7,863",134,"7,997"
2009,6,"7,842",147,"7,989"
2009,7,"8,179",156,"8,335"
2009,8,"7,959",146,"8,105"
2009,9,"7,430",151,"7,581"
2009,10,"7,667",152,"7,819"
2009,11,"7,374",145,"7,519"
2009,12,"7,498",130,"7,628"
2009,TOTAL,"90,252","1,674","91,926"
2010,1,"7,018",117,"7,135"
2010,2,"6,044",113,"6,157"
2010,3,"7,622",134,"7,756"
2010,4,"7,699",141,"7,840"
2010,5,"7,940",147,"8,087"
2010,6,"7,693",151,"7,844"
2010,7,"7,709",156,"7,865"
2010,8,"7,576",153,"7,729"
2010,9,"7,086",151,"7,237"
2010,10,"7,331",146,"7,477"
2010,11,"7,082",150,"7,232"
2010,12,"6,901",140,"7,041"
2010,TOTAL,"87,701","1,699","89,400"
2011,1,"6,798",136,"6,934"
2011,2,"5,818",111,"5,929"
2011,3,"7,707",170,"7,877"
2011,4,"7,744",158,"7,902"
2011,5,"7,970",185,"8,155"
2011,6,"8,119",201,"8,320"
2011,7,"8,321",210,"8,531"
2011,8,"8,009",217,"8,226"
2011,9,"7,373",180,"7,553"
2011,10,"7,783",192,"7,975"
2011,11,"7,315",216,"7,531"
2011,12,"7,517",224,"7,741"
2011,TOTAL,"90,474","2,200","92,674"
2012,1,"6,735",208,"6,943"
2012,2,"6,476",141,"6,617"
2012,3,"7,898",196,"8,094"
2012,4,"7,788",202,"7,990"
2012,5,"7,959",233,"8,192"
2012,6,"8,022",257,"8,279"
2012,7,"8,344",286,"8,630"
2012,8,"8,028",289,"8,317"
2012,9,"7,352",255,"7,607"
2012,10,"7,732",258,"7,990"
2012,11,"7,090",255,"7,345"
2012,12,"7,123",245,"7,368"
2012,TOTAL,"90,547","2,825","93,372"
2013,1,"6,690",280,"6,970"
2013,2,"6,035",240,"6,275"
2013,3,"7,565",261,"7,826"
2013,4,"7,726",281,"8,007"
2013,5,"7,970",323,"8,293"
2013,6,"8,140",303,"8,443"
2013,7,"8,526",334,"8,860"
2013,8,"8,271",330,"8,601"
2013,9,"7,639",296,"7,935"
2013,10,"7,913",305,"8,218"
2013,11,"7,085",300,"7,385"
2013,12,"7,378",272,"7,650"
2013,TOTAL,"90,938","3,525","94,463"
2014,1,"5,781",263,"6,044"
2014,2,"5,805",240,"6,045"
2014,3,"7,545",315,"7,860"
2014,4,"7,704",305,"8,009"
2014,5,"7,786",327,"8,113"
2014,6,"8,028",310,"8,338"
2014,7,"8,421",327,"8,748"
2014,8,"8,102",318,"8,420"
2014,9,"7,293",276,"7,569"
2014,10,"7,913",299,"8,212"
2014,11,"7,139",348,"7,487"
2014,12,"7,381",327,"7,708"
2014,TOTAL,"88,898","3,655","92,553"
2015,1,"6,630",291,"6,921"
2015,2,"5,719",248,"5,967"
2015,3,"7,340",348,"7,688"
2015,4,"7,539",352,"7,891"
2015,5,"7,669",366,"8,035"
2015,6,"7,974",399,"8,373"
2015,7,"8,535",436,"8,971"
2015,8,"8,119",388,"8,507"
2015,9,"7,583",336,"7,919"
2015,10,"7,856",339,"8,195"
2015,11,"7,021",334,"7,355"
2015,12,"6,959",336,"7,295"
2015,TOTAL,"88,944","4,173","93,117"
2016,1,"6,745",315,"7,060"
2016,2,"6,155",290,"6,445"
2016,3,"7,276",367,"7,643"
2016,4,"7,419",357,"7,776"
2016,5,"7,674",379,"8,053"
2016,6,"8,069",391,"8,460"
2016,7,"8,138",415,"8,553"
