"Flights (All Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"29,537","1,600","31,137"
2002,11,"27,705","1,514","29,219"
2002,12,"28,455","1,578","30,033"
2002,TOTAL,"327,700","18,485","346,185"
2003,1,"28,625","1,580","30,205"
2003,2,"24,807","1,367","26,174"
2003,3,"28,753","1,572","30,325"
2003,4,"27,835","1,395","29,230"
2003,5,"28,738","1,401","30,139"
2003,6,"28,260","1,507","29,767"
2003,7,"29,103","1,601","30,704"
2003,8,"29,092","1,642","30,734"
2003,9,"28,011","1,404","29,415"
2003,10,"29,646","1,450","31,096"
2003,11,"29,039","1,532","30,571"
2003,12,"30,608","1,642","32,250"
2003,TOTAL,"342,517","18,093","360,610"
2004,1,"30,351","1,677","32,028"
2004,2,"28,326","1,610","29,936"
2004,3,"30,985","1,742","32,727"
2004,4,"29,981","1,685","31,666"
2004,5,"30,695","1,709","32,404"
2004,6,"29,807","1,781","31,588"
2004,7,"30,722","1,923","32,645"
2004,8,"30,933","1,926","32,859"
2004,9,"29,086","1,595","30,681"
2004,10,"30,423","1,603","32,026"
2004,11,"28,652","1,673","30,325"
2004,12,"28,382","1,809","30,191"
2004,TOTAL,"358,343","20,733","379,076"
2005,1,"27,441","1,903","29,344"
2005,2,"22,778","1,765","24,543"
2005,3,"25,814","1,981","27,795"
2005,4,"25,209","1,893","27,102"
2005,5,"26,658","1,972","28,630"
2005,6,"26,531","2,039","28,570"
2005,7,"27,460","2,176","29,636"
2005,8,"27,412","2,079","29,491"
2005,9,"25,535","1,830","27,365"
2005,10,"25,975","1,848","27,823"
2005,11,"25,342","1,795","27,137"
2005,12,"25,661","1,921","27,582"
2005,TOTAL,"311,816","23,202","335,018"
2006,1,"25,651","1,935","27,586"
2006,2,"22,802","1,750","24,552"
2006,3,"25,377","1,961","27,338"
2006,4,"25,138","1,910","27,048"
2006,5,"26,293","1,961","28,254"
2006,6,"25,719","1,921","27,640"
2006,7,"26,380","2,073","28,453"
2006,8,"26,528","2,034","28,562"
2006,9,"24,912","1,854","26,766"
2006,10,"26,182","1,863","28,045"
2006,11,"24,440","1,792","26,232"
2006,12,"25,328","1,991","27,319"
2006,TOTAL,"304,750","23,045","327,795"
2007,1,"24,532","2,008","26,540"
2007,2,"22,301","1,775","24,076"
2007,3,"25,354","2,005","27,359"
2007,4,"24,298","1,931","26,229"
2007,5,"25,431","1,993","27,424"
2007,6,"24,357","1,954","26,311"
2007,7,"25,805","2,044","27,849"
2007,8,"26,166","2,040","28,206"
2007,9,"24,668","1,739","26,407"
2007,10,"25,800","1,791","27,591"
2007,11,"24,875","1,762","26,637"
2007,12,"24,507","1,970","26,477"
2007,TOTAL,"298,094","23,012","321,106"
2008,1,"24,175","1,948","26,123"
2008,2,"22,528","1,808","24,336"
2008,3,"22,832","1,895","24,727"
2008,4,"22,999","1,804","24,803"
2008,5,"24,752","1,902","26,654"
2008,6,"24,629","1,878","26,507"
2008,7,"25,846","1,985","27,831"
2008,8,"25,626","2,029","27,655"
2008,9,"23,587","1,736","25,323"
2008,10,"24,073","1,801","25,874"
2008,11,"22,297","1,794","24,091"
2008,12,"23,025","1,842","24,867"
2008,TOTAL,"286,369","22,422","308,791"
2009,1,"22,926","1,830","24,756"
2009,2,"21,207","1,645","22,852"
2009,3,"23,465","1,823","25,288"
2009,4,"22,789","1,766","24,555"
2009,5,"23,735","1,644","25,379"
2009,6,"23,493","1,713","25,206"
2009,7,"24,716","1,859","26,575"
2009,8,"24,844","1,781","26,625"
2009,9,"23,499","1,649","25,148"
2009,10,"24,039","1,717","25,756"
2009,11,"23,264","1,692","24,956"
2009,12,"23,475","1,793","25,268"
2009,TOTAL,"281,452","20,912","302,364"
2010,1,"23,755","1,830","25,585"
2010,2,"20,806","1,631","22,437"
2010,3,"24,397","1,865","26,262"
2010,4,"23,791","1,813","25,604"
2010,5,"24,071","1,936","26,007"
2010,6,"23,923","1,971","25,894"
2010,7,"24,721","2,100","26,821"
2010,8,"25,117","1,969","27,086"
2010,9,"23,682","1,679","25,361"
2010,10,"24,420","1,769","26,189"
2010,11,"23,346","1,725","25,071"
2010,12,"23,917","1,897","25,814"
2010,TOTAL,"285,946","22,185","308,131"
2011,1,"23,605","1,964","25,569"
2011,2,"20,181","1,740","21,921"
2011,3,"24,548","2,046","26,594"
2011,4,"23,075","1,880","24,955"
2011,5,"23,045","1,913","24,958"
2011,6,"24,262","2,090","26,352"
2011,7,"24,947","2,233","27,180"
2011,8,"24,849","2,152","27,001"
2011,9,"23,425","1,956","25,381"
2011,10,"24,003","2,045","26,048"
2011,11,"22,510","1,885","24,395"
2011,12,"22,834","2,022","24,856"
2011,TOTAL,"281,284","23,926","305,210"
2012,1,"22,941","1,989","24,930"
2012,2,"21,650","1,910","23,560"
2012,3,"23,661","2,072","25,733"
2012,4,"22,664","1,954","24,618"
2012,5,"24,561","2,098","26,659"
2012,6,"24,058","2,213","26,271"
2012,7,"24,608","2,436","27,044"
2012,8,"24,859","2,300","27,159"
2012,9,"23,173","2,017","25,190"
2012,10,"24,256","2,122","26,378"
2012,11,"23,226","2,155","25,381"
2012,12,"23,483","2,410","25,893"
2012,TOTAL,"283,140","25,676","308,816"
2013,1,"23,998","2,356","26,354"
2013,2,"22,286","2,113","24,399"
2013,3,"25,429","2,389","27,818"
2013,4,"24,581","2,242","26,823"
2013,5,"25,470","2,426","27,896"
2013,6,"25,123","2,613","27,736"
2013,7,"25,932","2,803","28,735"
2013,8,"26,010","2,672","28,682"
2013,9,"24,311","2,217","26,528"
2013,10,"25,455","2,282","27,737"
2013,11,"23,363","2,250","25,613"
2013,12,"22,278","2,373","24,651"
2013,TOTAL,"294,236","28,736","322,972"
2014,1,"24,307","2,542","26,849"
2014,2,"21,249","2,172","23,421"
2014,3,"24,734","2,516","27,250"
2014,4,"23,955","2,390","26,345"
2014,5,"24,564","2,536","27,100"
2014,6,"24,873","2,711","27,584"
2014,7,"25,715","2,890","28,605"
2014,8,"25,491","2,697","28,188"
2014,9,"24,623","2,281","26,904"
2014,10,"24,879","2,243","27,122"
2014,11,"23,611","2,439","26,050"
2014,12,"25,051","2,582","27,633"
2014,TOTAL,"293,052","29,999","323,051"
2015,1,"24,679","2,550","27,229"
2015,2,"20,654","2,168","22,822"
2015,3,"24,628","2,476","27,104"
2015,4,"24,240","2,422","26,662"
2015,5,"24,263","2,640","26,903"
2015,6,"25,235","2,815","28,050"
2015,7,"26,367","2,955","29,322"
2015,8,"26,023","2,770","28,793"
2015,9,"24,084","2,348","26,432"
2015,10,"24,456","2,400","26,856"
2015,11,"23,173","2,315","25,488"
2015,12,"23,830","2,579","26,409"
2015,TOTAL,"291,632","30,438","322,070"
2016,1,"23,745","2,538","26,283"
2016,2,"22,378","2,355","24,733"
2016,3,"24,647","2,698","27,345"
2016,4,"23,293","2,600","25,893"
2016,5,"24,315","2,746","27,061"
2016,6,"24,357","2,961","27,318"
2016,7,"25,138","3,083","28,221"
2016,8,"24,519","2,878","27,397"
2016,9,"23,202","2,408","25,610"
2016,10,"23,634","2,567","26,201"
2016,11,"22,152","2,464","24,616"
2016,12,"22,979","2,696","25,675"
2016,TOTAL,"284,359","31,994","316,353"
2017,1,"22,499","2,630","25,129"
2017,2,"20,534","2,400","22,934"
2017,3,"23,510","2,712","26,222"
2017,4,"21,689","2,592","24,281"
2017,5,"23,239","2,785","26,024"
2017,6,"23,359","3,010","26,369"
2017,7,"24,393","3,175","27,568"
2017,8,"24,244","3,063","27,307"
2017,9,"22,222","2,606","24,828"
2017,10,"23,305","2,665","25,970"
2017,11,"21,588","2,455","24,043"
2017,12,"22,738","2,717","25,455"
2017,TOTAL,"273,320","32,810","306,130"
2018,1,"22,274","2,659","24,933"
2018,2,"20,294","2,390","22,684"
2018,3,"23,373","2,745","26,118"
2018,4,"22,811","2,603","25,414"
2018,5,"23,905","2,790","26,695"
2018,6,"24,621","3,072","27,693"
2018,7,"25,258","3,152","28,410"
2018,8,"25,323","2,942","28,265"
2018,9,"22,585","2,544","25,129"
2018,10,"23,565","2,632","26,197"
2018,11,"22,846","2,543","25,389"
2018,12,"22,830","2,746","25,576"
2018,TOTAL,"279,685","32,818","312,503"
2019,1,"23,325","2,730","26,055"
2019,2,"21,169","2,441","23,610"
2019,3,"24,434","2,824","27,258"
2019,4,"23,466","2,638","26,104"
2019,5,"25,889","2,975","28,864"
2019,6,"25,850","3,369","29,219"
2019,7,"27,115","3,575","30,690"
2019,8,"27,672","3,401","31,073"
2019,9,"26,010","2,789","28,799"
2019,10,"26,283","2,863","29,146"
2019,11,"25,379","2,619","27,998"
2019,12,"25,798","2,927","28,725"
2019,TOTAL,"302,390","35,151","337,541"
2020,1,"24,300","2,812","27,112"
2020,2,"23,279","2,547","25,826"
2020,3,"22,013","2,141","24,154"
2020,4,"9,761",654,"10,415"
2020,5,"11,371",720,"12,091"
2020,6,"12,655",903,"13,558"
2020,7,"19,115","1,241","20,356"
2020,8,"19,673","1,222","20,895"
2020,9,"17,835","1,278","19,113"
2020,10,"19,466","1,573","21,039"
2020,11,"19,132","1,781","20,913"
2020,12,"19,818","2,097","21,915"
2020,TOTAL,"218,418","18,969","237,387"
2021,1,"19,731","2,274","22,005"
2021,2,"15,214","1,855","17,069"
2021,3,"22,631","2,415","25,046"
2021,4,"21,880","2,346","24,226"
2021,5,"24,121","2,467","26,588"
2021,6,"25,031","2,804","27,835"
2021,7,"26,293","2,948","29,241"
2021,8,"24,992","2,589","27,581"
2021,9,"24,002","2,256","26,258"
2021,10,"24,193","2,425","26,618"
2021,11,"23,458","2,324","25,782"
2021,12,"23,573","2,719","26,292"
2021,TOTAL,"275,119","29,422","304,541"
2022,1,"22,369","2,701","25,070"
2022,2,"17,999","2,133","20,132"
2022,3,"22,483","2,699","25,182"
2022,4,"22,722","2,730","25,452"
2022,5,"23,669","2,979","26,648"
2022,6,"23,948","3,198","27,146"
2022,7,"24,534","3,319","27,853"
2022,8,"24,281","3,055","27,336"
2022,9,"23,495","2,669","26,164"
2022,10,"23,811","2,793","26,604"
2022,11,"21,492","2,680","24,172"
2022,12,"21,941","2,963","24,904"
2022,TOTAL,"272,744","33,919","306,663"
2023,1,"21,389","2,821","24,210"
2023,2,"20,730","2,468","23,198"
2023,3,"23,180","2,924","26,104"
2023,4,"22,760","2,749","25,509"
2023,5,"24,101","2,941","27,042"
2023,6,"25,190","3,305","28,495"
2023,7,"26,351","3,553","29,904"
2023,8,"26,700","3,219","29,919"
2023,9,"24,845","2,621","27,466"
2023,10,"25,917","2,785","28,702"
2023,11,"24,526","2,827","27,353"
2023,12,"24,188","3,264","27,452"
2023,TOTAL,"289,877","35,477","325,354"
2024,1,"23,340","3,252","26,592"
2024,2,"23,084","3,071","26,155"
2024,3,"25,621","3,427","29,048"
2024,4,"24,833","3,090","27,923"
2024,5,"25,885","3,271","29,156"
2024,6,"27,729","3,662","31,391"
2024,7,"29,121","3,679","32,800"
2024,8,"28,191","3,338","31,529"
2024,9,"26,653","2,773","29,426"
2024,10,"28,331","2,997","31,328"
2024,11,"25,274","3,012","28,286"
2024,TOTAL,"288,062","35,572","323,634"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
