"Flights (All Carriers - Denver, CO: Denver International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"18,939",497,"19,436"
2002,11,"17,683",469,"18,152"
2002,12,"19,168",510,"19,678"
2002,TOTAL,"190,251","5,090","195,341"
2003,1,"19,163",531,"19,694"
2003,2,"16,948",502,"17,450"
2003,3,"17,813",529,"18,342"
2003,4,"17,312",511,"17,823"
2003,5,"17,876",546,"18,422"
2003,6,"18,866",547,"19,413"
2003,7,"19,907",582,"20,489"
2003,8,"19,946",608,"20,554"
2003,9,"18,745",563,"19,308"
2003,10,"19,358",537,"19,895"
2003,11,"18,475",482,"18,957"
2003,12,"20,086",548,"20,634"
2003,TOTAL,"224,495","6,486","230,981"
2004,1,"20,256",561,"20,817"
2004,2,"19,489",534,"20,023"
2004,3,"21,862",596,"22,458"
2004,4,"20,889",558,"21,447"
2004,5,"21,546",603,"22,149"
2004,6,"22,032",566,"22,598"
2004,7,"23,002",582,"23,584"
2004,8,"22,980",578,"23,558"
2004,9,"20,845",498,"21,343"
2004,10,"20,788",533,"21,321"
2004,11,"19,399",533,"19,932"
2004,12,"20,956",623,"21,579"
2004,TOTAL,"254,044","6,765","260,809"
2005,1,"20,242",648,"20,890"
2005,2,"18,791",580,"19,371"
2005,3,"21,553",661,"22,214"
2005,4,"19,719",648,"20,367"
2005,5,"21,570",698,"22,268"
2005,6,"22,204",689,"22,893"
2005,7,"23,349",661,"24,010"
2005,8,"23,350",638,"23,988"
2005,9,"21,250",522,"21,772"
2005,10,"21,136",574,"21,710"
2005,11,"19,832",530,"20,362"
2005,12,"21,103",672,"21,775"
2005,TOTAL,"254,099","7,521","261,620"
2006,1,"21,711",738,"22,449"
2006,2,"20,027",673,"20,700"
2006,3,"22,762",809,"23,571"
2006,4,"21,479",760,"22,239"
2006,5,"23,367",749,"24,116"
2006,6,"23,546",818,"24,364"
2006,7,"24,605",845,"25,450"
2006,8,"25,167",790,"25,957"
2006,9,"22,798",766,"23,564"
2006,10,"23,229",796,"24,025"
2006,11,"21,759",814,"22,573"
2006,12,"20,658",891,"21,549"
2006,TOTAL,"271,108","9,449","280,557"
2007,1,"22,979",958,"23,937"
2007,2,"20,746",876,"21,622"
2007,3,"24,144","1,046","25,190"
2007,4,"22,761",988,"23,749"
2007,5,"23,680","1,036","24,716"
2007,6,"23,613","1,020","24,633"
2007,7,"25,104",964,"26,068"
2007,8,"25,134",958,"26,092"
2007,9,"22,946",857,"23,803"
2007,10,"23,778",941,"24,719"
2007,11,"22,659",964,"23,623"
2007,12,"23,021","1,106","24,127"
2007,TOTAL,"280,565","11,714","292,279"
2008,1,"23,175",992,"24,167"
2008,2,"22,372",894,"23,266"
2008,3,"23,883","1,014","24,897"
2008,4,"23,501",978,"24,479"
2008,5,"24,730",975,"25,705"
2008,6,"25,004",978,"25,982"
2008,7,"25,866",932,"26,798"
2008,8,"25,444",936,"26,380"
2008,9,"22,436",881,"23,317"
2008,10,"23,032",866,"23,898"
2008,11,"21,712",860,"22,572"
2008,12,"22,965",986,"23,951"
2008,TOTAL,"284,120","11,292","295,412"
2009,1,"22,812","1,008","23,820"
2009,2,"21,165",951,"22,116"
2009,3,"23,905","1,058","24,963"
2009,4,"22,293","1,017","23,310"
2009,5,"23,269",863,"24,132"
2009,6,"24,609",898,"25,507"
2009,7,"25,542","1,025","26,567"
2009,8,"25,328","1,023","26,351"
2009,9,"22,643",871,"23,514"
2009,10,"22,816",895,"23,711"
2009,11,"22,021",864,"22,885"
2009,12,"23,339",995,"24,334"
2009,TOTAL,"279,742","11,468","291,210"
2010,1,"23,220","1,023","24,243"
2010,2,"21,482","1,005","22,487"
