"Flights (All Carriers - Detroit, MI: Detroit Metro Wayne County (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"18,427","1,056","19,483"
2002,11,"17,383",986,"18,369"
2002,12,"17,657","1,021","18,678"
2002,TOTAL,"202,615","11,215","213,830"
2003,1,"17,636","1,092","18,728"
2003,2,"16,014","1,003","17,017"
2003,3,"18,725","1,129","19,854"
2003,4,"17,638",913,"18,551"
2003,5,"18,048",900,"18,948"
2003,6,"18,088","1,072","19,160"
2003,7,"18,878","1,194","20,072"
2003,8,"18,450","1,162","19,612"
2003,9,"17,579","1,132","18,711"
2003,10,"18,804","1,065","19,869"
2003,11,"17,928",986,"18,914"
2003,12,"18,590",939,"19,529"
2003,TOTAL,"216,378","12,587","228,965"
2004,1,"17,787",982,"18,769"
2004,2,"17,504",995,"18,499"
2004,3,"19,327","1,108","20,435"
2004,4,"19,113","1,103","20,216"
2004,5,"19,253","1,094","20,347"
2004,6,"19,275","1,250","20,525"
2004,7,"19,878","1,402","21,280"
2004,8,"20,110","1,428","21,538"
2004,9,"18,773","1,326","20,099"
2004,10,"19,868","1,278","21,146"
2004,11,"19,144","1,155","20,299"
2004,12,"19,145","1,148","20,293"
2004,TOTAL,"229,177","14,269","243,446"
2005,1,"18,443","1,185","19,628"
2005,2,"17,375","1,133","18,508"
2005,3,"20,172","1,313","21,485"
2005,4,"20,165","1,329","21,494"
2005,5,"20,479","1,331","21,810"
2005,6,"19,784","1,363","21,147"
2005,7,"20,241","1,471","21,712"
2005,8,"20,018","1,476","21,494"
2005,9,"18,581","1,420","20,001"
2005,10,"18,660","1,285","19,945"
2005,11,"17,667","1,162","18,829"
2005,12,"18,089","1,154","19,243"
2005,TOTAL,"229,674","15,622","245,296"
2006,1,"17,424","1,247","18,671"
2006,2,"15,935","1,147","17,082"
2006,3,"18,259","1,329","19,588"
2006,4,"17,526","1,317","18,843"
2006,5,"17,958","1,291","19,249"
2006,6,"17,488","1,288","18,776"
2006,7,"18,236","1,340","19,576"
2006,8,"18,349","1,329","19,678"
2006,9,"17,291","1,272","18,563"
2006,10,"17,988","1,232","19,220"
2006,11,"17,253","1,036","18,289"
2006,12,"17,546","1,100","18,646"
2006,TOTAL,"211,253","14,928","226,181"
2007,1,"17,409","1,187","18,596"
2007,2,"15,556","1,131","16,687"
2007,3,"17,807","1,304","19,111"
2007,4,"17,473","1,280","18,753"
2007,5,"17,863","1,281","19,144"
2007,6,"16,887","1,297","18,184"
2007,7,"17,416","1,418","18,834"
2007,8,"17,713","1,413","19,126"
2007,9,"16,612","1,294","17,906"
2007,10,"17,590","1,284","18,874"
2007,11,"16,806","1,134","17,940"
2007,12,"16,608","1,152","17,760"
2007,TOTAL,"205,740","15,175","220,915"
2008,1,"17,137","1,264","18,401"
2008,2,"15,890","1,253","17,143"
2008,3,"17,468","1,426","18,894"
2008,4,"17,349","1,340","18,689"
2008,5,"17,576","1,376","18,952"
2008,6,"17,550","1,382","18,932"
2008,7,"18,105","1,452","19,557"
2008,8,"17,494","1,415","18,909"
2008,9,"16,098","1,295","17,393"
2008,10,"16,794","1,234","18,028"
2008,11,"16,120","1,099","17,219"
2008,12,"16,349","1,150","17,499"
2008,TOTAL,"203,930","15,686","219,616"
2009,1,"16,126","1,199","17,325"
2009,2,"14,958","1,082","16,040"
2009,3,"16,865","1,206","18,071"
2009,4,"16,722","1,141","17,863"
2009,5,"16,731","1,006","17,737"
2009,6,"16,859","1,042","17,901"
2009,7,"17,247","1,105","18,352"
2009,8,"16,820","1,051","17,871"
2009,9,"15,505",934,"16,439"
2009,10,"16,020",900,"16,920"
2009,11,"15,701",858,"16,559"
2009,12,"15,941",917,"16,858"
2009,TOTAL,"195,495","12,441","207,936"
2010,1,"15,845",966,"16,811"
2010,2,"14,352",903,"15,255"
2010,3,"17,122","1,150","18,272"
2010,4,"17,054","1,136","18,190"
2010,5,"17,368","1,116","18,484"
2010,6,"17,774","1,265","19,039"
2010,7,"18,385","1,306","19,691"
2010,8,"18,565","1,319","19,884"
2010,9,"17,136","1,175","18,311"
2010,10,"17,614","1,192","18,806"
2010,11,"16,625","1,099","17,724"
2010,12,"16,009","1,058","17,067"
2010,TOTAL,"203,849","13,685","217,534"
2011,1,"15,849","1,038","16,887"
2011,2,"13,915",950,"14,865"
2011,3,"17,415","1,189","18,604"
2011,4,"16,725","1,095","17,820"
2011,5,"16,848","1,025","17,873"
2011,6,"17,653","1,111","18,764"
2011,7,"18,405","1,224","19,629"
2011,8,"18,184","1,228","19,412"
2011,9,"16,501","1,093","17,594"
2011,10,"17,065","1,104","18,169"
2011,11,"16,185","1,029","17,214"
2011,12,"15,605","1,048","16,653"
2011,TOTAL,"200,350","13,134","213,484"
2012,1,"15,023","1,074","16,097"
2012,2,"14,010","1,057","15,067"
2012,3,"16,942","1,239","18,181"
2012,4,"16,336","1,109","17,445"
2012,5,"16,563","1,145","17,708"
2012,6,"17,085","1,225","18,310"
2012,7,"17,272","1,233","18,505"
2012,8,"17,348","1,251","18,599"
2012,9,"15,465","1,093","16,558"
2012,10,"16,305","1,102","17,407"
2012,11,"15,499",984,"16,483"
2012,12,"14,438",956,"15,394"
2012,TOTAL,"192,286","13,468","205,754"
2013,1,"14,496","1,065","15,561"
2013,2,"13,234",997,"14,231"
2013,3,"16,658","1,206","17,864"
2013,4,"16,188","1,082","17,270"
2013,5,"16,598","1,105","17,703"
2013,6,"16,816","1,149","17,965"
2013,7,"17,553","1,206","18,759"
2013,8,"17,773","1,246","19,019"
2013,9,"15,699","1,061","16,760"
2013,10,"16,540","1,101","17,641"
2013,11,"15,161","1,015","16,176"
2013,12,"14,628","1,012","15,640"
2013,TOTAL,"191,344","13,245","204,589"
2014,1,"13,350","1,046","14,396"
2014,2,"12,523","1,000","13,523"
2014,3,"15,249","1,215","16,464"
2014,4,"14,875","1,099","15,974"
2014,5,"15,244","1,078","16,322"
2014,6,"15,082","1,136","16,218"
2014,7,"15,659","1,183","16,842"
2014,8,"15,624","1,167","16,791"
2014,9,"14,469","1,048","15,517"
2014,10,"15,032","1,030","16,062"
2014,11,"14,066",958,"15,024"
2014,12,"13,939",985,"14,924"
2014,TOTAL,"175,112","12,945","188,057"
2015,1,"13,308","1,022","14,330"
2015,2,"12,025",884,"12,909"
2015,3,"14,748","1,077","15,825"
2015,4,"14,153","1,001","15,154"
2015,5,"14,428","1,047","15,475"
2015,6,"14,258","1,013","15,271"
2015,7,"15,349","1,048","16,397"
2015,8,"15,176","1,046","16,222"
2015,9,"13,930",972,"14,902"
2015,10,"14,543",964,"15,507"
2015,11,"14,173",873,"15,046"
2015,12,"13,837",926,"14,763"
2015,TOTAL,"169,928","11,873","181,801"
2016,1,"13,681","1,006","14,687"
2016,2,"13,261",932,"14,193"
2016,3,"15,090","1,067","16,157"
2016,4,"14,628","1,014","15,642"
2016,5,"15,359","1,024","16,383"
2016,6,"15,259","1,023","16,282"
2016,7,"15,509","1,032","16,541"
2016,8,"15,695","1,066","16,761"
2016,9,"14,560","1,009","15,569"
2016,10,"15,028","1,002","16,030"
2016,11,"14,075",854,"14,929"
2016,12,"13,883",972,"14,855"
2016,TOTAL,"176,028","12,001","188,029"
2017,1,"13,640","1,030","14,670"
2017,2,"12,695",931,"13,626"
2017,3,"15,088","1,097","16,185"
2017,4,"14,458","1,087","15,545"
2017,5,"15,206","1,104","16,310"
2017,6,"15,452","1,091","16,543"
2017,7,"15,612","1,116","16,728"
2017,8,"16,055","1,101","17,156"
2017,9,"14,346","1,008","15,354"
2017,10,"15,244","1,039","16,283"
2017,11,"14,266",897,"15,163"
2017,12,"13,869","1,023","14,892"
2017,TOTAL,"175,931","12,524","188,455"
2018,1,"13,696","1,065","14,761"
2018,2,"12,285",914,"13,199"
2018,3,"15,018","1,176","16,194"
2018,4,"14,621","1,099","15,720"
2018,5,"15,110","1,166","16,276"
2018,6,"15,115","1,174","16,289"
2018,7,"15,349","1,216","16,565"
2018,8,"15,852","1,215","17,067"
2018,9,"14,314","1,113","15,427"
2018,10,"15,033","1,105","16,138"
2018,11,"14,023",972,"14,995"
2018,12,"13,861","1,094","14,955"
2018,TOTAL,"174,277","13,309","187,586"
2019,1,"13,298","1,126","14,424"
2019,2,"12,227",967,"13,194"
2019,3,"15,118","1,214","16,332"
