"Flights (All Carriers - Fort Lauderdale, FL: Fort Lauderdale-Hollywood International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"5,670","1,068","6,738"
2002,11,"5,758","1,306","7,064"
2002,12,"6,252","1,283","7,535"
2002,TOTAL,"68,508","7,225","75,733"
2003,1,"6,403","1,377","7,780"
2003,2,"5,996","1,316","7,312"
2003,3,"6,933","1,545","8,478"
2003,4,"6,551","1,371","7,922"
2003,5,"5,978","1,242","7,220"
2003,6,"5,629","1,313","6,942"
2003,7,"6,007","1,365","7,372"
2003,8,"5,972","1,403","7,375"
2003,9,"5,670","1,030","6,700"
2003,10,"6,278","1,093","7,371"
2003,11,"6,439","1,450","7,889"
2003,12,"6,915","1,671","8,586"
2003,TOTAL,"74,771","16,176","90,947"
2004,1,"6,937","1,648","8,585"
2004,2,"7,041","1,599","8,640"
2004,3,"7,716","1,719","9,435"
2004,4,"7,416","1,650","9,066"
2004,5,"6,745","1,576","8,321"
2004,6,"6,410","1,490","7,900"
2004,7,"6,580","1,813","8,393"
2004,8,"6,554","1,747","8,301"
2004,9,"5,148",765,"5,913"
2004,10,"7,071","1,184","8,255"
2004,11,"7,218","1,374","8,592"
2004,12,"8,423","1,600","10,023"
2004,TOTAL,"83,259","18,165","101,424"
2005,1,"8,441","1,641","10,082"
2005,2,"8,363","1,596","9,959"
2005,3,"9,310","2,043","11,353"
2005,4,"8,643","1,908","10,551"
2005,5,"8,178","1,954","10,132"
2005,6,"7,692","1,807","9,499"
2005,7,"8,080","2,079","10,159"
2005,8,"7,821","1,769","9,590"
2005,9,"6,796","1,390","8,186"
2005,10,"6,578","1,338","7,916"
2005,11,"7,964","1,674","9,638"
2005,12,"8,042","1,877","9,919"
2005,TOTAL,"95,908","21,076","116,984"
2006,1,"7,845","1,847","9,692"
2006,2,"7,249","1,689","8,938"
2006,3,"8,521","1,926","10,447"
2006,4,"8,085","1,865","9,950"
2006,5,"7,070","1,735","8,805"
2006,6,"6,680","1,811","8,491"
2006,7,"6,847","1,897","8,744"
2006,8,"6,622","1,650","8,272"
2006,9,"6,019","1,295","7,314"
2006,10,"6,446","1,368","7,814"
2006,11,"6,764","1,511","8,275"
2006,12,"7,504","1,858","9,362"
2006,TOTAL,"85,652","20,452","106,104"
2007,1,"7,654","1,841","9,495"
2007,2,"7,216","1,814","9,030"
2007,3,"8,462","2,137","10,599"
2007,4,"8,014","1,927","9,941"
2007,5,"7,289","1,843","9,132"
2007,6,"7,027","1,961","8,988"
2007,7,"7,221","2,079","9,300"
2007,8,"7,103","1,978","9,081"
2007,9,"6,318","1,555","7,873"
2007,10,"6,784","1,532","8,316"
2007,11,"7,387","1,690","9,077"
2007,12,"7,972","2,125","10,097"
2007,TOTAL,"88,447","22,482","110,929"
2008,1,"7,939","2,127","10,066"
2008,2,"7,866","2,204","10,070"
2008,3,"8,858","2,220","11,078"
2008,4,"8,112","1,997","10,109"
2008,5,"7,611","2,000","9,611"
2008,6,"7,058","2,019","9,077"
2008,7,"7,159","1,993","9,152"
2008,8,"6,733","1,730","8,463"
2008,9,"5,408","1,284","6,692"
2008,10,"5,844","1,342","7,186"
2008,11,"6,425","1,503","7,928"
2008,12,"6,957","1,694","8,651"
2008,TOTAL,"85,970","22,113","108,083"
2009,1,"6,839","1,774","8,613"
2009,2,"6,321","1,638","7,959"
2009,3,"7,299","1,840","9,139"
2009,4,"6,757","1,784","8,541"
2009,5,"6,377","1,702","8,079"
2009,6,"6,133","1,653","7,786"
2009,7,"6,495","1,857","8,352"
2009,8,"6,385","1,826","8,211"
2009,9,"5,597","1,333","6,930"
2009,10,"6,033","1,362","7,395"
2009,11,"6,525","1,576","8,101"
2009,12,"7,189","1,883","9,072"
2009,TOTAL,"77,950","20,228","98,178"
2010,1,"7,198","1,806","9,004"
2010,2,"6,485","1,726","8,211"
2010,3,"7,601","1,820","9,421"
2010,4,"6,985","1,703","8,688"
2010,5,"6,447","1,643","8,090"
