"Flights (All Carriers - Houston, TX: George Bush Intercontinental/Houston (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"15,592","2,306","17,898"
2002,11,"14,669","2,205","16,874"
2002,12,"15,208","2,355","17,563"
2002,TOTAL,"180,372","28,139","208,511"
2003,1,"14,898","2,410","17,308"
2003,2,"13,585","2,201","15,786"
2003,3,"15,730","2,487","18,217"
2003,4,"14,934","2,254","17,188"
2003,5,"15,645","2,442","18,087"
2003,6,"15,828","2,594","18,422"
2003,7,"16,737","2,840","19,577"
2003,8,"16,343","2,692","19,035"
2003,9,"15,449","2,322","17,771"
2003,10,"16,336","2,446","18,782"
2003,11,"15,776","2,521","18,297"
2003,12,"17,056","2,720","19,776"
2003,TOTAL,"188,317","29,929","218,246"
2004,1,"16,369","2,798","19,167"
2004,2,"15,801","2,667","18,468"
2004,3,"17,485","2,942","20,427"
2004,4,"16,809","2,879","19,688"
2004,5,"17,119","3,004","20,123"
2004,6,"16,836","3,141","19,977"
2004,7,"17,715","3,377","21,092"
2004,8,"17,676","3,279","20,955"
2004,9,"16,153","2,808","18,961"
2004,10,"17,095","2,890","19,985"
2004,11,"16,769","2,939","19,708"
2004,12,"17,832","3,342","21,174"
2004,TOTAL,"203,659","36,066","239,725"
2005,1,"17,062","3,447","20,509"
2005,2,"15,969","3,136","19,105"
2005,3,"19,229","3,571","22,800"
2005,4,"18,136","3,324","21,460"
2005,5,"18,886","3,332","22,218"
2005,6,"19,314","3,696","23,010"
2005,7,"19,856","4,106","23,962"
2005,8,"19,934","3,889","23,823"
2005,9,"16,266","2,837","19,103"
2005,10,"19,015","3,144","22,159"
2005,11,"18,459","3,154","21,613"
2005,12,"19,673","3,601","23,274"
2005,TOTAL,"221,799","41,237","263,036"
2006,1,"18,951","3,643","22,594"
2006,2,"17,504","3,332","20,836"
2006,3,"20,817","3,841","24,658"
2006,4,"19,542","3,755","23,297"
2006,5,"20,396","3,569","23,965"
2006,6,"20,714","3,940","24,654"
2006,7,"21,328","4,300","25,628"
2006,8,"21,313","4,192","25,505"
2006,9,"19,055","3,263","22,318"
2006,10,"20,057","3,308","23,365"
2006,11,"19,690","3,407","23,097"
2006,12,"20,432","3,779","24,211"
2006,TOTAL,"239,799","44,329","284,128"
2007,1,"19,684","3,661","23,345"
2007,2,"18,451","3,416","21,867"
2007,3,"21,135","3,965","25,100"
2007,4,"20,272","3,892","24,164"
