"Flights (All Carriers - Los Angeles, CA: Los Angeles International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"21,018","3,649","24,667"
2002,11,"19,952","3,625","23,577"
2002,12,"20,607","3,878","24,485"
2002,TOTAL,"208,709","42,569","251,278"
2003,1,"20,146","3,807","23,953"
2003,2,"17,954","3,314","21,268"
2003,3,"19,978","3,731","23,709"
2003,4,"18,707","3,459","22,166"
2003,5,"19,071","3,338","22,409"
2003,6,"19,191","3,427","22,618"
2003,7,"19,967","3,783","23,750"
2003,8,"19,949","3,633","23,582"
2003,9,"18,855","3,289","22,144"
2003,10,"19,229","3,426","22,655"
2003,11,"18,783","3,485","22,268"
2003,12,"20,039","3,747","23,786"
2003,TOTAL,"231,869","42,439","274,308"
2004,1,"19,823","3,696","23,519"
2004,2,"18,572","3,393","21,965"
2004,3,"20,229","3,654","23,883"
2004,4,"20,067","3,660","23,727"
2004,5,"20,628","3,814","24,442"
2004,6,"20,584","3,972","24,556"
2004,7,"21,346","4,316","25,662"
2004,8,"21,274","4,326","25,600"
2004,9,"19,525","3,977","23,502"
2004,10,"20,238","4,061","24,299"
2004,11,"19,489","3,994","23,483"
2004,12,"20,235","4,339","24,574"
2004,TOTAL,"242,010","47,202","289,212"
2005,1,"19,617","4,246","23,863"
2005,2,"17,805","3,710","21,515"
2005,3,"20,063","4,195","24,258"
2005,4,"19,200","4,171","23,371"
2005,5,"20,152","4,238","24,390"
2005,6,"19,943","4,444","24,387"
2005,7,"20,572","4,866","25,438"
2005,8,"20,736","4,801","25,537"
2005,9,"19,441","4,184","23,625"
2005,10,"19,845","4,074","23,919"
2005,11,"19,116","3,896","23,012"
2005,12,"19,646","4,295","23,941"
2005,TOTAL,"236,136","51,120","287,256"
2006,1,"19,412","4,135","23,547"
2006,2,"17,618","3,569","21,187"
2006,3,"19,924","4,039","23,963"
2006,4,"19,200","3,916","23,116"
2006,5,"20,092","4,006","24,098"
2006,6,"20,054","4,062","24,116"
2006,7,"20,812","4,561","25,373"
2006,8,"21,115","4,500","25,615"
2006,9,"19,547","4,083","23,630"
2006,10,"20,275","3,985","24,260"
2006,11,"19,350","3,797","23,147"
2006,12,"20,219","4,327","24,546"
2006,TOTAL,"237,618","48,980","286,598"
2007,1,"20,028","4,382","24,410"
2007,2,"18,022","3,893","21,915"
2007,3,"20,488","4,324","24,812"
2007,4,"19,667","4,195","23,862"
2007,5,"20,490","4,208","24,698"
2007,6,"20,259","4,487","24,746"
2007,7,"21,808","4,940","26,748"
2007,8,"22,093","4,859","26,952"
2007,9,"20,623","4,274","24,897"
2007,10,"21,442","4,296","25,738"
2007,11,"20,739","4,088","24,827"
2007,12,"21,294","4,602","25,896"
2007,TOTAL,"246,953","52,548","299,501"
2008,1,"20,038","4,438","24,476"
2008,2,"18,608","4,148","22,756"
2008,3,"19,941","4,411","24,352"
2008,4,"19,376","4,206","23,582"
2008,5,"20,259","4,240","24,499"
2008,6,"20,578","4,398","24,976"
2008,7,"21,336","4,413","25,749"
2008,8,"20,775","4,339","25,114"
2008,9,"17,255","3,778","21,033"
2008,10,"17,927","3,753","21,680"
2008,11,"16,316","3,480","19,796"
2008,12,"17,045","3,762","20,807"
2008,TOTAL,"229,454","49,366","278,820"
2009,1,"16,731","3,659","20,390"
2009,2,"15,336","3,199","18,535"
2009,3,"17,421","3,645","21,066"
2009,4,"16,784","3,588","20,372"
2009,5,"17,393","3,485","20,878"
2009,6,"17,756","3,519","21,275"
2009,7,"18,727","4,008","22,735"
2009,8,"18,579","3,956","22,535"
