"Flights (All Carriers - Boston, MA: Logan International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"13,886","1,621","15,507"
2002,11,"12,108","1,373","13,481"
2002,12,"11,919","1,359","13,278"
2002,TOTAL,"134,031","17,266","151,297"
2003,1,"12,074","1,378","13,452"
2003,2,"10,181","1,175","11,356"
2003,3,"12,172","1,374","13,546"
2003,4,"11,732","1,283","13,015"
2003,5,"12,302","1,218","13,520"
2003,6,"13,179","1,477","14,656"
2003,7,"14,316","1,676","15,992"
2003,8,"14,230","1,667","15,897"
2003,9,"13,113","1,545","14,658"
2003,10,"13,084","1,577","14,661"
2003,11,"11,631","1,379","13,010"
2003,12,"11,207","1,314","12,521"
2003,TOTAL,"149,221","17,063","166,284"
2004,1,"11,673","1,288","12,961"
2004,2,"11,683","1,185","12,868"
2004,3,"12,790","1,431","14,221"
2004,4,"13,002","1,470","14,472"
2004,5,"13,352","1,566","14,918"
2004,6,"14,367","1,581","15,948"
2004,7,"15,523","1,743","17,266"
2004,8,"15,871","1,769","17,640"
2004,9,"14,246","1,546","15,792"
2004,10,"14,226","1,495","15,721"
2004,11,"13,092","1,274","14,366"
2004,12,"12,880","1,287","14,167"
2004,TOTAL,"162,705","17,635","180,340"
2005,1,"11,780","1,265","13,045"
2005,2,"11,888","1,242","13,130"
2005,3,"13,323","1,360","14,683"
2005,4,"13,765","1,464","15,229"
2005,5,"14,600","1,706","16,306"
2005,6,"14,432","1,698","16,130"
2005,7,"15,353","1,763","17,116"
2005,8,"15,602","1,721","17,323"
2005,9,"14,141","1,589","15,730"
2005,10,"13,257","1,466","14,723"
2005,11,"12,830","1,243","14,073"
2005,12,"12,508","1,177","13,685"
2005,TOTAL,"163,479","17,694","181,173"
2006,1,"12,461","1,153","13,614"
2006,2,"11,552","1,078","12,630"
2006,3,"13,618","1,325","14,943"
2006,4,"13,318","1,325","14,643"
2006,5,"13,627","1,411","15,038"
2006,6,"13,983","1,464","15,447"
2006,7,"15,207","1,606","16,813"
2006,8,"15,785","1,655","17,440"
2006,9,"14,269","1,601","15,870"
2006,10,"14,345","1,491","15,836"
2006,11,"13,301","1,201","14,502"
2006,12,"12,947","1,210","14,157"
2006,TOTAL,"164,413","16,520","180,933"
2007,1,"13,284","1,228","14,512"
2007,2,"11,606","1,093","12,699"
2007,3,"13,579","1,283","14,862"
2007,4,"13,484","1,341","14,825"
2007,5,"13,958","1,484","15,442"
2007,6,"13,879","1,616","15,495"
2007,7,"14,644","1,788","16,432"
2007,8,"15,075","1,808","16,883"
2007,9,"13,693","1,648","15,341"
2007,10,"13,660","1,598","15,258"
2007,11,"12,662","1,354","14,016"
2007,12,"11,486","1,259","12,745"
2007,TOTAL,"161,010","17,500","178,510"
2008,1,"11,580","1,263","12,843"
2008,2,"11,163","1,142","12,305"
2008,3,"12,555","1,284","13,839"
2008,4,"12,904","1,375","14,279"
2008,5,"13,345","1,360","14,705"
2008,6,"13,678","1,385","15,063"
2008,7,"14,594","1,451","16,045"
2008,8,"14,482","1,530","16,012"
