"Flights (All Carriers - Las Vegas, NV: Harry Reid International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"12,495",214,"12,709"
2002,11,"11,789",209,"11,998"
2002,12,"11,744",224,"11,968"
2002,TOTAL,"146,618","2,457","149,075"
2003,1,"12,073",222,"12,295"
2003,2,"11,103",221,"11,324"
2003,3,"12,674",252,"12,926"
2003,4,"12,233",220,"12,453"
2003,5,"12,471",233,"12,704"
2003,6,"12,387",235,"12,622"
2003,7,"12,886",294,"13,180"
2003,8,"12,992",278,"13,270"
2003,9,"12,605",235,"12,840"
2003,10,"13,267",251,"13,518"
2003,11,"12,776",267,"13,043"
2003,12,"13,113",300,"13,413"
2003,TOTAL,"150,580","3,008","153,588"
2004,1,"13,441",332,"13,773"
2004,2,"12,975",303,"13,278"
2004,3,"14,438",405,"14,843"
2004,4,"13,979",424,"14,403"
2004,5,"14,412",407,"14,819"
2004,6,"14,255",419,"14,674"
2004,7,"14,636",436,"15,072"
2004,8,"14,843",437,"15,280"
2004,9,"14,111",368,"14,479"
2004,10,"14,704",372,"15,076"
2004,11,"14,328",446,"14,774"
2004,12,"14,842",522,"15,364"
2004,TOTAL,"170,964","4,871","175,835"
2005,1,"14,611",490,"15,101"
2005,2,"13,516",460,"13,976"
2005,3,"15,641",608,"16,249"
2005,4,"15,232",555,"15,787"
2005,5,"15,868",552,"16,420"
2005,6,"15,486",525,"16,011"
2005,7,"15,614",570,"16,184"
2005,8,"16,252",553,"16,805"
2005,9,"15,621",536,"16,157"
2005,10,"16,240",628,"16,868"
2005,11,"15,477",687,"16,164"
2005,12,"15,619",665,"16,284"
2005,TOTAL,"185,177","6,829","192,006"
2006,1,"15,522",696,"16,218"
2006,2,"14,098",615,"14,713"
2006,3,"16,313",680,"16,993"
2006,4,"15,795",669,"16,464"
2006,5,"16,362",618,"16,980"
2006,6,"16,094",582,"16,676"
2006,7,"16,568",598,"17,166"
2006,8,"16,780",599,"17,379"
2006,9,"15,955",608,"16,563"
2006,10,"16,599",686,"17,285"
2006,11,"15,825",733,"16,558"
2006,12,"16,143",781,"16,924"
2006,TOTAL,"192,054","7,865","199,919"
2007,1,"15,814",778,"16,592"
2007,2,"14,455",685,"15,140"
2007,3,"16,661",815,"17,476"
2007,4,"16,188",769,"16,957"
2007,5,"16,859",763,"17,622"
2007,6,"16,261",670,"16,931"
2007,7,"16,802",687,"17,489"
2007,8,"16,775",715,"17,490"
2007,9,"16,193",761,"16,954"
2007,10,"17,116",817,"17,933"
2007,11,"16,415",813,"17,228"
2007,12,"16,360",787,"17,147"
2007,TOTAL,"195,899","9,060","204,959"
2008,1,"16,264",784,"17,048"
2008,2,"15,110",943,"16,053"
2008,3,"16,521",786,"17,307"
2008,4,"15,629",755,"16,384"
2008,5,"16,153",722,"16,875"
2008,6,"15,634",658,"16,292"
2008,7,"16,075",687,"16,762"
2008,8,"15,581",713,"16,294"
2008,9,"14,224",723,"14,947"
2008,10,"14,765",776,"15,541"
2008,11,"13,680",844,"14,524"
2008,12,"13,544",830,"14,374"
2008,TOTAL,"183,180","9,221","192,401"
2009,1,"13,727",885,"14,612"
2009,2,"12,615",805,"13,420"
2009,3,"14,449",890,"15,339"
2009,4,"13,956",862,"14,818"
2009,5,"14,294",687,"14,981"
2009,6,"13,987",604,"14,591"
2009,7,"14,382",581,"14,963"
2009,8,"14,185",623,"14,808"
2009,9,"13,450",663,"14,113"
2009,10,"13,947",770,"14,717"
2009,11,"13,047",794,"13,841"
2009,12,"12,854",749,"13,603"
2009,TOTAL,"164,893","8,913","173,806"
2010,1,"12,528",715,"13,243"
2010,2,"11,297",647,"11,944"
2010,3,"13,151",726,"13,877"
2010,4,"13,062",721,"13,783"
2010,5,"13,544",688,"14,232"
2010,6,"13,219",601,"13,820"
2010,7,"13,755",634,"14,389"
2010,8,"13,718",605,"14,323"
2010,9,"13,161",572,"13,733"
2010,10,"13,742",593,"14,335"
2010,11,"12,761",563,"13,324"
2010,12,"12,906",645,"13,551"
2010,TOTAL,"156,844","7,710","164,554"
2011,1,"12,852",648,"13,500"
2011,2,"11,750",577,"12,327"
2011,3,"13,917",668,"14,585"
2011,4,"13,453",706,"14,159"
2011,5,"14,195",689,"14,884"
2011,6,"13,964",622,"14,586"
2011,7,"14,538",675,"15,213"
2011,8,"14,181",677,"14,858"
2011,9,"13,630",753,"14,383"
2011,10,"14,209",814,"15,023"
2011,11,"12,919",808,"13,727"
2011,12,"12,942",814,"13,756"
2011,TOTAL,"162,550","8,451","171,001"
2012,1,"12,646",810,"13,456"
2012,2,"12,058",703,"12,761"
2012,3,"13,916",794,"14,710"
2012,4,"13,743",777,"14,520"
2012,5,"14,071",795,"14,866"
2012,6,"13,530",724,"14,254"
2012,7,"13,958",816,"14,774"
2012,8,"13,690",802,"14,492"
2012,9,"13,102",813,"13,915"
2012,10,"13,627",835,"14,462"
2012,11,"12,564",823,"13,387"
2012,12,"12,509",888,"13,397"
2012,TOTAL,"159,414","9,580","168,994"
2013,1,"12,206",817,"13,023"
2013,2,"11,197",726,"11,923"
2013,3,"13,283",813,"14,096"
2013,4,"12,947",819,"13,766"
2013,5,"13,616",804,"14,420"
2013,6,"13,222",763,"13,985"
2013,7,"13,498",787,"14,285"
