"Flights (All Carriers - Minneapolis, MN: Minneapolis-St Paul International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"17,802","1,026","18,828"
2002,11,"16,866",938,"17,804"
2002,12,"17,392",969,"18,361"
2002,TOTAL,"194,533","11,388","205,921"
2003,1,"17,325",937,"18,262"
2003,2,"15,733",889,"16,622"
2003,3,"18,071","1,000","19,071"
2003,4,"16,514",869,"17,383"
2003,5,"17,014",924,"17,938"
2003,6,"17,992",988,"18,980"
2003,7,"19,072","1,038","20,110"
2003,8,"19,144","1,039","20,183"
2003,9,"17,270",971,"18,241"
2003,10,"18,190",959,"19,149"
2003,11,"17,145",861,"18,006"
2003,12,"18,021",886,"18,907"
2003,TOTAL,"211,491","11,361","222,852"
2004,1,"17,975",917,"18,892"
2004,2,"17,569",915,"18,484"
2004,3,"19,278","1,007","20,285"
2004,4,"18,371",914,"19,285"
2004,5,"18,807",942,"19,749"
2004,6,"19,496","1,020","20,516"
2004,7,"20,451","1,095","21,546"
2004,8,"20,747","1,093","21,840"
2004,9,"18,499","1,034","19,533"
2004,10,"19,385","1,018","20,403"
2004,11,"18,376",894,"19,270"
2004,12,"18,938",963,"19,901"
2004,TOTAL,"227,892","11,812","239,704"
2005,1,"18,006","1,023","19,029"
2005,2,"17,356","1,022","18,378"
2005,3,"19,682","1,147","20,829"
2005,4,"18,969",986,"19,955"
2005,5,"19,376",983,"20,359"
2005,6,"19,659","1,056","20,715"
2005,7,"20,465","1,125","21,590"
2005,8,"19,890","1,074","20,964"
2005,9,"18,080",997,"19,077"
2005,10,"17,843",930,"18,773"
2005,11,"16,575",840,"17,415"
2005,12,"17,326",883,"18,209"
2005,TOTAL,"223,227","12,066","235,293"
2006,1,"16,265",957,"17,222"
2006,2,"14,939",932,"15,871"
2006,3,"17,184","1,129","18,313"
2006,4,"16,389","1,033","17,422"
2006,5,"16,735",938,"17,673"
2006,6,"16,801",955,"17,756"
2006,7,"17,358","1,060","18,418"
2006,8,"17,317","1,027","18,344"
2006,9,"15,835",917,"16,752"
2006,10,"16,492",895,"17,387"
2006,11,"15,825",834,"16,659"
2006,12,"16,255",880,"17,135"
