"Flights (All Carriers - Nashville, TN: Nashville International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"5,938",62,"6,000"
2002,11,"5,492",55,"5,547"
2002,12,"5,580",60,"5,640"
2002,TOTAL,"60,655",746,"61,401"
2003,1,"5,557",59,"5,616"
2003,2,"5,004",52,"5,056"
2003,3,"5,738",60,"5,798"
2003,4,"5,468",52,"5,520"
2003,5,"5,708",,"5,708"
2003,6,"5,642",62,"5,704"
2003,7,"5,840",,"5,840"
2003,8,"5,885",58,"5,943"
2003,9,"5,733",59,"5,792"
2003,10,"6,024",62,"6,086"
2003,11,"5,477",50,"5,527"
2003,12,"5,747",50,"5,797"
2003,TOTAL,"67,823",564,"68,387"
2004,1,"5,677",48,"5,725"
2004,2,"5,410",48,"5,458"
2004,3,"5,838",54,"5,892"
2004,4,"5,665",52,"5,717"
2004,5,"5,881",51,"5,932"
2004,6,"5,830",30,"5,860"
2004,7,"6,175",30,"6,205"
2004,8,"6,293",30,"6,323"
2004,9,"6,009",30,"6,039"
2004,10,"6,324",31,"6,355"
2004,11,"6,048",29,"6,077"
2004,12,"6,148",42,"6,190"
2004,TOTAL,"71,298",475,"71,773"
2005,1,"6,092",42,"6,134"
2005,2,"5,595",40,"5,635"
2005,3,"6,274",42,"6,316"
2005,4,"6,031",43,"6,074"
2005,5,"6,365",29,"6,394"
2005,6,"6,079",43,"6,122"
2005,7,"6,045",43,"6,088"
2005,8,"6,085",39,"6,124"
2005,9,"5,725",38,"5,763"
2005,10,"5,809",38,"5,847"
2005,11,"5,570",30,"5,600"
2005,12,"5,689",37,"5,726"
2005,TOTAL,"71,359",464,"71,823"
2006,1,"5,578",44,"5,622"
2006,2,"5,026",39,"5,065"
2006,3,"5,679",44,"5,723"
2006,4,"5,575",43,"5,618"
2006,5,"5,768",44,"5,812"
2006,6,"5,640",64,"5,704"
2006,7,"5,853",70,"5,923"
2006,8,"5,992",65,"6,057"
2006,9,"5,809",62,"5,871"
2006,10,"6,135",62,"6,197"
2006,11,"5,850",60,"5,910"
2006,12,"5,854",62,"5,916"
2006,TOTAL,"68,759",659,"69,418"
2007,1,"5,896",54,"5,950"
2007,2,"5,251",51,"5,302"
2007,3,"5,956",61,"6,017"
2007,4,"5,768",63,"5,831"
2007,5,"5,928",66,"5,994"
2007,6,"5,689",64,"5,753"
2007,7,"5,860",67,"5,927"
2007,8,"5,942",64,"6,006"
2007,9,"5,616",50,"5,666"
2007,10,"5,893",54,"5,947"
