"Flights (All Carriers - Newark, NJ: Newark Liberty International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"13,012","2,337","15,349"
2002,11,"12,258","2,217","14,475"
2002,12,"12,380","2,330","14,710"
2002,TOTAL,"148,955","28,821","177,776"
2003,1,"12,199","2,484","14,683"
2003,2,"10,512","2,141","12,653"
2003,3,"13,013","2,638","15,651"
2003,4,"12,351","2,390","14,741"
2003,5,"12,802","2,495","15,297"
2003,6,"12,694","2,702","15,396"
2003,7,"13,103","2,919","16,022"
2003,8,"12,926","2,878","15,804"
2003,9,"11,952","2,595","14,547"
2003,10,"13,437","2,608","16,045"
2003,11,"12,710","2,331","15,041"
2003,12,"12,661","2,455","15,116"
2003,TOTAL,"150,360","30,636","180,996"
2004,1,"12,684","2,578","15,262"
2004,2,"12,658","2,465","15,123"
2004,3,"13,938","2,785","16,723"
2004,4,"13,693","2,766","16,459"
2004,5,"13,279","2,955","16,234"
2004,6,"13,481","3,082","16,563"
2004,7,"13,807","3,210","17,017"
2004,8,"14,398","3,266","17,664"
2004,9,"12,724","2,797","15,521"
2004,10,"14,122","2,833","16,955"
2004,11,"13,483","2,646","16,129"
2004,12,"13,505","2,729","16,234"
2004,TOTAL,"161,772","34,112","195,884"
2005,1,"12,248","2,783","15,031"
2005,2,"11,892","2,554","14,446"
2005,3,"13,893","2,932","16,825"
2005,4,"13,531","2,905","16,436"
2005,5,"13,744","3,013","16,757"
2005,6,"13,357","3,205","16,562"
2005,7,"13,554","3,527","17,081"
2005,8,"14,194","3,523","17,717"
2005,9,"12,949","3,020","15,969"
2005,10,"13,606","2,981","16,587"
2005,11,"13,431","2,640","16,071"
2005,12,"13,769","2,880","16,649"
2005,TOTAL,"160,168","35,963","196,131"
2006,1,"12,913","2,862","15,775"
2006,2,"11,587","2,636","14,223"
2006,3,"14,390","3,215","17,605"
2006,4,"13,784","3,194","16,978"
2006,5,"13,886","3,448","17,334"
2006,6,"13,326","3,596","16,922"
2006,7,"13,645","3,790","17,435"
2006,8,"14,221","3,829","18,050"
2006,9,"12,905","3,368","16,273"
2006,10,"13,734","3,291","17,025"
2006,11,"13,211","2,934","16,145"
2006,12,"13,663","3,166","16,829"
2006,TOTAL,"161,265","39,329","200,594"
2007,1,"13,293","3,199","16,492"
2007,2,"11,736","2,937","14,673"
2007,3,"13,332","3,300","16,632"
2007,4,"13,188","3,429","16,617"
2007,5,"13,565","3,637","17,202"
2007,6,"12,677","3,657","16,334"
2007,7,"13,051","3,997","17,048"
2007,8,"13,570","4,044","17,614"
2007,9,"12,401","3,537","15,938"
2007,10,"13,124","3,588","16,712"
2007,11,"12,841","3,271","16,112"
2007,12,"12,511","3,410","15,921"
2007,TOTAL,"155,289","42,006","197,295"
2008,1,"12,668","3,486","16,154"
2008,2,"11,545","3,300","14,845"
2008,3,"13,188","3,742","16,930"
2008,4,"13,226","3,925","17,151"
2008,5,"13,140","3,968","17,108"
2008,6,"13,049","4,053","17,102"
2008,7,"13,713","4,349","18,062"
2008,8,"13,478","4,341","17,819"
2008,9,"11,889","3,761","15,650"
2008,10,"13,259","3,732","16,991"
2008,11,"12,273","3,379","15,652"
2008,12,"12,108","3,389","15,497"
2008,TOTAL,"153,536","45,425","198,961"
2009,1,"12,018","3,528","15,546"
2009,2,"11,193","3,257","14,450"
2009,3,"12,744","3,866","16,610"
2009,4,"12,591","3,911","16,502"
2009,5,"12,433","3,651","16,084"
2009,6,"12,233","3,769","16,002"
2009,7,"12,575","4,145","16,720"
2009,8,"12,590","4,166","16,756"
2009,9,"11,539","3,433","14,972"
2009,10,"12,038","3,444","15,482"
2009,11,"11,659","3,250","14,909"
2009,12,"11,511","3,489","15,000"
2009,TOTAL,"145,124","43,909","189,033"
2010,1,"11,541","3,739","15,280"
2010,2,"9,568","3,139","12,707"
2010,3,"12,195","3,948","16,143"
2010,4,"12,184","3,777","15,961"
2010,5,"11,879","3,928","15,807"
2010,6,"11,867","4,050","15,917"
2010,7,"12,069","4,373","16,442"
2010,8,"12,342","4,306","16,648"
2010,9,"11,068","3,609","14,677"
2010,10,"11,769","3,797","15,566"
2010,11,"11,645","3,621","15,266"
2010,12,"10,856","3,531","14,387"
2010,TOTAL,"138,983","45,818","184,801"
2011,1,"10,305","3,761","14,066"
2011,2,"9,655","3,365","13,020"
2011,3,"12,198","4,162","16,360"
2011,4,"11,714","4,095","15,809"
2011,5,"11,930","4,064","15,994"
2011,6,"12,119","4,116","16,235"
2011,7,"12,528","4,417","16,945"
2011,8,"11,614","4,016","15,630"
2011,9,"11,378","3,728","15,106"
2011,10,"11,957","3,737","15,694"
2011,11,"11,996","3,542","15,538"
2011,12,"12,248","3,840","16,088"
2011,TOTAL,"139,642","46,843","186,485"
2012,1,"11,745","3,825","15,570"
2012,2,"11,313","3,642","14,955"
2012,3,"12,681","4,078","16,759"
2012,4,"12,489","4,009","16,498"
2012,5,"12,313","3,986","16,299"
2012,6,"12,392","4,071","16,463"
2012,7,"12,382","4,298","16,680"
2012,8,"12,763","4,230","16,993"
2012,9,"11,466","3,712","15,178"
2012,10,"11,174","3,520","14,694"
2012,11,"11,698","3,454","15,152"
2012,12,"11,957","3,640","15,597"
2012,TOTAL,"144,373","46,465","190,838"
2013,1,"11,569","3,808","15,377"
2013,2,"10,425","3,328","13,753"
2013,3,"12,306","3,972","16,278"
2013,4,"12,444","3,984","16,428"
2013,5,"12,591","4,018","16,609"
2013,6,"12,098","3,932","16,030"
2013,7,"12,664","4,123","16,787"
2013,8,"12,771","4,097","16,868"
2013,9,"11,917","3,576","15,493"
2013,10,"12,678","3,707","16,385"
2013,11,"12,112","3,404","15,516"
2013,12,"11,957","3,468","15,425"
2013,TOTAL,"145,532","45,417","190,949"
2014,1,"10,558","3,400","13,958"
2014,2,"9,169","3,024","12,193"
2014,3,"12,168","3,881","16,049"
2014,4,"10,645","3,665","14,310"
2014,5,"10,581","3,685","14,266"
2014,6,"12,007","3,949","15,956"
2014,7,"12,420","4,177","16,597"
2014,8,"12,753","4,090","16,843"
2014,9,"11,417","3,551","14,968"
2014,10,"11,505","3,428","14,933"
2014,11,"11,973","3,489","15,462"
2014,12,"12,204","3,785","15,989"
2014,TOTAL,"137,400","44,124","181,524"
2015,1,"10,801","3,434","14,235"
2015,2,"9,818","3,096","12,914"
2015,3,"11,872","3,728","15,600"
2015,4,"12,228","3,819","16,047"
2015,5,"12,229","3,711","15,940"
2015,6,"12,318","3,766","16,084"
2015,7,"12,838","4,137","16,975"
2015,8,"12,772","4,081","16,853"
2015,9,"11,854","3,414","15,268"
2015,10,"12,754","3,399","16,153"
2015,11,"12,439","3,169","15,608"
2015,12,"12,243","3,609","15,852"
2015,TOTAL,"144,166","43,363","187,529"
2016,1,"10,469","3,282","13,751"
2016,2,"10,985","3,300","14,285"
2016,3,"12,840","3,727","16,567"
2016,4,"12,826","3,564","16,390"
2016,5,"12,991","3,679","16,670"
2016,6,"12,787","4,049","16,836"
2016,7,"12,854","4,171","17,025"
2016,8,"13,478","4,055","17,533"
2016,9,"12,737","3,493","16,230"
2016,10,"13,313","3,396","16,709"
2016,11,"12,923","3,191","16,114"
2016,12,"12,856","3,616","16,472"
2016,TOTAL,"151,059","43,523","194,582"
2017,1,"12,231","3,528","15,759"
2017,2,"10,951","3,085","14,036"
2017,3,"12,762","3,498","16,260"
2017,4,"13,025","3,820","16,845"
2017,5,"13,203","3,934","17,137"
2017,6,"13,185","4,006","17,191"
2017,7,"13,287","4,379","17,666"
2017,8,"13,607","4,262","17,869"
2017,9,"12,307","3,668","15,975"
2017,10,"13,415","3,623","17,038"
2017,11,"12,981","3,368","16,349"
2017,12,"12,988","3,660","16,648"
2017,TOTAL,"153,942","44,831","198,773"
2018,1,"12,164","3,562","15,726"
2018,2,"11,568","3,234","14,802"
2018,3,"12,681","3,682","16,363"
2018,4,"13,323","3,738","17,061"
2018,5,"13,965","3,998","17,963"
2018,6,"13,758","4,243","18,001"
2018,7,"13,562","4,580","18,142"
2018,8,"13,569","4,253","17,822"
2018,9,"13,042","3,720","16,762"
2018,10,"13,946","3,818","17,764"
2018,11,"12,835","3,558","16,393"
2018,12,"12,956","4,099","17,055"
2018,TOTAL,"157,369","46,485","203,854"
2019,1,"12,102","3,842","15,944"
2019,2,"11,170","3,341","14,511"
2019,3,"13,226","3,952","17,178"
2019,4,"13,026","3,911","16,937"
2019,5,"12,925","4,048","16,973"
2019,6,"12,654","4,382","17,036"
2019,7,"12,888","4,564","17,452"
2019,8,"13,102","4,366","17,468"
2019,9,"12,994","3,912","16,906"
2019,10,"14,042","3,939","17,981"
2019,11,"13,026","3,660","16,686"
2019,12,"13,223","3,976","17,199"
2019,TOTAL,"154,378","47,893","202,271"
2020,1,"13,290","3,853","17,143"
2020,2,"12,553","3,414","15,967"
2020,3,"11,242","2,503","13,745"
2020,4,"1,105",147,"1,252"
2020,5,"1,037",156,"1,193"
2020,6,"2,033",216,"2,249"
2020,7,"5,003",765,"5,768"
2020,8,"5,299","1,015","6,314"
2020,9,"4,378","1,057","5,435"
2020,10,"5,730","1,170","6,900"
2020,11,"5,968","1,323","7,291"
2020,12,"5,660","1,555","7,215"
2020,TOTAL,"73,298","17,174","90,472"
2021,1,"4,974","1,509","6,483"
2021,2,"4,415","1,178","5,593"
2021,3,"6,501","1,440","7,941"
2021,4,"6,595","1,551","8,146"
2021,5,"7,289","1,813","9,102"
2021,6,"8,100","2,352","10,452"
2021,7,"8,660","2,934","11,594"
2021,8,"8,934","2,728","11,662"
2021,9,"8,449","2,576","11,025"
2021,10,"10,529","2,759","13,288"
2021,11,"12,794","2,903","15,697"
2021,12,"12,401","3,219","15,620"
2021,TOTAL,"99,641","26,962","126,603"
2022,1,"10,815","2,563","13,378"
2022,2,"10,670","2,247","12,917"
2022,3,"12,364","2,873","15,237"
2022,4,"12,188","3,436","15,624"
2022,5,"13,023","3,868","16,891"
2022,6,"11,540","4,018","15,558"
2022,7,"11,539","4,043","15,582"
2022,8,"11,345","4,017","15,362"
2022,9,"10,700","3,494","14,194"
2022,10,"12,374","3,414","15,788"
2022,11,"12,015","3,648","15,663"
2022,12,"11,977","3,697","15,674"
2022,TOTAL,"140,550","41,318","181,868"
2023,1,"12,474","3,515","15,989"
2023,2,"11,927","3,164","15,091"
2023,3,"13,713","3,688","17,401"
2023,4,"12,697","3,951","16,648"
2023,5,"13,384","4,316","17,700"
2023,6,"11,358","4,356","15,714"
2023,7,"11,224","4,485","15,709"
2023,8,"12,400","4,640","17,040"
2023,9,"11,685","4,203","15,888"
2023,10,"12,774","4,266","17,040"
2023,11,"11,757","3,869","15,626"
2023,12,"11,594","4,120","15,714"
2023,TOTAL,"146,987","48,573","195,560"
2024,1,"10,748","3,691","14,439"
2024,2,"10,898","3,385","14,283"
2024,3,"11,834","3,802","15,636"
2024,4,"11,864","3,992","15,856"
2024,5,"12,442","4,112","16,554"
2024,6,"11,539","4,330","15,869"
2024,7,"11,684","4,902","16,586"
2024,8,"11,094","4,346","15,440"
2024,9,"11,719","3,892","15,611"
2024,10,"12,311","3,757","16,068"
2024,11,"11,748","3,438","15,186"
2024,TOTAL,"127,881","43,647","171,528"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
