"Flights (All Carriers - Orlando, FL: Orlando International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"9,559",489,"10,048"
2002,11,"9,533",468,"10,001"
2002,12,"10,018",546,"10,564"
2002,TOTAL,"113,248","5,466","118,714"
2003,1,"10,127",553,"10,680"
2003,2,"9,279",554,"9,833"
2003,3,"10,842",604,"11,446"
2003,4,"10,210",563,"10,773"
2003,5,"10,246",515,"10,761"
2003,6,"10,498",467,"10,965"
2003,7,"10,687",569,"11,256"
2003,8,"10,680",554,"11,234"
2003,9,"9,703",448,"10,151"
2003,10,"10,666",483,"11,149"
2003,11,"10,531",494,"11,025"
2003,12,"11,006",542,"11,548"
2003,TOTAL,"124,475","6,346","130,821"
2004,1,"10,876",545,"11,421"
2004,2,"10,620",523,"11,143"
2004,3,"11,638",593,"12,231"
2004,4,"11,385",572,"11,957"
2004,5,"11,341",554,"11,895"
2004,6,"11,128",540,"11,668"
2004,7,"11,648",618,"12,266"
2004,8,"11,169",590,"11,759"
2004,9,"8,642",371,"9,013"
2004,10,"11,590",501,"12,091"
2004,11,"11,957",549,"12,506"
2004,12,"12,892",600,"13,492"
2004,TOTAL,"134,886","6,556","141,442"
2005,1,"12,826",592,"13,418"
2005,2,"11,894",566,"12,460"
2005,3,"13,608",648,"14,256"
2005,4,"12,951",603,"13,554"
2005,5,"12,281",547,"12,828"
2005,6,"12,095",575,"12,670"
2005,7,"12,758",620,"13,378"
2005,8,"12,468",605,"13,073"
2005,9,"11,101",503,"11,604"
2005,10,"12,111",550,"12,661"
2005,11,"12,675",563,"13,238"
2005,12,"13,044",681,"13,725"
2005,TOTAL,"149,812","7,053","156,865"
2006,1,"12,704",676,"13,380"
2006,2,"11,707",649,"12,356"
2006,3,"13,620",711,"14,331"
2006,4,"13,230",652,"13,882"
2006,5,"12,820",530,"13,350"
2006,6,"12,308",566,"12,874"
2006,7,"12,818",672,"13,490"
2006,8,"12,339",664,"13,003"
2006,9,"10,941",512,"11,453"
2006,10,"11,875",496,"12,371"
2006,11,"11,709",583,"12,292"
2006,12,"12,285",725,"13,010"
2006,TOTAL,"148,356","7,436","155,792"
2007,1,"12,515",671,"13,186"
2007,2,"11,611",654,"12,265"
2007,3,"13,586",743,"14,329"
2007,4,"13,233",645,"13,878"
2007,5,"13,162",557,"13,719"
2007,6,"13,034",548,"13,582"
2007,7,"13,682",633,"14,315"
2007,8,"13,476",630,"14,106"
2007,9,"11,883",481,"12,364"
2007,10,"12,663",523,"13,186"
2007,11,"12,815",688,"13,503"
2007,12,"13,343",779,"14,122"
2007,TOTAL,"155,003","7,552","162,555"
2008,1,"13,120",748,"13,868"
2008,2,"12,583",774,"13,357"
2008,3,"14,227",917,"15,144"
2008,4,"13,313",811,"14,124"
2008,5,"12,805",680,"13,485"
2008,6,"12,222",640,"12,862"
2008,7,"12,484",673,"13,157"
2008,8,"11,693",704,"12,397"
2008,9,"9,448",480,"9,928"
2008,10,"10,117",506,"10,623"
2008,11,"10,636",645,"11,281"
2008,12,"11,170",793,"11,963"
2008,TOTAL,"143,818","8,371","152,189"
2009,1,"10,842",798,"11,640"
2009,2,"10,193",778,"10,971"
2009,3,"11,931",888,"12,819"
2009,4,"11,353",893,"12,246"
2009,5,"11,067",714,"11,781"
2009,6,"10,834",665,"11,499"
2009,7,"11,234",795,"12,029"
2009,8,"10,832",756,"11,588"
2009,9,"9,130",607,"9,737"
2009,10,"9,995",669,"10,664"
2009,11,"10,140",772,"10,912"
2009,12,"10,809",884,"11,693"
2009,TOTAL,"128,360","9,219","137,579"
2010,1,"10,645",910,"11,555"
2010,2,"9,749",877,"10,626"
2010,3,"12,001",950,"12,951"
2010,4,"11,396",933,"12,329"
2010,5,"11,269",801,"12,070"
2010,6,"11,211",745,"11,956"
2010,7,"11,753",864,"12,617"
