"Flights (All Carriers - Phoenix, AZ: Phoenix Sky Harbor International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"18,761",438,"19,199"
2002,11,"17,898",505,"18,403"
2002,12,"18,633",716,"19,349"
2002,TOTAL,"187,220","5,867","193,087"
2003,1,"18,149",712,"18,861"
2003,2,"16,355",650,"17,005"
2003,3,"18,431",722,"19,153"
2003,4,"17,996",644,"18,640"
2003,5,"18,007",574,"18,581"
2003,6,"17,702",618,"18,320"
2003,7,"18,036",645,"18,681"
2003,8,"18,092",629,"18,721"
2003,9,"17,161",555,"17,716"
2003,10,"17,913",613,"18,526"
2003,11,"16,954",683,"17,637"
2003,12,"17,569",763,"18,332"
2003,TOTAL,"212,365","7,808","220,173"
2004,1,"17,562",792,"18,354"
2004,2,"16,783",688,"17,471"
2004,3,"18,183",733,"18,916"
2004,4,"17,368",694,"18,062"
2004,5,"17,679",707,"18,386"
2004,6,"17,368",686,"18,054"
2004,7,"17,858",746,"18,604"
2004,8,"18,095",737,"18,832"
2004,9,"17,276",651,"17,927"
2004,10,"18,116",713,"18,829"
2004,11,"17,591",697,"18,288"
2004,12,"18,331",777,"19,108"
2004,TOTAL,"212,210","8,621","220,831"
2005,1,"18,009",801,"18,810"
2005,2,"16,680",696,"17,376"
2005,3,"18,791",790,"19,581"
2005,4,"18,226",777,"19,003"
2005,5,"19,014",784,"19,798"
2005,6,"18,485",739,"19,224"
2005,7,"18,580",804,"19,384"
2005,8,"19,012",802,"19,814"
2005,9,"18,099",697,"18,796"
2005,10,"18,922",806,"19,728"
2005,11,"18,372",765,"19,137"
2005,12,"18,863",862,"19,725"
2005,TOTAL,"221,053","9,323","230,376"
2006,1,"18,591",872,"19,463"
2006,2,"16,708",755,"17,463"
2006,3,"18,961",828,"19,789"
2006,4,"17,993",781,"18,774"
2006,5,"18,531",701,"19,232"
2006,6,"18,199",677,"18,876"
2006,7,"18,756",714,"19,470"
2006,8,"18,811",697,"19,508"
2006,9,"17,827",625,"18,452"
2006,10,"18,645",692,"19,337"
2006,11,"17,872",782,"18,654"
2006,12,"18,476",865,"19,341"
2006,TOTAL,"219,370","8,989","228,359"
2007,1,"18,297",859,"19,156"
2007,2,"16,647",768,"17,415"
2007,3,"18,881",874,"19,755"
2007,4,"18,178",782,"18,960"
2007,5,"18,333",732,"19,065"
2007,6,"17,405",697,"18,102"
2007,7,"18,208",704,"18,912"
2007,8,"18,268",711,"18,979"
2007,9,"17,189",629,"17,818"
2007,10,"17,962",681,"18,643"
2007,11,"17,323",783,"18,106"
2007,12,"17,837",875,"18,712"
2007,TOTAL,"214,528","9,095","223,623"
2008,1,"17,946",867,"18,813"
2008,2,"16,868",792,"17,660"
2008,3,"18,161",882,"19,043"
2008,4,"17,460",771,"18,231"
2008,5,"17,688",743,"18,431"
2008,6,"17,145",683,"17,828"
2008,7,"17,552",713,"18,265"
2008,8,"16,932",714,"17,646"
2008,9,"15,365",585,"15,950"
2008,10,"15,894",668,"16,562"
2008,11,"15,232",775,"16,007"
2008,12,"15,777",855,"16,632"
2008,TOTAL,"202,020","9,048","211,068"
2009,1,"15,679",967,"16,646"
2009,2,"14,387",870,"15,257"
2009,3,"16,417",984,"17,401"
2009,4,"15,741",931,"16,672"
2009,5,"15,908",727,"16,635"
2009,6,"15,584",564,"16,148"
2009,7,"16,150",651,"16,801"
2009,8,"15,844",646,"16,490"
2009,9,"14,706",561,"15,267"
2009,10,"15,300",694,"15,994"
2009,11,"14,806",789,"15,595"
2009,12,"15,582",925,"16,507"
2009,TOTAL,"186,104","9,309","195,413"
2010,1,"14,980","1,008","15,988"
