"Flights (All Carriers - Washington, DC: Ronald Reagan Washington National (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"9,935",384,"10,319"
2002,11,"9,865",361,"10,226"
2002,12,"9,788",353,"10,141"
2002,TOTAL,"84,424","3,074","87,498"
2003,1,"10,231",357,"10,588"
2003,2,"8,279",278,"8,557"
2003,3,"10,299",329,"10,628"
2003,4,"9,930",311,"10,241"
2003,5,"10,130",326,"10,456"
2003,6,"10,079",346,"10,425"
2003,7,"10,233",357,"10,590"
2003,8,"10,206",321,"10,527"
2003,9,"9,584",307,"9,891"
2003,10,"10,608",355,"10,963"
2003,11,"10,166",345,"10,511"
2003,12,"10,181",342,"10,523"
2003,TOTAL,"119,926","3,974","123,900"
2004,1,"10,117",324,"10,441"
2004,2,"10,123",328,"10,451"
2004,3,"11,048",375,"11,423"
2004,4,"10,812",391,"11,203"
2004,5,"10,822",398,"11,220"
2004,6,"10,634",390,"11,024"
2004,7,"10,682",393,"11,075"
2004,8,"10,993",398,"11,391"
2004,9,"10,475",355,"10,830"
2004,10,"11,115",358,"11,473"
2004,11,"10,679",362,"11,041"
2004,12,"10,663",334,"10,997"
2004,TOTAL,"128,163","4,406","132,569"
2005,1,"10,533",339,"10,872"
2005,2,"10,150",315,"10,465"
2005,3,"11,409",360,"11,769"
2005,4,"11,093",378,"11,471"
2005,5,"11,440",397,"11,837"
2005,6,"11,047",384,"11,431"
2005,7,"11,138",383,"11,521"
2005,8,"11,450",382,"11,832"
2005,9,"10,812",358,"11,170"
2005,10,"11,042",342,"11,384"
2005,11,"10,801",340,"11,141"
2005,12,"10,916",316,"11,232"
2005,TOTAL,"131,831","4,294","136,125"
2006,1,"10,861",330,"11,191"
2006,2,"9,918",316,"10,234"
2006,3,"11,418",361,"11,779"
2006,4,"11,008",381,"11,389"
2006,5,"11,355",400,"11,755"
2006,6,"10,878",383,"11,261"
2006,7,"11,041",394,"11,435"
2006,8,"11,439",401,"11,840"
2006,9,"10,799",358,"11,157"
2006,10,"11,492",361,"11,853"
2006,11,"10,859",279,"11,138"
2006,12,"10,773",261,"11,034"
2006,TOTAL,"131,841","4,225","136,066"
2007,1,"11,097",251,"11,348"
2007,2,"9,585",235,"9,820"
2007,3,"11,099",265,"11,364"
2007,4,"10,977",287,"11,264"
2007,5,"11,500",291,"11,791"
2007,6,"10,680",277,"10,957"
2007,7,"11,070",308,"11,378"
2007,8,"11,322",314,"11,636"
2007,9,"10,909",276,"11,185"
2007,10,"11,545",276,"11,821"
2007,11,"10,873",263,"11,136"
2007,12,"10,416",249,"10,665"
2007,TOTAL,"131,073","3,292","134,365"
2008,1,"11,024",271,"11,295"
2008,2,"10,294",234,"10,528"
2008,3,"11,062",276,"11,338"
2008,4,"11,058",286,"11,344"
2008,5,"11,380",307,"11,687"
2008,6,"10,907",284,"11,191"
2008,7,"11,277",310,"11,587"
2008,8,"11,205",323,"11,528"
2008,9,"10,979",270,"11,249"
2008,10,"11,455",289,"11,744"
2008,11,"10,427",267,"10,694"
2008,12,"10,420",252,"10,672"
2008,TOTAL,"131,488","3,369","134,857"
2009,1,"10,536",252,"10,788"
2009,2,"9,921",245,"10,166"
2009,3,"10,867",280,"11,147"
2009,4,"10,797",280,"11,077"
2009,5,"11,138",149,"11,287"
2009,6,"10,911",307,"11,218"
2009,7,"11,347",320,"11,667"
2009,8,"11,151",309,"11,460"
2009,9,"10,694",265,"10,959"
2009,10,"11,101",260,"11,361"
2009,11,"10,408",265,"10,673"
2009,12,"9,861",244,"10,105"
2009,TOTAL,"128,732","3,176","131,908"
2010,1,"10,486",260,"10,746"
2010,2,"7,876",205,"8,081"
2010,3,"11,028",286,"11,314"
2010,4,"10,786",265,"11,051"
2010,5,"10,838",307,"11,145"
2010,6,"10,866",329,"11,195"
2010,7,"10,990",338,"11,328"
2010,8,"11,266",335,"11,601"
2010,9,"10,944",272,"11,216"
2010,10,"11,520",276,"11,796"
2010,11,"11,170",253,"11,423"
2010,12,"10,729",264,"10,993"
2010,TOTAL,"128,499","3,390","131,889"
2011,1,"10,777",270,"11,047"
2011,2,"10,023",241,"10,264"
2011,3,"11,836",277,"12,113"
2011,4,"11,244",270,"11,514"
2011,5,"11,656",274,"11,930"
2011,6,"11,326",271,"11,597"
2011,7,"11,429",301,"11,730"
2011,8,"11,213",286,"11,499"
2011,9,"11,150",266,"11,416"
2011,10,"11,510",278,"11,788"
2011,11,"10,915",285,"11,200"
2011,12,"10,883",271,"11,154"
2011,TOTAL,"133,962","3,290","137,252"
2012,1,"11,022",285,"11,307"
2012,2,"10,352",275,"10,627"
2012,3,"11,435",318,"11,753"
2012,4,"11,195",391,"11,586"
2012,5,"11,398",420,"11,818"
2012,6,"11,038",427,"11,465"
2012,7,"11,436",550,"11,986"
2012,8,"11,772",627,"12,399"
2012,9,"11,096",537,"11,633"
2012,10,"11,003",507,"11,510"
2012,11,"11,183",477,"11,660"
2012,12,"10,921",453,"11,374"
2012,TOTAL,"133,851","5,267","139,118"
2013,1,"11,469",489,"11,958"
2013,2,"10,273",405,"10,678"
2013,3,"11,565",458,"12,023"
2013,4,"11,690",401,"12,091"
2013,5,"11,974",450,"12,424"
2013,6,"11,319",424,"11,743"
2013,7,"11,714",430,"12,144"
2013,8,"12,024",431,"12,455"
2013,9,"11,348",366,"11,714"
2013,10,"12,073",385,"12,458"
2013,11,"11,078",378,"11,456"
2013,12,"10,735",363,"11,098"
2013,TOTAL,"137,262","4,980","142,242"
2014,1,"10,720",357,"11,077"
2014,2,"9,673",350,"10,023"
2014,3,"11,104",397,"11,501"
2014,4,"11,716",399,"12,115"
2014,5,"11,706",404,"12,110"
2014,6,"10,991",369,"11,360"
2014,7,"10,885",374,"11,259"
2014,8,"11,281",380,"11,661"
2014,9,"10,970",339,"11,309"
2014,10,"11,786",228,"12,014"
2014,11,"11,008",332,"11,340"
2014,12,"11,397",355,"11,752"
2014,TOTAL,"133,237","4,284","137,521"
2015,1,"11,218",354,"11,572"
2015,2,"10,035",310,"10,345"
2015,3,"11,528",339,"11,867"
2015,4,"11,864",339,"12,203"
2015,5,"11,996",341,"12,337"
2015,6,"11,622",351,"11,973"
2015,7,"12,114",365,"12,479"
2015,8,"11,993",352,"12,345"
2015,9,"11,548",315,"11,863"
2015,10,"12,096",323,"12,419"
2015,11,"11,412",240,"11,652"
2015,12,"11,085",332,"11,417"
2015,TOTAL,"138,511","3,961","142,472"
2016,1,"10,705",311,"11,016"
2016,2,"10,799",304,"11,103"
2016,3,"12,356",345,"12,701"
2016,4,"11,822",330,"12,152"
2016,5,"12,263",301,"12,564"
2016,6,"11,781",315,"12,096"
2016,7,"11,764",317,"12,081"
2016,8,"12,356",318,"12,674"
2016,9,"11,768",283,"12,051"
2016,10,"12,130",295,"12,425"
2016,11,"11,574",290,"11,864"
2016,12,"10,984",316,"11,300"
2016,TOTAL,"140,302","3,725","144,027"
2017,1,"11,518",308,"11,826"
2017,2,"10,712",272,"10,984"
2017,3,"12,096",306,"12,402"
2017,4,"11,558",304,"11,862"
2017,5,"12,150",285,"12,435"
2017,6,"11,795",313,"12,108"
2017,7,"11,544",325,"11,869"
2017,8,"12,155",307,"12,462"
2017,9,"11,338",286,"11,624"
2017,10,"12,284",300,"12,584"
2017,11,"11,629",291,"11,920"
2017,12,"11,289",317,"11,606"
2017,TOTAL,"140,068","3,614","143,682"
2018,1,"11,316",288,"11,604"
2018,2,"10,849",264,"11,113"
2018,3,"11,427",294,"11,721"
2018,4,"11,990",295,"12,285"
2018,5,"12,143",312,"12,455"
2018,6,"11,626",330,"11,956"
2018,7,"11,764",336,"12,100"
2018,8,"12,024",327,"12,351"
2018,9,"11,466",305,"11,771"
2018,10,"12,300",313,"12,613"
2018,11,"11,483",301,"11,784"
2018,12,"11,269",321,"11,590"
2018,TOTAL,"139,657","3,686","143,343"
2019,1,"11,308",328,"11,636"
2019,2,"10,654",253,"10,907"
2019,3,"12,211",337,"12,548"
2019,4,"11,891",326,"12,217"
2019,5,"12,131",295,"12,426"
2019,6,"11,451",309,"11,760"
2019,7,"11,536",317,"11,853"
2019,8,"11,839",328,"12,167"
2019,9,"11,666",181,"11,847"
2019,10,"12,300",291,"12,591"
2019,11,"11,465",286,"11,751"
2019,12,"11,508",304,"11,812"
2019,TOTAL,"139,960","3,555","143,515"
2020,1,"11,980",300,"12,280"
2020,2,"11,202",275,"11,477"
2020,3,"10,094",222,"10,316"
2020,4,"2,989",12,"3,001"
2020,5,"2,088",,"2,088"
2020,6,"3,371",,"3,371"
2020,7,"4,807",36,"4,843"
2020,8,"5,350",25,"5,375"
2020,9,"3,118",23,"3,141"
2020,10,"3,030",24,"3,054"
2020,11,"3,276",23,"3,299"
2020,12,"2,989",39,"3,028"
2020,TOTAL,"64,294",979,"65,273"
2021,1,"3,021",21,"3,042"
2021,2,"2,590",15,"2,605"
2021,3,"4,148",9,"4,157"
2021,4,"5,847",8,"5,855"
2021,5,"6,387",2,"6,389"
2021,6,"7,056",28,"7,084"
2021,7,"7,556",29,"7,585"
2021,8,"7,712",18,"7,730"
2021,9,"7,837",73,"7,910"
2021,10,"8,389",121,"8,510"
2021,11,"11,454",149,"11,603"
2021,12,"11,545",157,"11,702"
2021,TOTAL,"83,542",630,"84,172"
2022,1,"10,942",121,"11,063"
2022,2,"10,852",136,"10,988"
2022,3,"12,320",153,"12,473"
2022,4,"11,776",160,"11,936"
2022,5,"12,167",234,"12,401"
2022,6,"11,513",253,"11,766"
