"Flights (All Carriers - San Diego, CA: San Diego International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"7,729",116,"7,845"
2002,11,"7,080",123,"7,203"
2002,12,"7,222",131,"7,353"
2002,TOTAL,"79,171","1,408","80,579"
2003,1,"7,105",130,"7,235"
2003,2,"6,373",118,"6,491"
2003,3,"7,113",133,"7,246"
2003,4,"6,820",126,"6,946"
2003,5,"7,051",120,"7,171"
2003,6,"7,085",92,"7,177"
2003,7,"7,193",100,"7,293"
2003,8,"7,433",53,"7,486"
2003,9,"7,101",50,"7,151"
2003,10,"7,263",47,"7,310"
2003,11,"6,958",70,"7,028"
2003,12,"7,240",78,"7,318"
2003,TOTAL,"84,735","1,117","85,852"
2004,1,"7,228",76,"7,304"
2004,2,"6,709",67,"6,776"
2004,3,"7,379",70,"7,449"
2004,4,"7,188",69,"7,257"
2004,5,"7,480",71,"7,551"
2004,6,"7,392",68,"7,460"
2004,7,"7,719",79,"7,798"
2004,8,"7,795",79,"7,874"
2004,9,"7,239",69,"7,308"
2004,10,"7,512",72,"7,584"
2004,11,"7,281",102,"7,383"
2004,12,"7,482",113,"7,595"
2004,TOTAL,"88,404",935,"89,339"
2005,1,"7,468",116,"7,584"
2005,2,"6,775",119,"6,894"
2005,3,"7,576",196,"7,772"
2005,4,"7,421",195,"7,616"
2005,5,"7,791",200,"7,991"
2005,6,"7,835",211,"8,046"
2005,7,"7,991",194,"8,185"
2005,8,"8,199",222,"8,421"
2005,9,"7,641",173,"7,814"
2005,10,"7,861",161,"8,022"
2005,11,"7,413",127,"7,540"
2005,12,"7,728",145,"7,873"
2005,TOTAL,"91,699","2,059","93,758"
2006,1,"7,570",161,"7,731"
2006,2,"6,931",148,"7,079"
2006,3,"7,887",168,"8,055"
2006,4,"7,478",163,"7,641"
2006,5,"7,906",156,"8,062"
2006,6,"7,899",146,"8,045"
2006,7,"8,188",183,"8,371"
2006,8,"8,251",179,"8,430"
2006,9,"7,583",151,"7,734"
2006,10,"7,881",164,"8,045"
2006,11,"7,429",122,"7,551"
2006,12,"7,707",151,"7,858"
2006,TOTAL,"92,710","1,892","94,602"
2007,1,"7,638",150,"7,788"
2007,2,"6,841",136,"6,977"
2007,3,"7,824",161,"7,985"
2007,4,"7,477",153,"7,630"
2007,5,"7,990",140,"8,130"
2007,6,"8,342",135,"8,477"
2007,7,"8,796",137,"8,933"
2007,8,"8,967",133,"9,100"
2007,9,"8,470",121,"8,591"
2007,10,"8,765",129,"8,894"
2007,11,"8,345",125,"8,470"
2007,12,"8,944",147,"9,091"
2007,TOTAL,"98,399","1,667","100,066"
2008,1,"8,072",133,"8,205"
2008,2,"7,643",122,"7,765"
2008,3,"8,343",134,"8,477"
2008,4,"8,245",123,"8,368"
2008,5,"8,578",112,"8,690"
2008,6,"8,586",107,"8,693"
2008,7,"8,856",109,"8,965"
2008,8,"8,572",111,"8,683"
2008,9,"7,229",90,"7,319"
2008,10,"7,425",93,"7,518"
2008,11,"7,014",90,"7,104"
2008,12,"7,030",91,"7,121"
2008,TOTAL,"95,593","1,315","96,908"
2009,1,"6,978",93,"7,071"
2009,2,"6,400",84,"6,484"
2009,3,"7,150",93,"7,243"
2009,4,"6,972",90,"7,062"
2009,5,"7,323",109,"7,432"
2009,6,"7,423",137,"7,560"
2009,7,"7,710",129,"7,839"
2009,8,"7,557",128,"7,685"
2009,9,"6,764",123,"6,887"
2009,10,"6,928",130,"7,058"
2009,11,"6,542",130,"6,672"
2009,12,"6,683",135,"6,818"
2009,TOTAL,"84,430","1,381","85,811"
2010,1,"6,378",131,"6,509"
2010,2,"5,905",117,"6,022"
2010,3,"6,764",132,"6,896"
2010,4,"6,652",133,"6,785"
2010,5,"7,091",89,"7,180"
2010,6,"7,100",87,"7,187"
2010,7,"7,270",110,"7,380"
2010,8,"7,143",111,"7,254"
2010,9,"6,384",102,"6,486"
2010,10,"6,624",111,"6,735"
2010,11,"6,247",124,"6,371"
2010,12,"6,377",137,"6,514"
2010,TOTAL,"79,935","1,384","81,319"
2011,1,"6,332",134,"6,466"
2011,2,"5,742",124,"5,866"
2011,3,"6,575",136,"6,711"
2011,4,"6,305",122,"6,427"
2011,5,"6,650",122,"6,772"
2011,6,"6,757",145,"6,902"
2011,7,"6,970",169,"7,139"
2011,8,"6,861",212,"7,073"
2011,9,"6,253",194,"6,447"
2011,10,"6,468",201,"6,669"
2011,11,"6,179",180,"6,359"
2011,12,"6,490",213,"6,703"
2011,TOTAL,"77,582","1,952","79,534"
2012,1,"6,099",198,"6,297"
2012,2,"5,917",154,"6,071"
2012,3,"6,553",189,"6,742"
2012,4,"6,356",197,"6,553"
2012,5,"6,598",185,"6,783"
2012,6,"6,902",184,"7,086"
2012,7,"7,218",210,"7,428"
2012,8,"7,075",206,"7,281"
2012,9,"6,392",171,"6,563"
2012,10,"6,517",169,"6,686"
2012,11,"6,221",159,"6,380"
2012,12,"6,526",205,"6,731"
2012,TOTAL,"78,374","2,227","80,601"
2013,1,"6,343",171,"6,514"
2013,2,"5,838",154,"5,992"
2013,3,"6,669",221,"6,890"
2013,4,"6,599",212,"6,811"
2013,5,"6,901",215,"7,116"
2013,6,"6,987",231,"7,218"
2013,7,"7,255",252,"7,507"
2013,8,"7,114",244,"7,358"
2013,9,"6,412",195,"6,607"
2013,10,"6,656",200,"6,856"
2013,11,"6,221",211,"6,432"
2013,12,"6,502",224,"6,726"
2013,TOTAL,"79,497","2,530","82,027"
2014,1,"6,247",236,"6,483"
2014,2,"5,695",200,"5,895"
2014,3,"6,709",234,"6,943"
2014,4,"6,518",235,"6,753"
2014,5,"6,697",229,"6,926"
2014,6,"7,137",224,"7,361"
2014,7,"7,597",255,"7,852"
2014,8,"7,262",240,"7,502"
2014,9,"6,634",154,"6,788"
2014,10,"7,032",171,"7,203"
2014,11,"6,655",195,"6,850"
2014,12,"6,900",218,"7,118"
2014,TOTAL,"81,083","2,591","83,674"
2015,1,"6,546",242,"6,788"
2015,2,"5,876",211,"6,087"
2015,3,"7,034",257,"7,291"
2015,4,"6,883",238,"7,121"
2015,5,"7,053",243,"7,296"
2015,6,"7,184",229,"7,413"
2015,7,"7,499",261,"7,760"
2015,8,"7,303",228,"7,531"
2015,9,"6,579",216,"6,795"
2015,10,"6,790",228,"7,018"
2015,11,"6,488",225,"6,713"
2015,12,"6,760",229,"6,989"
2015,TOTAL,"81,995","2,807","84,802"
2016,1,"6,454",233,"6,687"
2016,2,"6,105",194,"6,299"
2016,3,"6,876",228,"7,104"
2016,4,"6,782",214,"6,996"
2016,5,"7,031",211,"7,242"
2016,6,"7,233",276,"7,509"
2016,7,"7,496",310,"7,806"
2016,8,"7,501",296,"7,797"
2016,9,"6,789",249,"7,038"
2016,10,"7,033",234,"7,267"
2016,11,"6,666",177,"6,843"
2016,12,"6,920",192,"7,112"
