"Flights (All Carriers - San Francisco, CA: San Francisco International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"11,214","1,555","12,769"
2002,11,"10,275","1,552","11,827"
2002,12,"10,616","1,594","12,210"
2002,TOTAL,"111,923","18,731","130,654"
2003,1,"10,531","1,598","12,129"
2003,2,"9,382","1,415","10,797"
2003,3,"10,504","1,591","12,095"
2003,4,"9,943","1,418","11,361"
2003,5,"10,260","1,357","11,617"
2003,6,"10,491","1,450","11,941"
2003,7,"11,048","1,595","12,643"
2003,8,"11,017","1,661","12,678"
2003,9,"10,175","1,495","11,670"
2003,10,"10,671","1,589","12,260"
2003,11,"10,163","1,515","11,678"
2003,12,"10,806","1,569","12,375"
2003,TOTAL,"124,991","18,253","143,244"
2004,1,"10,799","1,548","12,347"
2004,2,"10,017","1,432","11,449"
2004,3,"11,237","1,536","12,773"
2004,4,"10,989","1,521","12,510"
2004,5,"11,499","1,547","13,046"
2004,6,"11,471","1,578","13,049"
2004,7,"11,817","1,781","13,598"
2004,8,"11,756","1,777","13,533"
2004,9,"10,940","1,568","12,508"
2004,10,"11,109","1,568","12,677"
2004,11,"10,251","1,535","11,786"
2004,12,"10,645","1,640","12,285"
2004,TOTAL,"132,530","19,031","151,561"
2005,1,"10,354","1,672","12,026"
2005,2,"9,462","1,510","10,972"
2005,3,"10,712","1,702","12,414"
2005,4,"10,387","1,689","12,076"
2005,5,"11,081","1,721","12,802"
2005,6,"11,211","1,744","12,955"
2005,7,"11,678","1,928","13,606"
2005,8,"11,689","1,896","13,585"
2005,9,"10,892","1,669","12,561"
2005,10,"11,267","1,665","12,932"
2005,11,"10,683","1,605","12,288"
2005,12,"10,871","1,760","12,631"
2005,TOTAL,"130,287","20,561","150,848"
2006,1,"10,700","1,712","12,412"
2006,2,"9,698","1,560","11,258"
2006,3,"10,901","1,770","12,671"
2006,4,"10,780","1,760","12,540"
2006,5,"11,135","1,824","12,959"
2006,6,"11,239","1,874","13,113"
2006,7,"11,689","2,020","13,709"
2006,8,"11,931","2,025","13,956"
2006,9,"10,864","1,852","12,716"
2006,10,"11,277","1,803","13,080"
2006,11,"10,692","1,815","12,507"
2006,12,"10,971","1,908","12,879"
2006,TOTAL,"131,877","21,923","153,800"
2007,1,"10,950","1,875","12,825"
2007,2,"9,734","1,679","11,413"
2007,3,"11,232","1,841","13,073"
2007,4,"11,015","1,796","12,811"
2007,5,"11,770","1,920","13,690"
2007,6,"12,057","1,954","14,011"
2007,7,"12,455","2,140","14,595"
2007,8,"12,729","2,144","14,873"
2007,9,"11,937","1,962","13,899"
2007,10,"12,464","1,984","14,448"
2007,11,"11,978","1,915","13,893"
2007,12,"12,243","2,030","14,273"
2007,TOTAL,"140,564","23,240","163,804"
2008,1,"11,495","1,931","13,426"
2008,2,"11,182","1,885","13,067"
2008,3,"12,424","1,972","14,396"
2008,4,"12,238","1,961","14,199"
2008,5,"12,941","2,008","14,949"
2008,6,"13,126","2,187","15,313"
2008,7,"13,808","2,225","16,033"
2008,8,"13,598","2,233","15,831"
2008,9,"12,030","1,925","13,955"
2008,10,"12,424","1,877","14,301"
2008,11,"11,484","1,707","13,191"
2008,12,"11,872","1,849","13,721"
2008,TOTAL,"148,622","23,760","172,382"
2009,1,"11,672","1,837","13,509"
2009,2,"10,647","1,631","12,278"
2009,3,"12,190","1,868","14,058"
2009,4,"11,863","1,857","13,720"
2009,5,"12,607","1,946","14,553"
2009,6,"13,134","2,027","15,161"
2009,7,"13,670","2,128","15,798"
2009,8,"13,632","2,165","15,797"
2009,9,"12,295","1,907","14,202"
2009,10,"12,648","1,827","14,475"
2009,11,"12,008","1,683","13,691"
2009,12,"12,416","1,764","14,180"
2009,TOTAL,"148,782","22,640","171,422"
2010,1,"12,235","1,761","13,996"
2010,2,"11,016","1,572","12,588"
2010,3,"12,667","1,789","14,456"
2010,4,"12,334","1,779","14,113"
2010,5,"12,758","2,013","14,771"
2010,6,"12,977","2,023","15,000"
2010,7,"13,529","2,244","15,773"
2010,8,"13,594","2,199","15,793"
2010,9,"12,632","1,993","14,625"
2010,10,"13,035","1,960","14,995"
2010,11,"12,479","1,783","14,262"
2010,12,"12,555","1,841","14,396"
2010,TOTAL,"151,811","22,957","174,768"
2011,1,"12,308","1,846","14,154"
2011,2,"11,198","1,674","12,872"
2011,3,"12,851","1,908","14,759"
2011,4,"12,606","1,848","14,454"
2011,5,"13,231","2,020","15,251"
2011,6,"13,729","2,060","15,789"
2011,7,"14,190","2,232","16,422"
2011,8,"14,312","2,225","16,537"
2011,9,"13,692","2,021","15,713"
2011,10,"14,030","1,991","16,021"
2011,11,"13,229","1,734","14,963"
2011,12,"13,649","1,914","15,563"
2011,TOTAL,"159,025","23,473","182,498"
2012,1,"13,173","1,864","15,037"
2012,2,"12,643","1,734","14,377"
2012,3,"13,652","1,889","15,541"
2012,4,"13,827","1,941","15,768"
2012,5,"14,431","2,194","16,625"
2012,6,"14,720","2,215","16,935"
2012,7,"15,516","2,350","17,866"
2012,8,"15,613","2,344","17,957"
2012,9,"14,120","2,146","16,266"
2012,10,"14,463","2,066","16,529"
2012,11,"13,406","1,792","15,198"
2012,12,"13,579","1,884","15,463"
2012,TOTAL,"169,143","24,419","193,562"
2013,1,"13,184","1,848","15,032"
2013,2,"12,055","1,664","13,719"
2013,3,"13,802","1,872","15,674"
2013,4,"13,653","1,901","15,554"
2013,5,"14,284","2,181","16,465"
2013,6,"14,440","2,228","16,668"
2013,7,"14,638","2,325","16,963"
2013,8,"15,347","2,388","17,735"
2013,9,"14,348","2,194","16,542"
2013,10,"14,808","2,125","16,933"
2013,11,"13,758","1,905","15,663"
2013,12,"14,234","2,004","16,238"
2013,TOTAL,"168,551","24,635","193,186"
2014,1,"13,769","1,947","15,716"
2014,2,"11,954","1,724","13,678"
2014,3,"14,282","2,082","16,364"
2014,4,"14,380","2,066","16,446"
2014,5,"14,794","2,381","17,175"
2014,6,"14,590","2,438","17,028"
2014,7,"15,289","2,502","17,791"
2014,8,"15,230","2,499","17,729"
2014,9,"14,408","2,220","16,628"
2014,10,"15,167","2,285","17,452"
2014,11,"13,827","1,889","15,716"
2014,12,"13,710","2,124","15,834"
2014,TOTAL,"171,400","26,157","197,557"
2015,1,"13,351","2,072","15,423"
2015,2,"11,928","1,853","13,781"
2015,3,"14,024","2,154","16,178"
2015,4,"13,657","2,156","15,813"
2015,5,"14,249","2,458","16,707"
2015,6,"14,244","2,528","16,772"
2015,7,"14,927","2,696","17,623"
2015,8,"15,109","2,640","17,749"
2015,9,"13,892","2,365","16,257"
2015,10,"14,775","2,337","17,112"
2015,11,"13,933","2,095","16,028"
2015,12,"13,846","2,304","16,150"
2015,TOTAL,"167,935","27,658","195,593"
2016,1,"13,210","2,246","15,456"
2016,2,"12,664","2,052","14,716"
2016,3,"14,302","2,259","16,561"
2016,4,"14,349","2,248","16,597"
2016,5,"15,220","2,546","17,766"
2016,6,"15,311","2,706","18,017"
2016,7,"15,856","2,934","18,790"
2016,8,"16,347","2,884","19,231"
2016,9,"14,910","2,595","17,505"
2016,10,"14,860","2,623","17,483"
2016,11,"14,224","2,363","16,587"
2016,12,"14,248","2,631","16,879"
2016,TOTAL,"175,501","30,087","205,588"
2017,1,"13,234","2,532","15,766"
2017,2,"11,896","2,238","14,134"
2017,3,"14,278","2,572","16,850"
2017,4,"13,664","2,568","16,232"
2017,5,"14,687","2,841","17,528"
2017,6,"15,359","2,996","18,355"
2017,7,"16,229","3,241","19,470"
2017,8,"16,840","3,181","20,021"
2017,9,"15,246","2,832","18,078"
2017,10,"15,773","2,814","18,587"
2017,11,"14,907","2,506","17,413"
2017,12,"15,492","2,741","18,233"
2017,TOTAL,"177,605","33,062","210,667"
2018,1,"14,500","2,647","17,147"
2018,2,"13,177","2,337","15,514"
2018,3,"14,980","2,743","17,723"
2018,4,"14,834","2,715","17,549"
2018,5,"15,404","3,026","18,430"
2018,6,"15,678","3,186","18,864"
2018,7,"16,201","3,347","19,548"
2018,8,"16,433","3,279","19,712"
2018,9,"14,677","2,966","17,643"
2018,10,"15,195","2,963","18,158"
2018,11,"14,397","2,742","17,139"
2018,12,"14,577","2,967","17,544"
2018,TOTAL,"180,053","34,918","214,971"
2019,1,"13,689","2,883","16,572"
2019,2,"12,161","2,476","14,637"
2019,3,"14,531","2,811","17,342"
2019,4,"14,255","3,096","17,351"
2019,5,"14,681","3,263","17,944"
2019,6,"15,122","3,402","18,524"
2019,7,"15,948","3,521","19,469"
2019,8,"17,101","3,519","20,620"
2019,9,"13,066","3,070","16,136"
2019,10,"14,704","3,165","17,869"
2019,11,"13,818","2,922","16,740"
2019,12,"14,078","3,106","17,184"
2019,TOTAL,"173,154","37,234","210,388"
2020,1,"13,860","2,957","16,817"
2020,2,"13,134","2,448","15,582"
2020,3,"11,856","1,840","13,696"
2020,4,"2,979",226,"3,205"
2020,5,"3,491",111,"3,602"
2020,6,"4,257",269,"4,526"
2020,7,"6,363",473,"6,836"
2020,8,"6,650",663,"7,313"
2020,9,"6,010",726,"6,736"
2020,10,"6,482",783,"7,265"
2020,11,"6,335",869,"7,204"
2020,12,"6,328",981,"7,309"
2020,TOTAL,"87,745","12,346","100,091"
2021,1,"5,844",911,"6,755"
2021,2,"5,216",672,"5,888"
2021,3,"6,472",735,"7,207"
2021,4,"6,606",752,"7,358"
2021,5,"7,073",834,"7,907"
2021,6,"8,271","1,074","9,345"
2021,7,"9,499","1,385","10,884"
2021,8,"9,757","1,504","11,261"
2021,9,"9,743","1,458","11,201"
2021,10,"10,143","1,624","11,767"
2021,11,"9,882","1,706","11,588"
2021,12,"9,825","1,810","11,635"
2021,TOTAL,"98,331","14,465","112,796"
2022,1,"9,513","1,625","11,138"
2022,2,"9,192","1,412","10,604"
2022,3,"10,497","1,765","12,262"
2022,4,"10,605","1,996","12,601"
2022,5,"11,009","2,225","13,234"
2022,6,"11,401","2,586","13,987"
2022,7,"11,810","2,727","14,537"
2022,8,"11,715","2,693","14,408"
2022,9,"11,094","2,530","13,624"
2022,10,"11,379","2,393","13,772"
2022,11,"10,514","2,223","12,737"
2022,12,"10,387","2,429","12,816"
2022,TOTAL,"129,116","26,604","155,720"
2023,1,"10,374","2,373","12,747"
2023,2,"9,885","2,068","11,953"
2023,3,"11,310","2,461","13,771"
2023,4,"11,075","2,581","13,656"
2023,5,"12,221","2,948","15,169"
2023,6,"11,987","3,085","15,072"
2023,7,"12,490","3,310","15,800"
2023,8,"12,506","3,305","15,811"
2023,9,"11,834","2,970","14,804"
2023,10,"12,128","2,919","15,047"
2023,11,"11,538","2,725","14,263"
2023,12,"11,439","2,944","14,383"
2023,TOTAL,"138,787","33,689","172,476"
2024,1,"9,899","2,863","12,762"
2024,2,"9,709","2,692","12,401"
2024,3,"11,113","2,994","14,107"
2024,4,"10,909","3,033","13,942"
2024,5,"11,168","3,320","14,488"
2024,6,"10,504","3,392","13,896"
2024,7,"11,867","3,567","15,434"
2024,8,"12,219","3,591","15,810"
2024,9,"12,009","3,197","15,206"
2024,10,"12,828","3,155","15,983"
2024,11,"12,312","2,728","15,040"
2024,TOTAL,"124,537","34,532","159,069"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
