"Flights (All Carriers - Salt Lake City, UT: Salt Lake City International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"10,444",106,"10,550"
2002,11,"10,414",220,"10,634"
2002,12,"10,754",221,"10,975"
2002,TOTAL,"86,410",743,"87,153"
2003,1,"10,772",224,"10,996"
2003,2,"9,934",208,"10,142"
2003,3,"11,107",231,"11,338"
2003,4,"10,511",219,"10,730"
2003,5,"10,154",226,"10,380"
2003,6,"11,054",223,"11,277"
2003,7,"11,434",229,"11,663"
2003,8,"11,468",212,"11,680"
2003,9,"11,030",206,"11,236"
2003,10,"11,148",211,"11,359"
2003,11,"10,685",215,"10,900"
2003,12,"11,014",218,"11,232"
2003,TOTAL,"130,311","2,622","132,933"
2004,1,"11,271",222,"11,493"
2004,2,"10,916",210,"11,126"
2004,3,"11,837",230,"12,067"
2004,4,"11,401",226,"11,627"
2004,5,"11,947",235,"12,182"
2004,6,"12,053",225,"12,278"
2004,7,"12,419",235,"12,654"
2004,8,"12,416",240,"12,656"
2004,9,"11,758",230,"11,988"
2004,10,"11,952",240,"12,192"
2004,11,"11,517",224,"11,741"
2004,12,"11,996",237,"12,233"
2004,TOTAL,"141,483","2,754","144,237"
2005,1,"11,969",233,"12,202"
2005,2,"12,666",267,"12,933"
2005,3,"14,429",298,"14,727"
2005,4,"13,587",293,"13,880"
2005,5,"14,084",299,"14,383"
2005,6,"14,085",308,"14,393"
2005,7,"14,708",328,"15,036"
2005,8,"14,843",323,"15,166"
2005,9,"14,024",308,"14,332"
2005,10,"14,323",300,"14,623"
2005,11,"13,512",287,"13,799"
2005,12,"11,949",302,"12,251"
2005,TOTAL,"164,179","3,546","167,725"
2006,1,"11,769",324,"12,093"
2006,2,"10,698",303,"11,001"
2006,3,"12,453",367,"12,820"
2006,4,"11,782",348,"12,130"
2006,5,"12,179",330,"12,509"
2006,6,"12,630",393,"13,023"
2006,7,"13,264",468,"13,732"
2006,8,"13,393",463,"13,856"
2006,9,"12,038",359,"12,397"
2006,10,"12,186",325,"12,511"
2006,11,"11,562",353,"11,915"
2006,12,"12,201",440,"12,641"
2006,TOTAL,"146,155","4,473","150,628"
2007,1,"12,231",468,"12,699"
2007,2,"11,052",415,"11,467"
2007,3,"12,727",445,"13,172"
2007,4,"11,818",423,"12,241"
2007,5,"11,781",407,"12,188"
2007,6,"13,046",409,"13,455"
2007,7,"13,620",416,"14,036"
2007,8,"13,612",416,"14,028"
2007,9,"12,050",323,"12,373"
2007,10,"12,326",313,"12,639"
2007,11,"11,954",312,"12,266"
2007,12,"12,222",325,"12,547"
2007,TOTAL,"148,439","4,672","153,111"
2008,1,"12,167",349,"12,516"
2008,2,"11,599",310,"11,909"
2008,3,"12,603",388,"12,991"
2008,4,"11,605",332,"11,937"
2008,5,"11,636",324,"11,960"
2008,6,"12,248",370,"12,618"
2008,7,"12,751",377,"13,128"
2008,8,"12,487",342,"12,829"
2008,9,"10,465",292,"10,757"
2008,10,"10,638",291,"10,929"
2008,11,"10,092",289,"10,381"
2008,12,"10,671",369,"11,040"
2008,TOTAL,"138,962","4,033","142,995"
2009,1,"10,973",331,"11,304"
2009,2,"10,199",271,"10,470"
2009,3,"11,495",292,"11,787"
2009,4,"11,029",288,"11,317"
2009,5,"11,283",283,"11,566"
2009,6,"12,256",310,"12,566"
2009,7,"13,194",303,"13,497"
2009,8,"12,669",274,"12,943"
2009,9,"10,669",194,"10,863"
2009,10,"10,814",185,"10,999"
2009,11,"10,220",190,"10,410"
2009,12,"10,796",259,"11,055"
2009,TOTAL,"135,597","3,180","138,777"
2010,1,"10,940",226,"11,166"
2010,2,"9,949",205,"10,154"
2010,3,"11,243",239,"11,482"
2010,4,"10,472",181,"10,653"
2010,5,"10,737",190,"10,927"
2010,6,"11,570",245,"11,815"
2010,7,"12,350",320,"12,670"
2010,8,"12,321",281,"12,602"
2010,9,"11,067",197,"11,264"
2010,10,"11,058",205,"11,263"
2010,11,"10,221",187,"10,408"
2010,12,"10,605",198,"10,803"
2010,TOTAL,"132,533","2,674","135,207"
2011,1,"10,518",224,"10,742"
2011,2,"9,588",202,"9,790"
2011,3,"11,145",220,"11,365"
2011,4,"10,186",144,"10,330"
2011,5,"10,560",166,"10,726"
2011,6,"10,921",217,"11,138"
2011,7,"11,373",271,"11,644"
2011,8,"11,175",236,"11,411"
2011,9,"9,872",192,"10,064"
2011,10,"9,904",184,"10,088"
2011,11,"9,091",174,"9,265"
2011,12,"9,542",187,"9,729"
2011,TOTAL,"123,875","2,417","126,292"
2012,1,"9,422",192,"9,614"
2012,2,"8,990",188,"9,178"
2012,3,"10,293",221,"10,514"
2012,4,"9,524",178,"9,702"
2012,5,"9,611",162,"9,773"
2012,6,"10,127",208,"10,335"
2012,7,"10,454",190,"10,644"
2012,8,"10,361",183,"10,544"
2012,9,"9,244",135,"9,379"
2012,10,"9,439",137,"9,576"
2012,11,"8,802",119,"8,921"
2012,12,"9,142",142,"9,284"
2012,TOTAL,"115,409","2,055","117,464"
2013,1,"8,971",159,"9,130"
2013,2,"8,263",153,"8,416"
2013,3,"10,146",196,"10,342"
2013,4,"9,467",174,"9,641"
2013,5,"9,467",172,"9,639"
2013,6,"10,030",178,"10,208"
2013,7,"10,449",156,"10,605"
2013,8,"10,452",160,"10,612"
2013,9,"9,501",136,"9,637"
2013,10,"9,611",146,"9,757"
2013,11,"8,887",134,"9,021"
2013,12,"9,045",136,"9,181"
2013,TOTAL,"114,289","1,900","116,189"
2014,1,"9,078",166,"9,244"
2014,2,"8,172",151,"8,323"
2014,3,"9,950",184,"10,134"
2014,4,"9,209",176,"9,385"
2014,5,"9,332",176,"9,508"
2014,6,"9,877",181,"10,058"
2014,7,"10,497",186,"10,683"
2014,8,"10,466",177,"10,643"
2014,9,"9,505",139,"9,644"
2014,10,"9,643",159,"9,802"
2014,11,"8,900",136,"9,036"
2014,12,"9,293",164,"9,457"
2014,TOTAL,"113,922","1,995","115,917"
2015,1,"9,157",192,"9,349"
2015,2,"8,313",167,"8,480"
2015,3,"9,859",192,"10,051"
2015,4,"9,178",185,"9,363"
2015,5,"9,172",263,"9,435"
2015,6,"9,396",276,"9,672"
2015,7,"9,914",287,"10,201"
2015,8,"9,908",288,"10,196"
2015,9,"8,859",213,"9,072"
2015,10,"9,236",200,"9,436"
2015,11,"8,724",160,"8,884"
2015,12,"9,110",195,"9,305"
2015,TOTAL,"110,826","2,618","113,444"
2016,1,"9,020",214,"9,234"
2016,2,"8,643",193,"8,836"
2016,3,"9,989",221,"10,210"
2016,4,"9,373",227,"9,600"
2016,5,"9,649",295,"9,944"
2016,6,"9,899",367,"10,266"
2016,7,"10,322",394,"10,716"
2016,8,"10,304",385,"10,689"
2016,9,"9,397",326,"9,723"
2016,10,"9,594",307,"9,901"
2016,11,"8,935",239,"9,174"
2016,12,"9,481",279,"9,760"
2016,TOTAL,"114,606","3,447","118,053"
2017,1,"9,419",296,"9,715"
2017,2,"8,647",260,"8,907"
2017,3,"10,322",306,"10,628"
2017,4,"9,472",299,"9,771"
2017,5,"9,863",350,"10,213"
2017,6,"10,173",369,"10,542"
2017,7,"10,496",394,"10,890"
2017,8,"10,562",387,"10,949"
2017,9,"9,455",338,"9,793"
2017,10,"9,677",301,"9,978"
2017,11,"9,154",217,"9,371"
2017,12,"9,645",247,"9,892"
2017,TOTAL,"116,885","3,764","120,649"
2018,1,"9,636",285,"9,921"
2018,2,"8,841",260,"9,101"
2018,3,"10,495",302,"10,797"
2018,4,"9,796",307,"10,103"
2018,5,"9,958",341,"10,299"
2018,6,"10,107",365,"10,472"
2018,7,"10,563",381,"10,944"
2018,8,"10,822",378,"11,200"
2018,9,"9,693",318,"10,011"
2018,10,"10,102",280,"10,382"
2018,11,"9,455",233,"9,688"
2018,12,"9,972",280,"10,252"
2018,TOTAL,"119,440","3,730","123,170"
2019,1,"9,957",281,"10,238"
2019,2,"8,983",253,"9,236"
2019,3,"10,586",308,"10,894"
2019,4,"9,866",305,"10,171"
2019,5,"10,144",337,"10,481"
2019,6,"10,382",369,"10,751"
2019,7,"10,841",386,"11,227"
2019,8,"10,919",382,"11,301"
2019,9,"9,906",320,"10,226"
2019,10,"10,161",328,"10,489"
2019,11,"9,246",281,"9,527"
2019,12,"10,197",292,"10,489"
2019,TOTAL,"121,188","3,842","125,030"
2020,1,"10,290",313,"10,603"
2020,2,"9,557",290,"9,847"
2020,3,"9,117",238,"9,355"
2020,4,"4,036",28,"4,064"
