"Flights (All Carriers - Tampa, FL: Tampa International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"7,313",100,"7,413"
2002,11,"6,920",113,"7,033"
2002,12,"7,277",122,"7,399"
2002,TOTAL,"75,898","1,352","77,250"
2003,1,"7,280",139,"7,419"
2003,2,"6,742",128,"6,870"
2003,3,"7,829",140,"7,969"
2003,4,"7,408",136,"7,544"
2003,5,"7,266",104,"7,370"
2003,6,"7,045",113,"7,158"
2003,7,"7,528",111,"7,639"
2003,8,"7,343",115,"7,458"
2003,9,"7,028",100,"7,128"
2003,10,"7,423",113,"7,536"
2003,11,"7,222",138,"7,360"
2003,12,"7,705",138,"7,843"
2003,TOTAL,"87,819","1,475","89,294"
2004,1,"7,727",145,"7,872"
2004,2,"7,513",140,"7,653"
2004,3,"8,242",141,"8,383"
2004,4,"7,702",130,"7,832"
2004,5,"7,634",106,"7,740"
2004,6,"7,353",102,"7,455"
2004,7,"7,421",109,"7,530"
2004,8,"7,134",103,"7,237"
2004,9,"6,128",77,"6,205"
2004,10,"7,653",94,"7,747"
2004,11,"8,495",126,"8,621"
2004,12,"9,010",142,"9,152"
2004,TOTAL,"92,012","1,415","93,427"
2005,1,"8,995",146,"9,141"
2005,2,"8,346",139,"8,485"
2005,3,"9,549",165,"9,714"
2005,4,"8,984",146,"9,130"
2005,5,"8,539",125,"8,664"
2005,6,"8,191",133,"8,324"
2005,7,"8,428",182,"8,610"
2005,8,"8,415",180,"8,595"
2005,9,"7,678",177,"7,855"
2005,10,"7,926",195,"8,121"
2005,11,"8,347",195,"8,542"
2005,12,"8,558",185,"8,743"
2005,TOTAL,"101,956","1,968","103,924"
2006,1,"8,391",171,"8,562"
2006,2,"7,687",157,"7,844"
2006,3,"8,907",178,"9,085"
2006,4,"8,480",166,"8,646"
2006,5,"8,002",112,"8,114"
2006,6,"7,489",156,"7,645"
2006,7,"7,667",118,"7,785"
2006,8,"7,773",111,"7,884"
2006,9,"7,317",106,"7,423"
2006,10,"7,787",83,"7,870"
2006,11,"7,980",131,"8,111"
2006,12,"8,716",156,"8,872"
2006,TOTAL,"96,196","1,645","97,841"
2007,1,"8,550",178,"8,728"
2007,2,"7,785",171,"7,956"
2007,3,"9,130",196,"9,326"
2007,4,"8,654",185,"8,839"
2007,5,"8,216",118,"8,334"
2007,6,"7,808",88,"7,896"
2007,7,"8,040",93,"8,133"
2007,8,"7,977",92,"8,069"
2007,9,"7,281",82,"7,363"
2007,10,"7,726",83,"7,809"
2007,11,"7,938",145,"8,083"
2007,12,"8,291",166,"8,457"
2007,TOTAL,"97,396","1,597","98,993"
2008,1,"8,236",165,"8,401"
2008,2,"8,086",170,"8,256"
2008,3,"9,331",200,"9,531"
2008,4,"8,700",177,"8,877"
2008,5,"8,361",99,"8,460"
2008,6,"7,744",81,"7,825"
2008,7,"7,731",76,"7,807"
2008,8,"7,182",82,"7,264"
2008,9,"6,199",76,"6,275"
2008,10,"6,695",76,"6,771"
2008,11,"6,684",122,"6,806"
2008,12,"6,999",151,"7,150"
2008,TOTAL,"91,948","1,475","93,423"
2009,1,"6,644",178,"6,822"
2009,2,"6,293",162,"6,455"
2009,3,"7,436",181,"7,617"
2009,4,"6,931",177,"7,108"
2009,5,"6,649",113,"6,762"
2009,6,"6,330",112,"6,442"
2009,7,"6,513",120,"6,633"
2009,8,"6,284",121,"6,405"
2009,9,"5,544",90,"5,634"
2009,10,"5,946",89,"6,035"
2009,11,"6,061",127,"6,188"
2009,12,"6,482",136,"6,618"
2009,TOTAL,"77,113","1,606","78,719"
2010,1,"6,327",154,"6,481"
2010,2,"5,791",149,"5,940"
2010,3,"7,118",186,"7,304"
2010,4,"6,811",173,"6,984"
2010,5,"6,529",105,"6,634"
2010,6,"6,205",89,"6,294"
2010,7,"6,364",99,"6,463"
2010,8,"6,155",93,"6,248"
2010,9,"5,558",82,"5,640"
2010,10,"5,942",88,"6,030"
2010,11,"6,210",97,"6,307"
2010,12,"6,571",139,"6,710"
2010,TOTAL,"75,581","1,454","77,035"
2011,1,"6,232",154,"6,386"
2011,2,"5,791",166,"5,957"
2011,3,"7,091",172,"7,263"
2011,4,"6,865",174,"7,039"
2011,5,"6,369",110,"6,479"
2011,6,"6,351",99,"6,450"
2011,7,"6,487",136,"6,623"
2011,8,"6,069",103,"6,172"
2011,9,"5,480",93,"5,573"
2011,10,"5,878",96,"5,974"
2011,11,"5,980",129,"6,109"
2011,12,"6,433",148,"6,581"
2011,TOTAL,"75,026","1,580","76,606"
2012,1,"6,057",152,"6,209"
2012,2,"5,960",157,"6,117"
2012,3,"6,954",186,"7,140"
2012,4,"6,478",163,"6,641"
2012,5,"6,273",116,"6,389"
2012,6,"6,218",101,"6,319"
2012,7,"6,401",104,"6,505"
2012,8,"6,087",111,"6,198"
2012,9,"5,458",96,"5,554"
2012,10,"5,685",105,"5,790"
2012,11,"6,038",130,"6,168"
2012,12,"6,380",147,"6,527"
2012,TOTAL,"73,989","1,568","75,557"
2013,1,"6,101",179,"6,280"
2013,2,"5,784",166,"5,950"
2013,3,"7,285",210,"7,495"
2013,4,"6,759",202,"6,961"
2013,5,"6,376",195,"6,571"
2013,6,"6,153",102,"6,255"
2013,7,"6,291",110,"6,401"
2013,8,"5,930",109,"6,039"
2013,9,"5,222",96,"5,318"
2013,10,"5,782",103,"5,885"
2013,11,"5,991",130,"6,121"
2013,12,"6,376",182,"6,558"
2013,TOTAL,"74,050","1,784","75,834"
2014,1,"5,952",205,"6,157"
2014,2,"5,596",201,"5,797"
2014,3,"7,185",251,"7,436"
2014,4,"6,620",205,"6,825"
2014,5,"6,248",142,"6,390"
2014,6,"5,863",133,"5,996"
2014,7,"6,028",150,"6,178"
2014,8,"5,687",145,"5,832"
2014,9,"5,231",115,"5,346"
2014,10,"5,680",174,"5,854"
2014,11,"6,084",179,"6,263"
2014,12,"6,526",213,"6,739"
2014,TOTAL,"72,700","2,113","74,813"
2015,1,"6,475",228,"6,703"
2015,2,"5,833",231,"6,064"
2015,3,"7,400",295,"7,695"
2015,4,"6,770",254,"7,024"
2015,5,"6,480",178,"6,658"
2015,6,"6,285",163,"6,448"
2015,7,"6,419",175,"6,594"
2015,8,"5,961",179,"6,140"
2015,9,"5,316",138,"5,454"
2015,10,"5,650",164,"5,814"
2015,11,"6,098",179,"6,277"
2015,12,"6,515",216,"6,731"
2015,TOTAL,"75,202","2,400","77,602"
2016,1,"6,388",235,"6,623"
2016,2,"6,116",228,"6,344"
2016,3,"7,370",268,"7,638"
2016,4,"6,551",247,"6,798"
2016,5,"6,207",195,"6,402"
2016,6,"6,019",200,"6,219"
2016,7,"6,067",284,"6,351"
2016,8,"5,710",233,"5,943"
2016,9,"5,124",172,"5,296"
2016,10,"5,475",186,"5,661"
2016,11,"5,957",199,"6,156"
2016,12,"6,416",240,"6,656"
2016,TOTAL,"73,400","2,687","76,087"
2017,1,"6,345",286,"6,631"
2017,2,"5,854",268,"6,122"
2017,3,"7,193",314,"7,507"
2017,4,"6,854",315,"7,169"
2017,5,"6,361",270,"6,631"
2017,6,"6,292",225,"6,517"
2017,7,"6,396",261,"6,657"
2017,8,"6,006",259,"6,265"
2017,9,"4,567",193,"4,760"
2017,10,"5,793",215,"6,008"
2017,11,"6,260",241,"6,501"
2017,12,"6,885",286,"7,171"
2017,TOTAL,"74,806","3,133","77,939"
2018,1,"6,909",292,"7,201"
2018,2,"6,425",283,"6,708"
2018,3,"7,654",337,"7,991"
2018,4,"6,868",325,"7,193"
2018,5,"6,680",263,"6,943"
2018,6,"6,409",225,"6,634"
2018,7,"6,543",267,"6,810"
2018,8,"6,072",258,"6,330"
2018,9,"5,513",216,"5,729"
2018,10,"6,110",241,"6,351"
2018,11,"6,486",268,"6,754"
2018,12,"7,113",308,"7,421"
2018,TOTAL,"78,782","3,283","82,065"
2019,1,"6,960",298,"7,258"
2019,2,"6,383",303,"6,686"
2019,3,"7,974",391,"8,365"
2019,4,"7,238",438,"7,676"
2019,5,"6,704",298,"7,002"
2019,6,"6,428",281,"6,709"
2019,7,"6,624",312,"6,936"
2019,8,"6,192",292,"6,484"
2019,9,"5,489",225,"5,714"
2019,10,"6,265",238,"6,503"
2019,11,"6,831",260,"7,091"
2019,12,"7,606",312,"7,918"
2019,TOTAL,"80,694","3,648","84,342"
2020,1,"7,109",325,"7,434"
2020,2,"6,872",323,"7,195"
2020,3,"6,977",277,"7,254"
2020,4,"2,157",0,"2,157"
2020,5,"2,616",,"2,616"
2020,6,"2,591",,"2,591"
2020,7,"4,109",5,"4,114"
2020,8,"3,757",,"3,757"
2020,9,"2,855",3,"2,858"
2020,10,"3,525",7,"3,532"
2020,11,"4,516",21,"4,537"
2020,12,"4,910",73,"4,983"
2020,TOTAL,"51,994","1,034","53,028"
2021,1,"4,496",46,"4,542"
2021,2,"4,290",29,"4,319"
2021,3,"6,235",42,"6,277"
2021,4,"6,102",30,"6,132"
2021,5,"6,224",34,"6,258"
2021,6,"5,940",46,"5,986"
2021,7,"6,142",71,"6,213"
2021,8,"5,965",81,"6,046"
2021,9,"5,379",70,"5,449"
2021,10,"5,839",77,"5,916"
2021,11,"6,683",135,"6,818"
2021,12,"7,091",211,"7,302"
2021,TOTAL,"70,386",872,"71,258"
2022,1,"6,539",197,"6,736"
2022,2,"6,135",178,"6,313"
2022,3,"7,568",263,"7,831"
2022,4,"6,706",250,"6,956"
2022,5,"6,470",249,"6,719"
2022,6,"5,722",245,"5,967"
2022,7,"5,970",275,"6,245"
2022,8,"5,844",255,"6,099"
2022,9,"5,092",180,"5,272"
2022,10,"5,942",222,"6,164"
2022,11,"6,243",278,"6,521"
2022,12,"6,549",333,"6,882"
2022,TOTAL,"74,780","2,925","77,705"
2023,1,"6,746",331,"7,077"
2023,2,"6,359",320,"6,679"
2023,3,"7,733",403,"8,136"
2023,4,"7,501",382,"7,883"
2023,5,"7,134",299,"7,433"
2023,6,"6,713",315,"7,028"
2023,7,"6,866",330,"7,196"
2023,8,"6,220",291,"6,511"
2023,9,"6,174",276,"6,450"
2023,10,"7,085",293,"7,378"
2023,11,"7,247",378,"7,625"
2023,12,"7,780",456,"8,236"
2023,TOTAL,"83,558","4,074","87,632"
2024,1,"7,125",446,"7,571"
2024,2,"7,092",415,"7,507"
2024,3,"8,579",433,"9,012"
2024,4,"7,648",447,"8,095"
2024,5,"7,381",332,"7,713"
2024,6,"6,907",366,"7,273"
2024,7,"6,919",414,"7,333"
2024,8,"6,380",363,"6,743"
2024,9,"5,765",319,"6,084"
2024,10,"6,046",360,"6,406"
2024,11,"7,001",484,"7,485"
2024,TOTAL,"76,843","4,379","81,222"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
