"Flights (All Carriers - Washington, DC: Washington Dulles International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"10,572","1,228","11,800"
2002,11,"10,105","1,305","11,410"
2002,12,"10,227","1,317","11,544"
2002,TOTAL,"73,658","14,005","87,663"
2003,1,"9,830","1,267","11,097"
2003,2,"7,824","1,035","8,859"
2003,3,"9,634","1,223","10,857"
2003,4,"8,840","1,150","9,990"
2003,5,"9,107","1,179","10,286"
2003,6,"9,023","1,275","10,298"
2003,7,"9,383","1,335","10,718"
2003,8,"9,369","1,445","10,814"
2003,9,"8,869","1,364","10,233"
2003,10,"9,634","1,419","11,053"
2003,11,"9,248","1,279","10,527"
2003,12,"9,616","1,275","10,891"
2003,TOTAL,"110,377","15,246","125,623"
2004,1,"9,517","1,265","10,782"
2004,2,"9,141","1,204","10,345"
2004,3,"10,138","1,346","11,484"
2004,4,"10,241","1,350","11,591"
2004,5,"10,525","1,388","11,913"
2004,6,"11,513","1,419","12,932"
2004,7,"15,686","1,496","17,182"
2004,8,"19,644","1,504","21,148"
2004,9,"20,971","1,349","22,320"
2004,10,"22,215","1,370","23,585"
2004,11,"19,964","1,266","21,230"
2004,12,"19,297","1,289","20,586"
2004,TOTAL,"178,852","16,246","195,098"
2005,1,"18,130","1,330","19,460"
2005,2,"16,029","1,197","17,226"
2005,3,"17,969","1,345","19,314"
2005,4,"17,392","1,349","18,741"
2005,5,"17,885","1,435","19,320"
2005,6,"16,854","1,408","18,262"
2005,7,"17,414","1,484","18,898"
2005,8,"17,293","1,476","18,769"
2005,9,"15,696","1,380","17,076"
2005,10,"15,689","1,357","17,046"
2005,11,"13,597","1,224","14,821"
2005,12,"13,710","1,328","15,038"
2005,TOTAL,"197,658","16,313","213,971"
2006,1,"10,476","1,346","11,822"
2006,2,"9,790","1,236","11,026"
2006,3,"11,237","1,403","12,640"
2006,4,"10,819","1,493","12,312"
2006,5,"11,222","1,558","12,780"
2006,6,"10,591","1,569","12,160"
2006,7,"10,956","1,691","12,647"
2006,8,"11,399","1,704","13,103"
2006,9,"10,961","1,650","12,611"
2006,10,"11,893","1,528","13,421"
2006,11,"12,065","1,443","13,508"
2006,12,"12,257","1,501","13,758"
2006,TOTAL,"133,666","18,122","151,788"
2007,1,"12,168","1,494","13,662"
2007,2,"10,057","1,301","11,358"
2007,3,"12,203","1,552","13,755"
2007,4,"11,665","1,631","13,296"
2007,5,"11,965","1,695","13,660"
2007,6,"10,922","1,717","12,639"
2007,7,"11,138","1,816","12,954"
2007,8,"11,151","1,869","13,020"
2007,9,"10,691","1,776","12,467"
