"Passengers (All Carriers - Baltimore, MD: Baltimore/Washington International Thurgood Marshall (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"759,486","16,418","775,904"
2002,11,"687,435","15,603","703,038"
2002,12,"730,522","17,237","747,759"
2002,TOTAL,"8,916,259","173,962","9,090,221"
2003,1,"634,628","15,912","650,540"
2003,2,"557,207","11,668","568,875"
2003,3,"733,863","12,042","745,905"
2003,4,"774,625","20,702","795,327"
2003,5,"832,023","20,468","852,491"
2003,6,"871,736","26,438","898,174"
2003,7,"947,011","30,010","977,021"
2003,8,"915,598","26,801","942,399"
2003,9,"702,147","18,223","720,370"
2003,10,"839,758","20,220","859,978"
2003,11,"769,831","20,122","789,953"
2003,12,"785,671","22,096","807,767"
2003,TOTAL,"9,364,098","244,702","9,608,800"
2004,1,"665,107","21,154","686,261"
2004,2,"680,981","21,242","702,223"
2004,3,"839,783","27,155","866,938"
2004,4,"891,049","25,751","916,800"
2004,5,"881,777","28,411","910,188"
2004,6,"919,633","34,619","954,252"
2004,7,"926,764","37,574","964,338"
2004,8,"868,448","32,949","901,397"
2004,9,"684,488","18,863","703,351"
2004,10,"791,568","21,879","813,447"
2004,11,"750,074","21,519","771,593"
2004,12,"736,608","20,240","756,848"
2004,TOTAL,"9,636,280","311,356","9,947,636"
2005,1,"657,081","20,620","677,701"
2005,2,"623,824","18,230","642,054"
2005,3,"829,091","28,030","857,121"
2005,4,"760,322","22,786","783,108"
2005,5,"827,159","25,056","852,215"
2005,6,"857,906","29,257","887,163"
2005,7,"923,948","29,618","953,566"
2005,8,"884,631","25,812","910,443"
2005,9,"748,977","18,560","767,537"
2005,10,"803,520","18,434","821,954"
2005,11,"792,497","20,091","812,588"
2005,12,"754,393","22,352","776,745"
2005,TOTAL,"9,463,349","278,846","9,742,195"
2006,1,"682,569","18,505","701,074"
2006,2,"668,578","17,880","686,458"
2006,3,"845,045","22,991","868,036"
2006,4,"861,547","25,210","886,757"
2006,5,"896,073","24,508","920,581"
2006,6,"936,021","28,005","964,026"
2006,7,"941,075","26,392","967,467"
2006,8,"917,510","25,985","943,495"
2006,9,"774,979","25,279","800,258"
2006,10,"844,553","20,559","865,112"
2006,11,"818,101","21,195","839,296"
2006,12,"765,145","23,071","788,216"
2006,TOTAL,"9,951,196","279,580","10,230,776"
2007,1,"692,663","13,792","706,455"
2007,2,"646,963","15,701","662,664"
2007,3,"825,521","21,963","847,484"
2007,4,"844,415","23,662","868,077"
2007,5,"907,769","22,770","930,539"
2007,6,"966,033","26,803","992,836"
2007,7,"981,081","27,310","1,008,391"
2007,8,"993,869","23,493","1,017,362"
2007,9,"811,794","17,914","829,708"
2007,10,"880,024","18,702","898,726"
2007,11,"832,298","18,645","850,943"
2007,12,"792,625","18,847","811,472"
2007,TOTAL,"10,175,055","249,602","10,424,657"
2008,1,"725,193","11,754","736,947"
2008,2,"722,550","14,575","737,125"
2008,3,"886,089","17,599","903,688"
2008,4,"842,623","14,775","857,398"
2008,5,"932,435","15,175","947,610"
2008,6,"935,613","19,279","954,892"
2008,7,"940,828","20,054","960,882"
2008,8,"913,270","18,052","931,322"
2008,9,"728,464","11,892","740,356"
2008,10,"842,656","13,402","856,058"
2008,11,"731,213","12,727","743,940"
2008,12,"762,626","14,438","777,064"
