"Passengers (All Carriers - Fort Lauderdale, FL: Fort Lauderdale-Hollywood International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"557,402","29,866","587,268"
2002,11,"602,032","44,301","646,333"
2002,12,"658,085","57,250","715,335"
2002,TOTAL,"7,559,067","450,679","8,009,746"
2003,1,"676,133","54,186","730,319"
2003,2,"639,441","58,005","697,446"
2003,3,"775,192","70,760","845,952"
2003,4,"722,003","53,972","775,975"
2003,5,"639,990","35,574","675,564"
2003,6,"616,468","37,934","654,402"
2003,7,"668,878","41,422","710,300"
2003,8,"666,487","49,435","715,922"
2003,9,"524,336","24,676","549,012"
2003,10,"629,849","30,429","660,278"
2003,11,"691,247","51,223","742,470"
2003,12,"709,179","78,356","787,535"
2003,TOTAL,"7,959,203","585,972","8,545,175"
2004,1,"748,977","70,044","819,021"
2004,2,"768,480","70,124","838,604"
2004,3,"900,188","85,020","985,208"
2004,4,"866,905","73,021","939,926"
2004,5,"749,750","49,958","799,708"
2004,6,"741,995","46,603","788,598"
2004,7,"768,895","64,336","833,231"
2004,8,"748,090","63,375","811,465"
2004,9,"485,707","24,798","510,505"
2004,10,"723,071","39,271","762,342"
2004,11,"798,317","58,085","856,402"
2004,12,"831,351","82,191","913,542"
2004,TOTAL,"9,131,726","726,826","9,858,552"
2005,1,"887,188","76,074","963,262"
2005,2,"826,342","80,053","906,395"
2005,3,"1,033,136","113,230","1,146,366"
2005,4,"921,203","83,634","1,004,837"
2005,5,"853,716","72,987","926,703"
2005,6,"814,326","78,761","893,087"
2005,7,"851,687","95,888","947,575"
2005,8,"755,954","83,004","838,958"
2005,9,"618,069","51,313","669,382"
2005,10,"588,102","53,228","641,330"
2005,11,"732,197","68,743","800,940"
2005,12,"794,582","104,468","899,050"
2005,TOTAL,"9,676,502","961,383","10,637,885"
2006,1,"866,317","96,916","963,233"
2006,2,"778,873","84,157","863,030"
2006,3,"944,437","109,807","1,054,244"
2006,4,"913,261","101,433","1,014,694"
2006,5,"785,460","74,715","860,175"
2006,6,"747,198","94,476","841,674"
2006,7,"740,437","91,861","832,298"
2006,8,"671,123","81,115","752,238"
2006,9,"545,576","50,265","595,841"
2006,10,"630,304","55,971","686,275"
2006,11,"739,083","78,348","817,431"
2006,12,"784,559","110,170","894,729"
2006,TOTAL,"9,146,628","1,029,234","10,175,862"
2007,1,"834,761","106,898","941,659"
2007,2,"779,867","102,646","882,513"
2007,3,"954,975","129,004","1,083,979"
2007,4,"925,829","124,098","1,049,927"
2007,5,"809,193","103,032","912,225"
2007,6,"795,619","121,352","916,971"
2007,7,"822,587","139,713","962,300"
2007,8,"792,101","131,763","923,864"
2007,9,"599,204","80,162","679,366"
2007,10,"690,226","86,789","777,015"
2007,11,"785,939","110,785","896,724"
2007,12,"834,263","155,764","990,027"
2007,TOTAL,"9,624,564","1,392,006","11,016,570"
2008,1,"898,610","136,444","1,035,054"
2008,2,"841,246","158,000","999,246"
2008,3,"1,024,370","161,540","1,185,910"
2008,4,"898,384","126,267","1,024,651"
2008,5,"848,078","118,532","966,610"
2008,6,"799,259","135,279","934,538"
2008,7,"819,290","146,340","965,630"
2008,8,"759,795","131,479","891,274"
2008,9,"512,996","74,496","587,492"
2008,10,"620,341","86,119","706,460"
2008,11,"693,917","101,169","795,086"
2008,12,"754,064","138,588","892,652"
2008,TOTAL,"9,470,350","1,514,253","10,984,603"
2009,1,"788,017","132,194","920,211"
2009,2,"710,890","119,616","830,506"
2009,3,"866,368","141,126","1,007,494"
2009,4,"800,150","135,039","935,189"
2009,5,"718,503","104,145","822,648"
2009,6,"708,154","119,791","827,945"
2009,7,"766,524","144,130","910,654"
2009,8,"734,438","132,502","866,940"
2009,9,"558,362","75,428","633,790"
2009,10,"637,216","79,153","716,369"
2009,11,"725,429","100,338","825,767"
2009,12,"758,858","148,639","907,497"
2009,TOTAL,"8,772,909","1,432,101","10,205,010"
2010,1,"829,427","130,603","960,030"
2010,2,"721,941","118,199","840,140"
2010,3,"913,511","150,670","1,064,181"
2010,4,"847,247","131,972","979,219"
2010,5,"751,936","118,461","870,397"
2010,6,"717,486","126,487","843,973"
2010,7,"772,680","159,863","932,543"
2010,8,"743,024","147,399","890,423"
2010,9,"598,919","101,125","700,044"
2010,10,"693,082","113,072","806,154"
2010,11,"784,922","122,275","907,197"
2010,12,"799,318","175,689","975,007"
2010,TOTAL,"9,173,493","1,595,815","10,769,308"
2011,1,"846,530","155,151","1,001,681"
2011,2,"765,765","137,556","903,321"
2011,3,"985,821","165,752","1,151,573"
2011,4,"899,090","155,362","1,054,452"
2011,5,"820,031","126,342","946,373"
2011,6,"780,193","134,780","914,973"
2011,7,"819,232","163,575","982,807"
2011,8,"744,372","144,748","889,120"
2011,9,"610,596","97,803","708,399"
2011,10,"700,107","104,539","804,646"
2011,11,"770,886","132,156","903,042"
2011,12,"816,854","162,962","979,816"
2011,TOTAL,"9,559,477","1,680,726","11,240,203"
2012,1,"865,206","149,670","1,014,876"
2012,2,"811,249","141,870","953,119"
2012,3,"962,328","161,850","1,124,178"
2012,4,"909,361","147,230","1,056,591"
2012,5,"786,650","120,523","907,173"
2012,6,"780,388","139,091","919,479"
2012,7,"826,212","161,464","987,676"
2012,8,"773,183","150,896","924,079"
2012,9,"625,731","101,862","727,593"
2012,10,"688,848","107,354","796,202"
2012,11,"785,974","134,082","920,056"
2012,12,"844,279","165,880","1,010,159"
2012,TOTAL,"9,659,409","1,681,772","11,341,181"
2013,1,"894,162","155,968","1,050,130"
2013,2,"804,733","143,382","948,115"
2013,3,"1,025,678","175,997","1,201,675"
2013,4,"914,531","161,642","1,076,173"
2013,5,"814,275","153,269","967,544"
2013,6,"784,965","136,565","921,530"
2013,7,"808,110","161,967","970,077"
2013,8,"769,419","157,054","926,473"
2013,9,"586,247","99,603","685,850"
2013,10,"660,845","109,978","770,823"
2013,11,"747,155","138,038","885,193"
2013,12,"847,780","193,075","1,040,855"
