"Passengers (All Carriers - Boston, MA: Logan International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"861,825","155,046","1,016,871"
2002,11,"723,987","120,735","844,722"
2002,12,"773,015","121,996","895,011"
2002,TOTAL,"9,051,373","1,665,945","10,717,318"
2003,1,"619,641","102,780","722,421"
2003,2,"641,163","98,632","739,795"
2003,3,"752,282","119,039","871,321"
2003,4,"769,225","112,652","881,877"
2003,5,"778,831","126,736","905,567"
2003,6,"841,934","165,853","1,007,787"
2003,7,"878,637","166,952","1,045,589"
2003,8,"902,448","177,033","1,079,481"
2003,9,"724,179","146,858","871,037"
2003,10,"896,617","149,739","1,046,356"
2003,11,"771,457","126,356","897,813"
2003,12,"783,575","130,342","913,917"
2003,TOTAL,"9,359,989","1,622,972","10,982,961"
2004,1,"664,078","106,611","770,689"
2004,2,"776,275","105,281","881,556"
2004,3,"877,732","143,866","1,021,598"
2004,4,"952,022","145,874","1,097,896"
2004,5,"893,518","163,598","1,057,116"
2004,6,"987,918","182,301","1,170,219"
2004,7,"1,008,852","183,432","1,192,284"
2004,8,"1,044,857","191,579","1,236,436"
2004,9,"837,616","166,226","1,003,842"
2004,10,"1,012,673","162,212","1,174,885"
2004,11,"894,009","128,991","1,023,000"
2004,12,"867,802","131,449","999,251"
2004,TOTAL,"10,817,352","1,811,420","12,628,772"
2005,1,"733,148","117,527","850,675"
2005,2,"816,257","115,347","931,604"
2005,3,"949,957","141,720","1,091,677"
2005,4,"997,140","156,546","1,153,686"
2005,5,"967,626","180,087","1,147,713"
2005,6,"995,524","192,300","1,187,824"
2005,7,"1,045,969","191,669","1,237,638"
2005,8,"1,034,299","189,526","1,223,825"
2005,9,"884,211","173,570","1,057,781"
2005,10,"972,251","163,970","1,136,221"
2005,11,"933,461","132,287","1,065,748"
2005,12,"885,114","133,726","1,018,840"
2005,TOTAL,"11,214,957","1,888,275","13,103,232"
2006,1,"790,551","113,711","904,262"
2006,2,"840,925","111,792","952,717"
2006,3,"1,017,642","147,291","1,164,933"
2006,4,"1,031,780","154,929","1,186,709"
2006,5,"984,342","167,619","1,151,961"
2006,6,"1,022,824","182,709","1,205,533"
2006,7,"1,053,820","183,087","1,236,907"
2006,8,"1,059,102","181,167","1,240,269"
2006,9,"881,299","188,417","1,069,716"
2006,10,"1,045,018","157,827","1,202,845"
2006,11,"973,249","124,199","1,097,448"
2006,12,"925,937","127,902","1,053,839"
2006,TOTAL,"11,626,489","1,840,650","13,467,139"
2007,1,"819,055","109,257","928,312"
2007,2,"837,892","103,938","941,830"
2007,3,"1,028,402","140,975","1,169,377"
2007,4,"1,055,570","143,704","1,199,274"
2007,5,"1,038,814","164,381","1,203,195"
2007,6,"1,080,692","190,575","1,271,267"
2007,7,"1,098,776","184,649","1,283,425"
2007,8,"1,137,134","196,901","1,334,035"
2007,9,"901,151","175,975","1,077,126"
2007,10,"1,055,018","168,147","1,223,165"
