"Passengers (All Carriers - San Diego, CA: San Diego International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"596,485","12,010","608,495"
2002,11,"565,392","12,919","578,311"
2002,12,"607,662","12,718","620,380"
2002,TOTAL,"7,121,523","150,085","7,271,608"
2003,1,"528,855","11,273","540,128"
2003,2,"512,902","11,108","524,010"
2003,3,"596,167","13,809","609,976"
2003,4,"602,708","12,951","615,659"
2003,5,"609,541","13,083","622,624"
2003,6,"670,917","12,702","683,619"
2003,7,"746,254","12,471","758,725"
2003,8,"743,983","7,879","751,862"
2003,9,"576,348","6,316","582,664"
2003,10,"612,811","6,294","619,105"
2003,11,"594,580","6,584","601,164"
2003,12,"627,516","6,402","633,918"
2003,TOTAL,"7,422,582","120,872","7,543,454"
2004,1,"559,911","4,627","564,538"
2004,2,"568,137","5,173","573,310"
2004,3,"665,254","6,304","671,558"
2004,4,"696,629","6,800","703,429"
2004,5,"673,807","6,975","680,782"
2004,6,"712,957","7,037","719,994"
2004,7,"774,532","8,262","782,794"
2004,8,"790,620","8,151","798,771"
2004,9,"624,340","5,046","629,386"
2004,10,"681,709","7,037","688,746"
2004,11,"642,792","7,453","650,245"
2004,12,"653,067","8,610","661,677"
2004,TOTAL,"8,043,755","81,475","8,125,230"
2005,1,"601,256","6,665","607,921"
2005,2,"575,107","8,403","583,510"
2005,3,"725,175","16,285","741,460"
2005,4,"702,384","14,393","716,777"
2005,5,"717,577","15,164","732,741"
2005,6,"766,437","16,389","782,826"
2005,7,"815,379","18,703","834,082"
2005,8,"817,801","18,584","836,385"
2005,9,"673,931","12,204","686,135"
2005,10,"705,040","12,739","717,779"
2005,11,"681,813","11,090","692,903"
2005,12,"673,032","12,141","685,173"
2005,TOTAL,"8,454,932","162,760","8,617,692"
2006,1,"614,680","10,227","624,907"
2006,2,"617,024","10,393","627,417"
2006,3,"716,862","13,731","730,593"
2006,4,"725,087","13,981","739,068"
2006,5,"710,721","12,598","723,319"
2006,6,"758,015","12,327","770,342"
2006,7,"808,879","15,977","824,856"
2006,8,"804,610","16,479","821,089"
2006,9,"669,213","11,235","680,448"
2006,10,"716,887","13,090","729,977"
2006,11,"696,553","10,738","707,291"
2006,12,"693,124","12,970","706,094"
2006,TOTAL,"8,531,655","153,746","8,685,401"
2007,1,"626,189","11,575","637,764"
2007,2,"628,728","11,205","639,933"
2007,3,"740,648","13,848","754,496"
2007,4,"746,219","14,047","760,266"
2007,5,"741,642","13,414","755,056"
2007,6,"805,427","14,105","819,532"
2007,7,"858,713","13,957","872,670"
2007,8,"882,372","14,199","896,571"
2007,9,"724,847","9,468","734,315"
2007,10,"754,277","11,129","765,406"
2007,11,"750,030","11,669","761,699"
2007,12,"717,798","11,909","729,707"
2007,TOTAL,"8,976,890","150,525","9,127,415"
2008,1,"659,072","10,381","669,453"
2008,2,"679,364","10,331","689,695"
2008,3,"796,657","12,801","809,458"
2008,4,"769,922","11,259","781,181"
2008,5,"777,617","9,259","786,876"
2008,6,"835,183","9,502","844,685"
2008,7,"841,557","9,752","851,309"
2008,8,"854,517","10,296","864,813"
2008,9,"660,814","6,470","667,284"
