"Passengers (All Carriers - Tampa, FL: Tampa International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"571,221","11,355","582,576"
2002,11,"585,579","14,743","600,322"
2002,12,"651,555","15,315","666,870"
2002,TOTAL,"7,307,146","165,350","7,472,496"
2003,1,"588,100","15,514","603,614"
2003,2,"576,897","15,964","592,861"
2003,3,"743,206","20,073","763,279"
2003,4,"678,986","18,522","697,508"
2003,5,"633,789","13,064","646,853"
2003,6,"607,742","12,842","620,584"
2003,7,"646,055","12,819","658,874"
2003,8,"606,521","14,013","620,534"
2003,9,"502,508","8,642","511,150"
2003,10,"585,320","10,060","595,380"
2003,11,"618,245","16,383","634,628"
2003,12,"647,398","14,710","662,108"
2003,TOTAL,"7,434,767","172,606","7,607,373"
2004,1,"604,884","14,634","619,518"
2004,2,"660,465","15,597","676,062"
2004,3,"824,325","18,970","843,295"
2004,4,"780,803","17,875","798,678"
2004,5,"724,667","13,184","737,851"
2004,6,"704,965","11,783","716,748"
2004,7,"707,308","12,678","719,986"
2004,8,"641,539","12,680","654,219"
2004,9,"507,311","8,762","516,073"
2004,10,"651,157","10,923","662,080"
2004,11,"711,524","14,928","726,452"
2004,12,"732,713","14,950","747,663"
2004,TOTAL,"8,251,661","166,964","8,418,625"
2005,1,"716,024","15,182","731,206"
2005,2,"717,325","14,812","732,137"
2005,3,"924,791","20,684","945,475"
2005,4,"862,866","18,595","881,461"
2005,5,"820,692","14,973","835,665"
2005,6,"778,619","12,763","791,382"
2005,7,"791,252","13,341","804,593"
2005,8,"709,095","12,516","721,611"
2005,9,"619,744","11,034","630,778"
2005,10,"667,267","13,462","680,729"
2005,11,"749,282","16,668","765,950"
2005,12,"745,656","17,839","763,495"
2005,TOTAL,"9,102,613","181,869","9,284,482"
2006,1,"734,291","17,849","752,140"
2006,2,"713,683","18,270","731,953"
2006,3,"906,689","23,677","930,366"
2006,4,"853,718","21,593","875,311"
2006,5,"802,625","14,886","817,511"
2006,6,"758,378","24,574","782,952"
2006,7,"738,962","13,452","752,414"
2006,8,"682,531","12,672","695,203"
2006,9,"590,760","13,083","603,843"
2006,10,"687,875","9,573","697,448"
2006,11,"755,647","17,142","772,789"
2006,12,"748,850","18,538","767,388"
2006,TOTAL,"8,974,009","205,309","9,179,318"
2007,1,"729,766","17,919","747,685"
2007,2,"711,010","18,756","729,766"
2007,3,"892,978","25,166","918,144"
2007,4,"877,878","23,327","901,205"
2007,5,"825,491","14,478","839,969"
2007,6,"787,794","10,514","798,308"
2007,7,"787,271","9,629","796,900"
2007,8,"741,911","10,621","752,532"
2007,9,"596,955","7,967","604,922"
2007,10,"689,677","9,535","699,212"
2007,11,"738,396","16,845","755,241"
2007,12,"731,568","18,061","749,629"
2007,TOTAL,"9,110,695","182,818","9,293,513"
2008,1,"723,340","18,159","741,499"
2008,2,"723,408","19,677","743,085"
2008,3,"937,148","26,268","963,416"
2008,4,"849,269","23,876","873,145"
2008,5,"777,479","14,326","791,805"
2008,6,"763,346","10,461","773,807"
2008,7,"752,487","9,987","762,474"
2008,8,"668,532","11,567","680,099"
2008,9,"521,023","7,958","528,981"
2008,10,"644,302","9,552","653,854"
2008,11,"634,942","15,587","650,529"
2008,12,"676,568","17,570","694,138"
2008,TOTAL,"8,671,844","184,988","8,856,832"
2009,1,"617,490","18,760","636,250"
2009,2,"649,431","18,651","668,082"
2009,3,"831,553","22,008","853,561"
2009,4,"782,913","22,728","805,641"
2009,5,"692,272","15,624","707,896"
2009,6,"683,573","14,116","697,689"
2009,7,"710,230","15,484","725,714"
2009,8,"647,793","16,882","664,675"
2009,9,"529,728","10,873","540,601"
2009,10,"613,912","12,243","626,155"
2009,11,"630,240","17,631","647,871"
2009,12,"656,127","17,497","673,624"
2009,TOTAL,"8,045,262","202,497","8,247,759"
2010,1,"615,558","17,937","633,495"
2010,2,"596,361","18,235","614,596"
2010,3,"795,378","25,021","820,399"
2010,4,"770,472","23,376","793,848"
