"Passengers (All Carriers - Washington, DC: Washington Dulles International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"522,193","165,429","687,622"
2002,11,"478,428","153,996","632,424"
2002,12,"552,518","162,636","715,154"
2002,TOTAL,"4,954,932","1,937,752","6,892,684"
2003,1,"451,331","139,746","591,077"
2003,2,"390,886","107,879","498,765"
2003,3,"499,579","135,629","635,208"
2003,4,"497,237","137,963","635,200"
2003,5,"529,144","167,190","696,334"
2003,6,"552,995","195,382","748,377"
2003,7,"597,628","184,614","782,242"
2003,8,"572,844","188,778","761,622"
2003,9,"453,330","169,092","622,422"
2003,10,"533,040","170,202","703,242"
2003,11,"489,254","159,547","648,801"
2003,12,"535,415","168,953","704,368"
2003,TOTAL,"6,102,683","1,924,975","8,027,658"
2004,1,"450,064","150,952","601,016"
2004,2,"465,399","135,225","600,624"
2004,3,"568,180","176,959","745,139"
2004,4,"600,705","180,084","780,789"
2004,5,"601,918","202,354","804,272"
2004,6,"688,482","224,176","912,658"
2004,7,"838,974","212,573","1,051,547"
2004,8,"909,617","204,865","1,114,482"
2004,9,"807,802","193,491","1,001,293"
2004,10,"970,177","189,427","1,159,604"
2004,11,"882,601","174,890","1,057,491"
2004,12,"914,692","185,132","1,099,824"
2004,TOTAL,"8,698,611","2,230,128","10,928,739"
2005,1,"775,753","171,930","947,683"
2005,2,"759,573","146,816","906,389"
2005,3,"958,444","192,432","1,150,876"
2005,4,"908,060","188,424","1,096,484"
2005,5,"976,944","218,263","1,195,207"
2005,6,"986,793","228,425","1,215,218"
2005,7,"1,033,903","224,382","1,258,285"
2005,8,"968,759","211,167","1,179,926"
2005,9,"820,789","204,286","1,025,075"
2005,10,"865,564","188,219","1,053,783"
2005,11,"786,086","176,241","962,327"
2005,12,"798,836","202,628","1,001,464"
2005,TOTAL,"10,639,504","2,353,213","12,992,717"
2006,1,"599,991","179,498","779,489"
2006,2,"583,148","151,389","734,537"
2006,3,"722,713","201,180","923,893"
2006,4,"716,650","210,661","927,311"
2006,5,"723,874","241,568","965,442"
2006,6,"730,020","253,327","983,347"
2006,7,"749,087","248,068","997,155"
2006,8,"739,605","225,106","964,711"
2006,9,"631,920","233,145","865,065"
2006,10,"754,849","203,924","958,773"
2006,11,"759,734","197,004","956,738"
2006,12,"768,995","217,510","986,505"
2006,TOTAL,"8,480,586","2,562,380","11,042,966"
2007,1,"707,031","195,428","902,459"
2007,2,"624,113","163,529","787,642"
2007,3,"819,844","225,625","1,045,469"
2007,4,"805,148","223,158","1,028,306"
2007,5,"799,443","259,968","1,059,411"
2007,6,"804,719","283,110","1,087,829"
2007,7,"803,494","271,018","1,074,512"
2007,8,"801,156","264,410","1,065,566"
2007,9,"644,263","248,984","893,247"
2007,10,"733,407","245,583","978,990"
2007,11,"708,802","225,983","934,785"
2007,12,"690,469","244,964","935,433"
2007,TOTAL,"8,941,889","2,851,760","11,793,649"
2008,1,"623,914","219,405","843,319"
2008,2,"604,926","196,226","801,152"
2008,3,"758,580","248,102","1,006,682"
2008,4,"727,315","229,443","956,758"
2008,5,"776,990","276,779","1,053,769"
2008,6,"781,854","292,846","1,074,700"
2008,7,"806,982","282,319","1,089,301"
2008,8,"780,549","271,272","1,051,821"
2008,9,"612,317","236,733","849,050"
2008,10,"691,781","241,152","932,933"
2008,11,"610,607","221,339","831,946"
2008,12,"671,377","245,634","917,011"
2008,TOTAL,"8,447,192","2,961,250","11,408,442"
2009,1,"586,432","219,160","805,592"
2009,2,"553,771","172,181","725,952"
2009,3,"679,376","223,762","903,138"
2009,4,"710,515","229,104","939,619"
2009,5,"710,016","251,988","962,004"
2009,6,"743,321","291,426","1,034,747"
2009,7,"788,206","292,565","1,080,771"
2009,8,"753,924","286,595","1,040,519"
2009,9,"636,345","252,737","889,082"
2009,10,"713,231","246,046","959,277"
2009,11,"647,246","215,231","862,477"
2009,12,"650,807","245,845","896,652"
2009,TOTAL,"8,173,190","2,926,640","11,099,830"
2010,1,"603,447","223,941","827,388"
2010,2,"482,257","161,684","643,941"
2010,3,"713,494","233,905","947,399"
2010,4,"694,334","224,920","919,254"
2010,5,"726,953","280,203","1,007,156"
2010,6,"749,102","300,460","1,049,562"
2010,7,"790,115","299,465","1,089,580"
2010,8,"775,489","275,160","1,050,649"
2010,9,"657,015","262,798","919,813"
2010,10,"740,294","259,295","999,589"
2010,11,"675,225","221,744","896,969"
2010,12,"651,308","248,433","899,741"
2010,TOTAL,"8,259,033","2,992,008","11,251,041"
2011,1,"546,231","223,621","769,852"
2011,2,"539,186","184,670","723,856"
2011,3,"665,768","237,336","903,104"
2011,4,"668,448","252,571","921,019"
2011,5,"698,224","287,657","985,881"
2011,6,"712,736","310,787","1,023,523"
2011,7,"755,724","309,420","1,065,144"
2011,8,"715,541","286,242","1,001,783"
